gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5145719420040548,0.07749434570491447,0.353904282115869,0.6416876574307304,,36,19.558943089430894,8,4.329268292682927,7,5.603658536585366,13.134146341463415,24,0.0,0.1469249725341797,30,fec_simple_kmedoids,0.2
1,384,0.46321288480396866,0.06747674733995897,0.35012594458438284,0.6429471032745592,0.35012594458438284,13,21.09351145038168,4,3.6927480916030535,8,5.700381679389313,11.164122137404581,13,0.0035293102264404297,0.1809859275817871,30,fec_simple_kmedoids,0.2
2,350,0.4459034274919036,0.07325840984377589,0.3494962216624685,0.6416876574307304,0.3494962216624685,32,24.867857142857144,4,3.969642857142857,8,6.442857142857143,12.076785714285714,13,0.0037746429443359375,0.19983220100402832,30,fec_simple_kmedoids,0.2
3,279,0.4406870123487129,0.07560382159735328,0.3494962216624685,0.6448362720403022,0.3494962216624685,32,27.547256097560975,4,4.323170731707317,8,7.076219512195122,13.221036585365853,13,0.003872394561767578,0.23169565200805664,30,fec_simple_kmedoids,0.2
4,222,0.4291194374475231,0.07220691472863168,0.3494962216624685,0.630352644836272,0.3494962216624685,32,30.418055555555554,4,4.673611111111111,8,7.456944444444445,14.422222222222222,13,0.0039370059967041016,0.2521097660064697,30,fec_simple_kmedoids,0.2
5,166,0.430383406237317,0.07801523839887664,0.3488664987405542,0.6366498740554156,0.3488664987405542,34,31.828644501278774,4,4.716112531969309,8,7.6138107416879794,14.648337595907929,13,0.003943920135498047,0.2703859806060791,30,fec_simple_kmedoids,0.2
6,155,0.42802428469934767,0.07924491190501083,0.34760705289672544,0.6272040302267002,0.34760705289672544,35,33.73076923076923,5,4.948717948717949,9,7.901282051282052,15.271794871794873,16,0.003973245620727539,0.27785348892211914,30,fec_simple_kmedoids,0.2
7,144,0.4201279208007754,0.07642054119159673,0.34571788413098237,0.6511335012594459,0.34571788413098237,54,34.00124533001245,8,4.672478206724782,12,7.795765877957659,14.541718555417185,25,0.0040149688720703125,0.27340126037597656,30,fec_simple_kmedoids,0.2
8,116,0.42295735983951493,0.08099013696830484,0.34571788413098237,0.6479848866498741,0.34571788413098237,54,35.26826347305389,8,4.682634730538922,12,7.8970059880239525,14.67065868263473,25,0.00400996208190918,0.2769811153411865,30,fec_simple_kmedoids,0.2
9,78,0.4264028705418396,0.08270544613128464,0.34571788413098237,0.6479848866498741,0.34571788413098237,54,37.84901277584204,8,4.936120789779326,12,8.042973286875727,15.308943089430894,25,0.0040357112884521484,0.29444074630737305,30,fec_simple_kmedoids,0.2
10,88,0.4160545185590038,0.07871951148437728,0.34571788413098237,0.6473551637279598,0.34571788413098237,54,38.575471698113205,8,4.959905660377358,12,8.116745283018869,15.390330188679245,25,0.004072427749633789,0.4172484874725342,30,fec_simple_kmedoids,0.2
11,84,0.41972490437540816,0.08075593352167307,0.34571788413098237,0.6479848866498741,0.34571788413098237,54,39.719907407407405,8,4.9155092592592595,12,8.152777777777779,15.354166666666666,25,0.004218578338623047,0.29847049713134766,30,fec_simple_kmedoids,0.2
12,63,0.4227393880558004,0.08217990980916874,0.34508816120906805,0.6442065491183879,0.34508816120906805,54,42.157354618015965,12,5.315849486887116,15,8.377423033067275,16.416191562143673,37,0.0042078495025634766,0.31409215927124023,30,fec_simple_kmedoids,0.2
13,80,0.41818953560317046,0.07660528172990207,0.34508816120906805,0.6448362720403022,0.34508816120906805,54,44.68568102444703,12,5.6286379511059375,15,8.572759022118742,17.337601862630965,37,0.0040738582611083984,0.32588815689086914,30,fec_simple_kmedoids,0.2
14,69,0.4222606338925159,0.08195890035132193,0.34508816120906805,0.6448362720403022,0.34508816120906805,54,47.01473922902494,12,6.205215419501134,15,8.933106575963718,18.930839002267575,37,0.004143238067626953,0.3570668697357178,30,fec_simple_kmedoids,0.2
15,72,0.42058677553175006,0.08142133357535807,0.34508816120906805,0.6479848866498741,0.34508816120906805,54,47.75398633257403,12,6.20615034168565,15,9.01138952164009,18.994305239179955,37,0.004214763641357422,0.3573622703552246,30,fec_simple_kmedoids,0.2
16,72,0.4230632632626922,0.08491891984564724,0.34319899244332497,0.6454659949622166,0.34319899244332497,61,51.54926387315968,18,6.510758776896942,16,9.163080407701019,19.866364665911664,55,0.004190921783447266,0.3768954277038574,30,fec_simple_kmedoids,0.2
17,64,0.41466117210910264,0.07761599941579446,0.34319899244332497,0.6473551637279598,0.34319899244332497,61,53.26523702031603,18,6.909706546275395,16,9.46726862302483,20.988713318284425,55,0.0041162967681884766,0.38986825942993164,30,fec_simple_kmedoids,0.2
18,61,0.4169035522904308,0.0805500448322157,0.34319899244332497,0.6486146095717884,0.34319899244332497,61,54.576099210822996,18,7.226606538895152,16,9.740698985343856,21.936865839909807,55,0.004138469696044922,0.41544604301452637,30,fec_simple_kmedoids,0.2
19,77,0.41896467826883443,0.08350901777087995,0.34319899244332497,0.6492443324937027,0.34319899244332497,61,57.492045454545455,18,7.510227272727272,16,9.932954545454546,22.757954545454545,55,0.0043773651123046875,0.4370126724243164,30,fec_simple_kmedoids,0.2
20,87,0.4211814967504264,0.08455460451490564,0.34319899244332497,0.6479848866498741,0.34319899244332497,61,59.58708189158016,18,8.137254901960784,16,10.283737024221454,24.782006920415224,55,0.0042591094970703125,0.4549825191497803,30,fec_simple_kmedoids,0.2
21,88,0.4096143056683829,0.07716427386135119,0.34319899244332497,0.6492443324937027,0.34319899244332497,61,62.283062645011604,18,9.047563805104408,16,10.781902552204176,27.32598607888631,55,0.004325151443481445,0.4932382106781006,30,fec_simple_kmedoids,0.2
22,100,0.41244326552920496,0.08136558665223392,0.34319899244332497,0.6473551637279598,0.34319899244332497,61,63.535377358490564,18,9.319575471698114,16,10.904481132075471,28.03066037735849,55,0.004286766052246094,0.5037550926208496,30,fec_simple_kmedoids,0.2
23,129,0.41178343067511836,0.08194626224632968,0.34319899244332497,0.6479848866498741,0.34319899244332497,61,65.74358974358974,18,9.814407814407815,16,11.228327228327228,29.428571428571427,55,0.004425525665283203,0.5009725093841553,30,fec_simple_kmedoids,0.2
24,111,0.41221131376892967,0.08140374284078987,0.34256926952141054,0.6473551637279598,0.34256926952141054,103,70.03614457831326,7,10.060240963855422,9,11.324096385542168,29.950602409638556,22,0.004376888275146484,0.5509498119354248,30,fec_simple_kmedoids,0.2
25,100,0.41148024056018223,0.08306283196864704,0.34256926952141054,0.6517632241813602,0.34256926952141054,103,74.87918660287082,7,10.448564593301436,9,11.39354066985646,30.983253588516746,22,0.004385471343994141,0.6233716011047363,30,fec_simple_kmedoids,0.2
26,84,0.4118928094670073,0.0805154175713434,0.34256926952141054,0.6473551637279598,0.34256926952141054,103,76.20564042303172,7,9.956521739130435,9,11.240893066980023,29.654524089306697,22,0.004434823989868164,0.5759105682373047,30,fec_simple_kmedoids,0.2
27,110,0.4117049367843366,0.08420909934634506,0.34256926952141054,0.6492443324937027,0.34256926952141054,103,82.72463768115942,7,10.591787439613526,9,11.355072463768115,31.292270531400966,22,0.004464149475097656,0.5860769748687744,30,fec_simple_kmedoids,0.2
28,122,0.41238541482425706,0.08363101805341117,0.34256926952141054,0.6467254408060453,0.34256926952141054,103,85.21307506053269,7,10.88135593220339,9,11.509685230024212,32.157384987893465,22,0.004465579986572266,0.609156608581543,30,fec_simple_kmedoids,0.2
29,90,0.4143946398912442,0.08554939425893515,0.34005037783375314,0.6505037783375315,0.34005037783375314,152,88.0655926352129,50,12.242807825086306,31,12.141542002301495,35.859608745684696,146,0.0047495365142822266,0.6374578475952148,30,fec_simple_kmedoids,0.2
30,77,0.4113857685528298,0.08423131414357912,0.34005037783375314,0.6530226700251889,0.34005037783375314,152,90.1743648960739,50,12.702078521939955,31,12.486143187066975,37.160508083140876,146,0.004539966583251953,0.6867294311523438,30,fec_simple_kmedoids,0.2
31,99,0.40673021903149503,0.08399820255333697,0.34005037783375314,0.6486146095717884,0.34005037783375314,152,98.15222482435597,50,13.537470725995316,31,12.868852459016393,39.540983606557376,146,0.004556179046630859,0.7570347785949707,30,fec_simple_kmedoids,0.2
32,111,0.40605989496696926,0.08246382187631675,0.34005037783375314,0.6542821158690176,0.34005037783375314,152,102.99764150943396,50,14.887971698113208,31,13.433962264150944,43.23231132075472,146,0.004550457000732422,0.7790400981903076,30,fec_simple_kmedoids,0.2
33,111,0.40646945464477563,0.08117540064311131,0.34005037783375314,0.6479848866498741,0.34005037783375314,152,108.00722891566265,50,15.267469879518073,31,13.519277108433736,44.35903614457831,146,0.004488945007324219,0.8080971240997314,30,fec_simple_kmedoids,0.2
34,97,0.4081696835697299,0.0830150666775805,0.34005037783375314,0.6473551637279598,0.34005037783375314,152,107.965075669383,50,14.869615832363213,31,13.29802095459837,43.0384167636787,146,0.004498004913330078,0.8702912330627441,30,fec_simple_kmedoids,0.2
35,93,0.4084918898660368,0.08311855323100054,0.34005037783375314,0.6536523929471032,0.34005037783375314,152,110.6078431372549,50,15.742791234140714,31,13.681660899653979,45.51441753171857,146,0.004703044891357422,0.8478715419769287,30,fec_simple_kmedoids,0.2
36,110,0.4075086889653168,0.08123485024947268,0.34005037783375314,0.6523929471032746,0.34005037783375314,152,109.2860576923077,50,14.34014423076923,31,13.27764423076923,41.80288461538461,146,0.004703044891357422,0.8218398094177246,30,fec_simple_kmedoids,0.2
37,91,0.40618954806057034,0.0815987030403591,0.34005037783375314,0.6479848866498741,0.34005037783375314,152,110.15893271461717,50,15.160092807424594,31,13.571925754060326,44.01508120649652,146,0.004782676696777344,0.8851227760314941,30,fec_simple_kmedoids,0.2
38,116,0.40584772952001963,0.07926738948446144,0.34005037783375314,0.6429471032745592,0.34005037783375314,152,113.33973589435774,50,16.236494597839137,31,14.134453781512605,46.942376950780314,146,0.00459742546081543,0.9148836135864258,30,fec_simple_kmedoids,0.2
39,95,0.4083882341476667,0.08404375686529805,0.34005037783375314,0.6523929471032746,0.34005037783375314,152,112.38921453692849,50,15.584994138335286,31,13.798358733880422,45.06682297772567,146,0.0047037601470947266,1.007291316986084,30,fec_simple_kmedoids,0.2
40,110,0.40903434469740235,0.08382206717527901,0.34005037783375314,0.6479848866498741,0.34005037783375314,152,117.16229116945108,50,16.391408114558473,31,14.021479713603819,47.082338902147974,146,0.004858732223510742,0.9079580307006836,30,fec_simple_kmedoids,0.2
41,92,0.40972191317092566,0.08441742097868471,0.34005037783375314,0.6505037783375315,0.34005037783375314,152,118.87868080094229,50,17.17196702002356,31,14.322732626619553,49.522968197879855,146,0.004777431488037109,0.9841558933258057,30,fec_simple_kmedoids,0.2
42,97,0.407800414876278,0.0828138248289384,0.34005037783375314,0.6479848866498741,0.34005037783375314,152,121.10705882352941,50,16.23764705882353,31,14.044705882352941,46.948235294117644,146,0.0047016143798828125,0.950023889541626,30,fec_simple_kmedoids,0.2
43,87,0.41085766342527924,0.08594337857695757,0.34005037783375314,0.6505037783375315,0.34005037783375314,152,122.53575615474794,50,16.930832356389214,31,14.151230949589683,48.81008206330598,146,0.005003452301025391,0.971745491027832,30,fec_simple_kmedoids,0.2
44,121,0.4050188305495096,0.08009298100512176,0.34005037783375314,0.649874055415617,0.34005037783375314,152,129.1601941747573,50,16.901699029126213,31,14.151699029126213,48.86893203883495,146,0.004729747772216797,1.035322666168213,30,fec_simple_kmedoids,0.2
45,100,0.4086227589272484,0.08203301347573214,0.34005037783375314,0.6473551637279598,0.34005037783375314,152,134.0070588235294,50,17.36470588235294,31,14.183529411764706,50.014117647058825,146,0.004754304885864258,1.0903565883636475,30,fec_simple_kmedoids,0.2
