gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5033088995486733,0.038824465575173946,0.39332980412916885,0.6124933827421917,,36,20.106339468302657,8,4.458077709611452,7,5.703476482617587,13.505112474437627,24,0.0,0.1405036449432373,12,fec_simple_kmeans,0.2
1,390,0.48100337989168057,0.03736092099523704,0.39332980412916885,0.5997882477501324,0.39332980412916885,36,22.647279549718576,8,3.9418386491557222,7,5.662288930581614,11.615384615384615,24,0.003359556198120117,0.1689128875732422,12,fec_simple_kmeans,0.2
2,340,0.46928208978074043,0.041376975910257026,0.39332980412916885,0.6056114346214929,0.39332980412916885,36,26.614982578397214,8,3.846689895470383,7,5.7578397212543555,11.21602787456446,24,0.0036852359771728516,0.18326020240783691,12,fec_simple_kmeans,0.2
3,292,0.4635238174844204,0.04565232746829549,0.38803599788247745,0.6056114346214929,0.38803599788247745,35,29.709728867623603,7,4.020733652312599,8,6.022328548644338,11.770334928229666,21,0.003917694091796875,0.19949889183044434,12,fec_simple_kmeans,0.2
4,213,0.46145661688500506,0.048511495951597934,0.38750661725780833,0.6135521439915299,0.38750661725780833,22,34.819718309859155,5,4.632394366197183,8,6.580281690140845,13.670422535211268,16,0.0038940906524658203,0.23134779930114746,12,fec_simple_kmeans,0.2
5,196,0.46142210624438973,0.05420503180409815,0.3848597141344626,0.6135521439915299,0.3848597141344626,22,36.84782608695652,3,5.091032608695652,7,7.024456521739131,15.14538043478261,10,0.003940582275390625,0.26198697090148926,12,fec_simple_kmeans,0.2
6,181,0.45678498899297143,0.0555531543246404,0.3848597141344626,0.6183165696135522,0.3848597141344626,22,39.348868175765645,3,5.339547270306259,7,7.400798934753662,15.948069241011984,10,0.003946781158447266,0.27286314964294434,12,fec_simple_kmeans,0.2
7,174,0.4520510220773116,0.05631635863416174,0.3816834303864478,0.614081524616199,0.3816834303864478,64,42.259452411994786,14,5.634941329856584,12,7.753585397653194,16.821382007822685,42,0.003991127014160156,0.28374743461608887,12,fec_simple_kmeans,0.2
8,158,0.45435356556395895,0.059056897719581065,0.3816834303864478,0.6114346214928534,0.3816834303864478,64,44.4484076433121,14,5.733757961783439,12,7.94140127388535,17.19363057324841,42,0.0039250850677490234,0.29939770698547363,12,fec_simple_kmeans,0.2
9,138,0.45063409728014975,0.057421812379999805,0.3816834303864478,0.6119640021175226,0.3816834303864478,64,47.45932415519399,14,5.994993742177722,12,8.23028785982478,17.821026282853566,42,0.004118680953979492,0.310499906539917,12,fec_simple_kmeans,0.2
10,155,0.44640205686849554,0.0564862994762789,0.3816834303864478,0.6119640021175226,0.3816834303864478,64,48.669201520912544,14,6.1254752851711025,12,8.299112801013942,18.15335868187579,42,0.00410914421081543,0.41852545738220215,12,fec_simple_kmeans,0.2
11,133,0.44482853071856177,0.05714141605232231,0.3816834303864478,0.6114346214928534,0.3816834303864478,64,50.55099502487562,14,6.32089552238806,12,8.393034825870647,18.645522388059703,42,0.0041468143463134766,0.31789398193359375,12,fec_simple_kmeans,0.2
12,118,0.44140478660673466,0.055483152069628804,0.3816834303864478,0.6124933827421917,0.3816834303864478,64,52.65408038976857,14,6.735688185140073,12,8.686967113276491,19.920828258221682,42,0.004054546356201172,0.3429861068725586,12,fec_simple_kmeans,0.2
13,112,0.4460453732900623,0.06012985162904757,0.3816834303864478,0.6119640021175226,0.3816834303864478,64,56.015700483091784,14,7.004830917874396,12,8.803140096618357,20.68961352657005,42,0.004105567932128906,0.35599303245544434,12,fec_simple_kmeans,0.2
14,105,0.4416649683160333,0.058362864503559056,0.3816834303864478,0.6119640021175226,0.3816834303864478,64,57.092967818831944,14,7.039332538736591,12,8.893921334922528,20.862932061978547,42,0.0042040348052978516,0.35878491401672363,12,fec_simple_kmeans,0.2
15,108,0.43853568154527495,0.056176822959327265,0.3816834303864478,0.6119640021175226,0.3816834303864478,64,59.386585365853655,14,6.871951219512195,12,8.84390243902439,20.451219512195124,42,0.0041866302490234375,0.3571128845214844,12,fec_simple_kmeans,0.2
