gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.505680827869021,0.03899468267273392,0.39015352038115403,0.6119640021175226,,19,19.265848670756647,4,4.269938650306749,7,5.640081799591002,12.946830265848671,13,0.0,0.13064789772033691,15,fec_simple_stratified,0.4
1,387,0.48377959191255004,0.039060180453391845,0.385918475383801,0.6119640021175226,0.385918475383801,33,20.27095516569201,3,3.4502923976608186,7,5.360623781676413,10.194931773879143,10,0.003122568130493164,0.14327454566955566,15,fec_simple_stratified,0.4
2,333,0.4709510246525996,0.04384467645911457,0.378507146638433,0.614081524616199,0.378507146638433,53,23.35993208828523,11,3.505942275042445,8,5.612903225806452,10.264855687606111,28,0.003300189971923828,0.16256403923034668,15,fec_simple_stratified,0.4
3,294,0.46197479204108266,0.04735796309506627,0.378507146638433,0.6193753308628904,0.378507146638433,53,27.49203821656051,11,3.754777070063694,8,5.820063694267516,11.03343949044586,28,0.0038874149322509766,0.19082164764404297,15,fec_simple_stratified,0.4
4,228,0.45538639169823353,0.05297673446640694,0.378507146638433,0.6135521439915299,0.378507146638433,53,31.247524752475247,11,4.472418670438472,8,6.654879773691655,13.366336633663366,28,0.0038831233978271484,0.21810102462768555,15,fec_simple_stratified,0.4
5,218,0.4533669406520023,0.05693919222826832,0.3763896241397565,0.6124933827421917,0.3763896241397565,61,35.05761316872428,13,4.840877914951989,9,7.170096021947874,14.73113854595336,36,0.004958629608154297,0.26014041900634766,15,fec_simple_stratified,0.4
6,214,0.4504114403834588,0.05834717411872709,0.3763896241397565,0.6124933827421917,0.3763896241397565,61,37.05714285714286,13,5.191836734693878,9,7.48843537414966,15.628571428571428,36,0.00436711311340332,0.25462865829467773,15,fec_simple_stratified,0.4
7,171,0.4502399115129807,0.058134946193452525,0.3763896241397565,0.6071995764955003,0.3763896241397565,61,39.65006385696041,13,5.491698595146871,9,7.717752234993615,16.551724137931036,36,0.004065036773681641,0.2721118927001953,15,fec_simple_stratified,0.4
8,147,0.44894781470224154,0.05642477404057244,0.3763896241397565,0.614081524616199,0.3763896241397565,61,43.35330836454432,13,5.670411985018727,9,7.956304619225968,17.096129837702872,36,0.0038552284240722656,0.28664565086364746,15,fec_simple_stratified,0.4
9,149,0.44959160642775675,0.060323021188619166,0.3763896241397565,0.6188459502382213,0.3763896241397565,61,45.93475533249686,13,6.115432873274781,9,8.249686323713927,18.43914680050188,36,0.004078865051269531,0.29879188537597656,15,fec_simple_stratified,0.4
10,109,0.44640972254909983,0.05732664737996035,0.3763896241397565,0.6183165696135522,0.3763896241397565,61,47.54567600487211,13,6.249695493300853,9,8.425091352009744,18.906211936662608,36,0.004548788070678711,0.41016197204589844,15,fec_simple_stratified,0.4
11,116,0.44615917733739446,0.05809419690349308,0.3763896241397565,0.6119640021175226,0.3763896241397565,61,46.61231884057971,13,6.173913043478261,9,8.382850241545894,18.56038647342995,36,0.004059791564941406,0.30185747146606445,15,fec_simple_stratified,0.4
12,96,0.4452523840944957,0.05748693861202215,0.3763896241397565,0.6071995764955003,0.3763896241397565,61,49.139810426540286,13,6.29739336492891,9,8.47037914691943,18.96445497630332,36,0.004219532012939453,0.30495476722717285,15,fec_simple_stratified,0.4
13,90,0.44425073312045865,0.05989492428072913,0.3763896241397565,0.6119640021175226,0.3763896241397565,61,51.120141342756185,13,6.552414605418139,9,8.65135453474676,19.644287396937575,36,0.004164934158325195,0.3190634250640869,15,fec_simple_stratified,0.4
14,100,0.4405058834441415,0.05783138765695037,0.3763896241397565,0.6167284277395447,0.3763896241397565,61,51.18593563766389,13,6.588796185935638,9,8.733015494636472,19.771156138259833,36,0.005092620849609375,0.32101964950561523,15,fec_simple_stratified,0.4
15,103,0.44419701654378385,0.05835322593892454,0.3763896241397565,0.6119640021175226,0.3763896241397565,61,51.341787439613526,13,6.67512077294686,9,8.747584541062801,19.968599033816425,36,0.0040700435638427734,0.3198390007019043,15,fec_simple_stratified,0.4
16,90,0.4411085956145258,0.05838676894077532,0.3763896241397565,0.6119640021175226,0.3763896241397565,61,52.41489361702128,13,6.6879432624113475,9,8.794326241134751,20.08628841607565,36,0.0039653778076171875,0.32776308059692383,15,fec_simple_stratified,0.4
17,85,0.44219500179010207,0.05830542873352493,0.3763896241397565,0.6204340921122287,0.3763896241397565,61,56.415028901734104,13,7.478612716763005,9,9.232369942196533,22.314450867052024,36,0.004126071929931641,0.35947418212890625,15,fec_simple_stratified,0.4
18,113,0.4374212720043563,0.05669914965243486,0.3763896241397565,0.6124933827421917,0.3763896241397565,61,58.372315035799524,13,8.085918854415274,9,9.551312649164677,24.017899761336515,36,0.0045166015625,0.3820650577545166,15,fec_simple_stratified,0.4
19,119,0.43917416622551614,0.05735607189840808,0.3763896241397565,0.6119640021175226,0.3763896241397565,61,59.79151515151515,13,8.138181818181819,9,9.56969696969697,24.112727272727273,36,0.0042934417724609375,0.3884773254394531,15,fec_simple_stratified,0.4
20,109,0.4385477324863243,0.05808583139583176,0.3763896241397565,0.6214928533615669,0.3763896241397565,61,61.791666666666664,13,8.186904761904762,9,9.653571428571428,24.266666666666666,36,0.004037618637084961,0.3848850727081299,15,fec_simple_stratified,0.4
21,101,0.4357744227715111,0.055770670835581425,0.3763896241397565,0.6124933827421917,0.3763896241397565,61,67.046875,13,8.783653846153847,9,9.885817307692308,26.03966346153846,36,0.004251718521118164,0.4082045555114746,15,fec_simple_stratified,0.4
22,100,0.4384902803255075,0.0593851400473783,0.3763896241397565,0.6146109052408681,0.3763896241397565,61,72.22790697674418,13,9.320930232558139,9,10.056976744186047,27.319767441860463,36,0.00422215461730957,0.4399540424346924,15,fec_simple_stratified,0.4
23,91,0.43619644730967255,0.058288189078231946,0.3763896241397565,0.6130227633668608,0.3763896241397565,61,76.20284697508897,13,10.067615658362989,9,10.425860023724793,29.226571767497035,36,0.0043299198150634766,0.46147966384887695,15,fec_simple_stratified,0.4
24,110,0.43308060570338974,0.05628843007454853,0.3763896241397565,0.6214928533615669,0.3763896241397565,61,78.83232810615199,13,10.338962605548854,9,10.581423401688781,30.136308805790108,36,0.0041353702545166016,0.4824178218841553,15,fec_simple_stratified,0.4
25,104,0.4364765708968991,0.05993383408017181,0.3763896241397565,0.6146109052408681,0.3763896241397565,61,85.03636363636363,13,11.082424242424242,9,10.917575757575758,31.974545454545453,36,0.004293918609619141,0.5769460201263428,15,fec_simple_stratified,0.4
26,117,0.4301435778920026,0.05677987265451084,0.3763896241397565,0.614081524616199,0.3763896241397565,61,87.71804062126643,13,11.612903225806452,9,11.194743130227002,33.3142174432497,36,0.004328489303588867,0.5302281379699707,15,fec_simple_stratified,0.4
27,103,0.43176708752530496,0.05594955019735564,0.3763896241397565,0.6087877183695076,0.3763896241397565,61,90.85596221959858,13,12.448642266824084,9,11.564344746162927,35.434474616292796,36,0.0043141841888427734,0.5662863254547119,15,fec_simple_stratified,0.4
28,104,0.4306957275757972,0.05710221270909124,0.3763896241397565,0.6114346214928534,0.3763896241397565,61,93.10872162485066,13,12.851851851851851,9,11.818399044205496,36.473118279569896,36,0.00404810905456543,0.5966622829437256,15,fec_simple_stratified,0.4
29,113,0.42805329806629194,0.05652448053027265,0.3763896241397565,0.614081524616199,0.3763896241397565,61,102.11924439197166,13,15.122786304604487,9,12.874852420306965,42.32703659976387,36,0.004358053207397461,0.6640012264251709,15,fec_simple_stratified,0.4
30,123,0.42585274502439896,0.05680700132308382,0.3763896241397565,0.6130227633668608,0.3763896241397565,61,107.74939467312349,13,16.703389830508474,9,13.51452784503632,46.55084745762712,36,0.004639387130737305,0.6797032356262207,15,fec_simple_stratified,0.4
