gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.502171175940366,0.039021176226766034,0.39332980412916885,0.6183165696135522,,37,19.26801801801802,8,4.254504504504505,7,5.646396396396397,12.943693693693694,25,0.0,0.14434528350830078,25,fec_simple_farthest_point,0.1
1,391,0.4816651056725171,0.03491087136877103,0.38750661725780833,0.6093170989941767,0.38750661725780833,33,21.532692307692308,4,3.7134615384615386,7,5.365384615384615,10.807692307692308,13,0.003566741943359375,0.18852949142456055,25,fec_simple_farthest_point,0.1
2,359,0.47189832144178917,0.0401609347135187,0.3816834303864478,0.6119640021175226,0.3816834303864478,36,26.320353982300883,10,4.173451327433629,10,5.785840707964602,12.129203539823008,30,0.003963470458984375,0.21520614624023438,25,fec_simple_farthest_point,0.1
3,305,0.46664943879799653,0.047828344009087254,0.3816834303864478,0.6119640021175226,0.3816834303864478,36,30.81516587677725,10,4.691943127962086,10,6.342812006319115,13.575039494470774,30,0.0039055347442626953,0.24251937866210938,25,fec_simple_farthest_point,0.1
4,214,0.4619152734158178,0.05406162147109615,0.3816834303864478,0.6151402858655373,0.3816834303864478,36,33.48382749326146,10,5.192722371967655,10,6.915094339622642,15.066037735849056,30,0.003843069076538086,0.2758824825286865,25,fec_simple_farthest_point,0.1
5,222,0.45971800273787927,0.05919623491412959,0.378507146638433,0.6119640021175226,0.378507146638433,31,36.79702300405954,8,5.522327469553451,11,7.328822733423546,16.02571041948579,25,0.003725767135620117,0.29309749603271484,25,fec_simple_farthest_point,0.1
6,201,0.4567330467767955,0.062039275177558265,0.3763896241397565,0.6183165696135522,0.3763896241397565,54,37.99737187910644,13,5.7752956636005255,12,7.536136662286466,16.432325886990803,40,0.003968477249145508,0.31290578842163086,25,fec_simple_farthest_point,0.1
7,159,0.45459874909319065,0.06081856085862613,0.3763896241397565,0.6214928533615669,0.3763896241397565,54,39.6679012345679,13,5.733333333333333,12,7.522222222222222,16.108641975308643,40,0.00402379035949707,0.3186466693878174,25,fec_simple_farthest_point,0.1
8,144,0.45485952759694004,0.0630826785652101,0.3763896241397565,0.6183165696135522,0.3763896241397565,54,42.17739975698663,13,5.8955042527339,12,7.611178614823816,16.534629404617252,40,0.0037703514099121094,0.3311343193054199,25,fec_simple_farthest_point,0.1
9,117,0.45262414470396745,0.06365906015401185,0.3763896241397565,0.6193753308628904,0.3763896241397565,54,42.77336448598131,13,5.793224299065421,12,7.537383177570093,16.115654205607477,40,0.004008054733276367,0.3264892101287842,25,fec_simple_farthest_point,0.1
10,107,0.45425737534692345,0.06401262021416917,0.3763896241397565,0.6183165696135522,0.3763896241397565,54,44.064177362893815,13,5.899649941656943,12,7.549591598599767,16.24970828471412,40,0.004125118255615234,0.41861510276794434,25,fec_simple_farthest_point,0.1
11,82,0.4468760276519314,0.06084383830436124,0.3763896241397565,0.6172578083642138,0.3763896241397565,54,46.555806087936865,13,6.1916572717023675,12,7.721533258173619,16.922209695603158,40,0.004073619842529297,0.3461880683898926,25,fec_simple_farthest_point,0.1
12,103,0.45031211651703884,0.06414334032475703,0.3763896241397565,0.6183165696135522,0.3763896241397565,54,48.44622425629291,13,6.372997711670481,12,7.776887871853547,17.262013729977117,40,0.003980875015258789,0.35535526275634766,25,fec_simple_farthest_point,0.1
13,72,0.44634578666555635,0.06288439001117493,0.3763896241397565,0.6183165696135522,0.3763896241397565,54,50.24831460674157,13,6.60561797752809,12,7.9932584269662925,17.95056179775281,40,0.004164218902587891,0.3724210262298584,25,fec_simple_farthest_point,0.1
14,108,0.4466032661407902,0.062111898451832036,0.3763896241397565,0.6183165696135522,0.3763896241397565,54,51.959810874704495,13,7.067375886524823,12,8.211583924349881,19.102836879432623,40,0.004277944564819336,0.37932491302490234,25,fec_simple_farthest_point,0.1
15,83,0.4492033032868078,0.06434620618432253,0.3763896241397565,0.6183165696135522,0.3763896241397565,54,52.92702394526796,13,7.08551881413911,12,8.107183580387685,19.07411630558723,40,0.004332542419433594,0.3845703601837158,25,fec_simple_farthest_point,0.1
16,77,0.4464167362880593,0.06269207249669245,0.3763896241397565,0.6183165696135522,0.3763896241397565,54,54.625421822272216,13,6.712035995500562,12,7.953880764904387,18.17660292463442,40,0.00393986701965332,0.3747878074645996,25,fec_simple_farthest_point,0.1
17,57,0.4473799717856942,0.06365512614786113,0.3763896241397565,0.6183165696135522,0.3763896241397565,54,54.808324205914566,13,6.421686746987952,12,7.692223439211391,17.316538882803943,40,0.00411677360534668,0.370269775390625,25,fec_simple_farthest_point,0.1
18,62,0.4490068866122671,0.06575374739062476,0.370566437268396,0.6183165696135522,0.370566437268396,91,55.99559471365639,15,6.716960352422907,13,7.894273127753304,18.19273127753304,40,0.00428462028503418,0.3832099437713623,25,fec_simple_farthest_point,0.1
19,70,0.4467223853142329,0.06486556018532824,0.370566437268396,0.6183165696135522,0.370566437268396,91,57.629629629629626,15,6.896745230078563,13,8.015712682379348,18.78563411896745,40,0.004164457321166992,0.39588022232055664,25,fec_simple_farthest_point,0.1
20,54,0.44709513206516754,0.06319492194676483,0.370566437268396,0.6183165696135522,0.370566437268396,91,60.54852780806979,15,6.708833151581243,13,7.884405670665212,18.262813522355508,40,0.0040035247802734375,0.3972198963165283,25,fec_simple_farthest_point,0.1
21,60,0.44828924337955667,0.06294977603068815,0.370566437268396,0.6246691371095818,0.370566437268396,91,61.921225382932164,15,6.981400437636761,13,7.985776805251641,18.928884026258206,40,0.0041599273681640625,0.40688252449035645,25,fec_simple_farthest_point,0.1
22,46,0.44978071403459047,0.06443030430018318,0.370566437268396,0.6183165696135522,0.370566437268396,91,63.62377317339149,15,7.431842966194111,13,8.187568157033805,20.174482006543077,40,0.004294157028198242,0.4328901767730713,25,fec_simple_farthest_point,0.1
23,48,0.4497030865192073,0.06646908938730203,0.370566437268396,0.6214928533615669,0.370566437268396,91,65.62391304347825,15,7.735869565217391,13,8.273913043478261,21.042391304347827,40,0.00421452522277832,0.44156551361083984,25,fec_simple_farthest_point,0.1
24,50,0.44674792248215844,0.062398079700903435,0.370566437268396,0.6267866596082583,0.370566437268396,91,66.99349945828818,15,8.253521126760564,13,8.526543878656554,22.403033586132178,40,0.004217863082885742,0.46895742416381836,25,fec_simple_farthest_point,0.1
25,62,0.44685124169688206,0.06486798858741083,0.370566437268396,0.6183165696135522,0.370566437268396,91,69.64966740576497,15,7.698447893569845,13,8.318181818181818,21.121951219512194,40,0.004314422607421875,0.5301461219787598,25,fec_simple_farthest_point,0.1
26,39,0.44781668956470544,0.06415450921391061,0.370566437268396,0.6183165696135522,0.370566437268396,91,73.66630785791173,15,8.461786867599569,13,8.666307857911733,23.14101184068891,40,0.004352092742919922,0.4945189952850342,25,fec_simple_farthest_point,0.1
27,48,0.44461526350376956,0.06218265799924276,0.370566437268396,0.6246691371095818,0.370566437268396,91,77.73814655172414,15,9.273706896551724,13,9.004310344827585,24.814655172413794,40,0.004730939865112305,0.5264408588409424,25,fec_simple_farthest_point,0.1
28,59,0.44355427906255757,0.06380100852576763,0.370566437268396,0.6183165696135522,0.370566437268396,91,83.60662983425415,15,10.356906077348066,13,9.468508287292817,27.53038674033149,40,0.0042722225189208984,0.5575494766235352,25,fec_simple_farthest_point,0.1
29,49,0.4388571064657788,0.06354350564529898,0.36897829539438853,0.6183165696135522,0.36897829539438853,78,88.92696025778733,16,11.073039742212675,13,9.687432867883995,29.276047261009666,48,0.004382610321044922,0.5890066623687744,25,fec_simple_farthest_point,0.1
30,58,0.4407281321638852,0.06415507659733101,0.36897829539438853,0.6241397564849127,0.36897829539438853,78,95.87350054525628,16,12.127589967284624,13,10.076335877862595,32.13740458015267,48,0.004325151443481445,0.6346025466918945,25,fec_simple_farthest_point,0.1
31,68,0.43860355949910285,0.0630457396528657,0.36897829539438853,0.6183165696135522,0.36897829539438853,78,103.16261061946902,16,13.96570796460177,13,10.859513274336283,36.68805309734513,48,0.004330873489379883,0.6999800205230713,25,fec_simple_farthest_point,0.1
32,70,0.4381102460066352,0.06393846906726497,0.36897829539438853,0.6204340921122287,0.36897829539438853,78,107.58693244739756,16,15.194905869324474,13,11.246954595791806,39.77076411960133,48,0.004484891891479492,0.7385463714599609,25,fec_simple_farthest_point,0.1
33,89,0.43889383512199825,0.06517269415821901,0.3673901535203812,0.6183165696135522,0.3673901535203812,65,111.05,6,16.111363636363638,8,11.527272727272727,41.872727272727275,18,0.00470733642578125,0.8157162666320801,25,fec_simple_farthest_point,0.1
34,95,0.43823391404783674,0.06576659157813643,0.3673901535203812,0.6267866596082583,0.3673901535203812,65,115.57386363636364,6,17.295454545454547,8,11.710227272727273,44.73977272727273,18,0.004507541656494141,0.8385803699493408,25,fec_simple_farthest_point,0.1
35,105,0.43506882252013135,0.06437845244888524,0.3673901535203812,0.6183165696135522,0.3673901535203812,65,122.73708381171068,6,17.998851894374283,8,12.14695752009185,46.569460390355914,18,0.0045013427734375,0.8871679306030273,25,fec_simple_farthest_point,0.1
36,91,0.4347450149991177,0.06435831202065721,0.3673901535203812,0.6225516146109052,0.3673901535203812,65,129.87586206896552,6,19.171264367816093,8,12.354022988505747,49.1,18,0.004508256912231445,0.8610141277313232,25,fec_simple_farthest_point,0.1
37,107,0.43537488890291937,0.06238923753306786,0.3673901535203812,0.6199047114875595,0.3673901535203812,65,130.6525229357798,6,19.454128440366972,8,12.371559633027523,49.49426605504587,18,0.004640102386474609,0.9330043792724609,25,fec_simple_farthest_point,0.1
38,93,0.43240437194753517,0.0649303182005211,0.36686077289571206,0.6183165696135522,0.36686077289571206,239,135.54161915621438,55,19.573546180159635,26,12.565564424173319,49.97947548460662,150,0.004538774490356445,0.9362223148345947,25,fec_simple_farthest_point,0.1
39,88,0.43544962100888235,0.06716638760977467,0.36686077289571206,0.6241397564849127,0.36686077289571206,239,135.67607223476298,55,19.892776523702032,26,12.58352144469526,50.533860045146724,150,0.004569292068481445,0.9445147514343262,25,fec_simple_farthest_point,0.1
40,85,0.437309939299271,0.0685910807282587,0.36686077289571206,0.6183165696135522,0.36686077289571206,239,137.31390134529147,55,19.668161434977577,26,12.429372197309418,49.95067264573991,150,0.0047910213470458984,0.9295399188995361,25,fec_simple_farthest_point,0.1
41,80,0.43245940969604285,0.06313226527225707,0.36686077289571206,0.6183165696135522,0.36686077289571206,239,147.26038159371492,55,20.879910213243548,26,12.841750841750843,52.92368125701459,150,0.004738330841064453,1.0237998962402344,25,fec_simple_farthest_point,0.1
42,91,0.43445144209651554,0.06302647555379985,0.36686077289571206,0.6188459502382213,0.36686077289571206,239,146.41430192962542,55,20.20544835414302,26,12.631101021566401,51.211123723042,150,0.0048296451568603516,1.0452704429626465,25,fec_simple_farthest_point,0.1
43,91,0.43519899898936426,0.06527879163382486,0.36686077289571206,0.6183165696135522,0.36686077289571206,239,148.5818181818182,55,20.036363636363635,26,12.540909090909091,50.632954545454545,150,0.004753828048706055,0.9976787567138672,25,fec_simple_farthest_point,0.1
44,83,0.4341953323961023,0.06283431580324268,0.36686077289571206,0.6267866596082583,0.36686077289571206,239,154.56328392246294,55,21.476624857468643,26,12.74230330672748,54.35689851767389,150,0.004209756851196289,1.028632640838623,25,fec_simple_farthest_point,0.1
45,88,0.44338460020188347,0.06656356612849265,0.36686077289571206,0.6183165696135522,0.36686077289571206,239,160.11162255466053,55,21.125431530494822,26,12.570771001150748,53.2186421173763,150,0.004621744155883789,1.1049444675445557,25,fec_simple_farthest_point,0.1
46,75,0.43820800212463623,0.06460810487008005,0.36686077289571206,0.6225516146109052,0.36686077289571206,239,164.92945128779397,55,20.90481522956327,26,12.361702127659575,52.660694288913774,150,0.004620075225830078,1.1236541271209717,25,fec_simple_farthest_point,0.1
47,67,0.4415459804885427,0.0672171398850741,0.36686077289571206,0.6241397564849127,0.36686077289571206,239,162.90401785714286,55,20.816964285714285,26,12.435267857142858,52.386160714285715,150,0.004590749740600586,1.087850570678711,25,fec_simple_farthest_point,0.1
48,92,0.44025028822513224,0.06709359746009219,0.36686077289571206,0.6183165696135522,0.36686077289571206,239,166.71247113163972,55,23.5,26,13.237875288683602,59.06235565819861,150,0.003945112228393555,1.073901891708374,25,fec_simple_farthest_point,0.1
49,96,0.4356421386977237,0.06367015374508225,0.36686077289571206,0.6183165696135522,0.36686077289571206,239,171.632,55,21.69142857142857,26,12.668571428571429,54.23657142857143,150,0.004843473434448242,1.1394171714782715,25,fec_simple_farthest_point,0.1
50,106,0.43778277644199975,0.06637880472573923,0.36686077289571206,0.6183165696135522,0.36686077289571206,239,165.4840613931523,55,20.66115702479339,26,12.45336481700118,51.6517119244392,150,0.0046155452728271484,1.0034899711608887,25,fec_simple_farthest_point,0.1
