gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5055810993272702,0.035545771254606506,0.3996823716251985,0.6056114346214929,,21,20.231460674157304,4,4.474157303370786,7,5.678651685393258,13.591011235955056,14,0.0,0.1575469970703125,24,fec_simple_farthest_point,0.2
1,419,0.483983222031879,0.032994080520170735,0.3949179460031763,0.598729486500794,0.3949179460031763,64,22.198757763975156,7,3.813664596273292,9,5.563146997929606,11.271221532091097,22,0.0038237571716308594,0.1924605369567871,24,fec_simple_farthest_point,0.2
2,316,0.47546281298641785,0.039480360602655,0.3949179460031763,0.6019057702488089,0.3949179460031763,64,26.207296849087893,7,3.6749585406301826,9,5.6318407960199,10.810945273631841,22,0.003543853759765625,0.20542025566101074,24,fec_simple_farthest_point,0.2
3,297,0.46950188591847536,0.04533992809972986,0.39332980412916885,0.6071995764955003,0.39332980412916885,29,28.8984375,4,3.965625,6,5.9171875,11.640625,12,0.003884553909301758,0.21744871139526367,24,fec_simple_farthest_point,0.2
4,260,0.46741277463077446,0.04965818624331306,0.3912122816304924,0.602435150873478,0.3912122816304924,23,30.873715124816446,7,3.973568281938326,9,6.054331864904552,11.599118942731277,22,0.0039026737213134766,0.22440385818481445,24,fec_simple_farthest_point,0.2
5,253,0.465372032707344,0.0549797937446279,0.3890947591318158,0.6071995764955003,0.3890947591318158,24,31.86187050359712,8,4.024460431654676,7,6.279136690647482,11.722302158273381,24,0.003912925720214844,0.2324998378753662,24,fec_simple_farthest_point,0.2
6,200,0.469977164251338,0.05832740628635358,0.3890947591318158,0.606140815246162,0.3890947591318158,24,34.17292225201072,8,4.225201072386059,7,6.561662198391421,12.347184986595174,24,0.003889322280883789,0.2511618137359619,24,fec_simple_farthest_point,0.2
7,201,0.4655892076469207,0.05618858352763971,0.3890947591318158,0.6077289571201694,0.3890947591318158,24,37.443708609271525,8,5.00794701986755,7,7.064900662251656,14.611920529801324,24,0.003938198089599609,0.28245091438293457,24,fec_simple_farthest_point,0.2
8,194,0.46436497112947384,0.056289233120654036,0.3890947591318158,0.6082583377448385,0.3890947591318158,24,41.25033112582781,8,5.76158940397351,7,7.558940397350994,16.76953642384106,24,0.0037560462951660156,0.31466078758239746,24,fec_simple_farthest_point,0.2
9,187,0.46292310292472316,0.05455323281259504,0.385918475383801,0.6050820539968238,0.385918475383801,51,45.361477572559366,14,5.852242744063324,12,7.660949868073879,17.065963060686016,42,0.0038862228393554688,0.3300013542175293,24,fec_simple_farthest_point,0.2
10,183,0.4603786464573292,0.05503377208814385,0.385918475383801,0.606140815246162,0.385918475383801,51,49.00394736842105,14,6.175,12,7.911842105263158,17.91184210526316,42,0.004004478454589844,0.43383312225341797,24,fec_simple_farthest_point,0.2
11,166,0.4583916282235499,0.05668032082816714,0.385918475383801,0.606140815246162,0.385918475383801,51,53.10076530612245,14,7.035714285714286,12,8.285714285714286,20.372448979591837,42,0.004083871841430664,0.3807048797607422,24,fec_simple_farthest_point,0.2
12,196,0.45779924905079605,0.05786999540064367,0.385918475383801,0.606140815246162,0.385918475383801,51,56.22251655629139,14,7.911258278145695,12,8.690066225165562,22.516556291390728,42,0.00398707389831543,0.40815234184265137,24,fec_simple_farthest_point,0.2
13,171,0.46046884119938647,0.057836602284220655,0.385918475383801,0.6109052408681842,0.385918475383801,51,56.61282051282051,14,7.756410256410256,12,8.605128205128205,21.80128205128205,42,0.004058837890625,0.40459227561950684,24,fec_simple_farthest_point,0.2
14,169,0.45718130432555204,0.055313116170838596,0.385918475383801,0.606140815246162,0.385918475383801,51,58.2541935483871,14,7.765161290322581,12,8.581935483870968,21.789677419354838,42,0.004201412200927734,0.4011881351470947,24,fec_simple_farthest_point,0.2
15,153,0.45614633375829183,0.056449182870125236,0.385918475383801,0.606140815246162,0.385918475383801,51,60.01622971285892,14,8.234706616729088,12,8.715355805243446,22.94007490636704,42,0.004094600677490234,0.42372822761535645,24,fec_simple_farthest_point,0.2
16,144,0.4581567905126533,0.05625903029389661,0.385918475383801,0.606140815246162,0.385918475383801,51,64.49687890137328,14,9.249687890137329,12,9.177278401997503,25.67166042446941,42,0.004027366638183594,0.4584481716156006,24,fec_simple_farthest_point,0.2
17,163,0.4587072997204736,0.05680994289591424,0.3843303335097935,0.614081524616199,0.3843303335097935,134,68.03694267515924,44,9.475159235668789,25,9.236942675159236,26.35031847133758,128,0.0041234493255615234,0.47771477699279785,24,fec_simple_farthest_point,0.2
18,138,0.45366692920502527,0.056287420885837054,0.3843303335097935,0.609846479618846,0.3843303335097935,134,69.7060975609756,44,9.598780487804879,25,9.27560975609756,26.684146341463414,128,0.004142284393310547,0.4872133731842041,24,fec_simple_farthest_point,0.2
19,133,0.4556397919722977,0.05627551130299016,0.3843303335097935,0.6071995764955003,0.3843303335097935,134,69.57933579335793,44,9.146371463714637,25,9.280442804428045,25.84132841328413,128,0.004213809967041016,0.484036922454834,24,fec_simple_farthest_point,0.2
20,158,0.45789512198498616,0.057720705266584425,0.3838009528851244,0.6066701958708312,0.3838009528851244,84,72.15068493150685,11,9.118306351183064,11,9.351183063511831,25.933997509339974,34,0.004033803939819336,0.495403528213501,24,fec_simple_farthest_point,0.2
21,129,0.4554896643370097,0.0561158619553116,0.3838009528851244,0.6077289571201694,0.3838009528851244,84,72.26113116726835,11,9.839951865222623,11,9.623345367027678,27.734055354993984,34,0.004228353500366211,0.5313544273376465,24,fec_simple_farthest_point,0.2
22,141,0.453417119254423,0.05567011316472678,0.3838009528851244,0.6124933827421917,0.3838009528851244,84,72.58148148148148,11,10.049382716049383,11,9.65679012345679,28.02962962962963,34,0.004515409469604492,0.5282919406890869,24,fec_simple_farthest_point,0.2
