gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5057834553445619,0.03601326475257735,0.4049761778718899,0.6034939121228162,,21,19.7061310782241,4,4.4038054968287526,7,5.604651162790698,13.241014799154334,14,0.0,0.4430224895477295,19,fec_simple_kmeans,0.1
1,383,0.4869491164147022,0.03357219572953428,0.40127051349920595,0.6008470089994706,0.40127051349920595,19,19.35538752362949,4,3.2741020793950852,7,5.183364839319471,9.591682419659735,13,0.03737831115722656,1.2323930263519287,19,fec_simple_kmeans,0.1
2,319,0.47465245494703967,0.03524638273913012,0.397564849126522,0.5997882477501324,0.397564849126522,27,20.922689075630252,5,3.0285714285714285,7,5.100840336134453,8.74453781512605,15,0.020162582397460938,0.8577699661254883,19,fec_simple_kmeans,0.1
3,286,0.4677760618802116,0.04081701225952892,0.397564849126522,0.5997882477501324,0.397564849126522,27,23.355095541401273,5,3.073248407643312,7,5.25796178343949,8.931528662420382,15,0.10303211212158203,1.1932117938995361,19,fec_simple_kmeans,0.1
4,269,0.4602044571266252,0.04357217263811749,0.3922710428798306,0.5997882477501324,0.3922710428798306,20,25.25609756097561,4,3.2408536585365852,7,5.530487804878049,9.524390243902438,13,0.015981197357177734,0.7974569797515869,19,fec_simple_kmeans,0.1
5,265,0.45614073430111235,0.04654650920446817,0.3912122816304924,0.5997882477501324,0.3912122816304924,62,28.819571865443425,3,3.636085626911315,7,6.143730886850153,10.970948012232416,10,0.00548863410949707,0.4808216094970703,19,fec_simple_kmeans,0.1
6,236,0.4565686676847454,0.05016897269228439,0.3912122816304924,0.6066701958708312,0.3912122816304924,62,33.257925072046106,3,4.530259365994237,7,6.989913544668588,13.59221902017291,10,0.028239965438842773,0.5027046203613281,19,fec_simple_kmeans,0.1
7,236,0.4542786522502485,0.053141933970553404,0.3896241397564849,0.6103758602435151,0.3896241397564849,38,35.09208633093525,5,4.7582733812949645,8,7.39136690647482,14.601438848920864,16,0.005424022674560547,0.4988534450531006,19,fec_simple_kmeans,0.1
8,198,0.45302227887315316,0.05212549287918276,0.3896241397564849,0.6040232927474855,0.3896241397564849,38,36.427994616419916,5,4.983849259757739,8,7.644683714670256,15.374158815612383,16,0.009215593338012695,0.6341078281402588,19,fec_simple_kmeans,0.1
9,186,0.4534623489217226,0.053569103642754266,0.3843303335097935,0.606140815246162,0.3843303335097935,44,38.83224967490247,7,5.17295188556567,8,7.807542262678804,15.89076723016905,22,0.009360551834106445,0.5306663513183594,19,fec_simple_kmeans,0.1
10,188,0.4547862092501047,0.05421233325053426,0.3843303335097935,0.6013763896241398,0.3843303335097935,44,39.648612945838835,7,5.461030383091149,8,8.00792602377807,16.642007926023776,22,0.00398564338684082,0.3802669048309326,19,fec_simple_kmeans,0.1
11,158,0.44781021669914867,0.0526852930559844,0.3843303335097935,0.6087877183695076,0.3843303335097935,44,41.8519003931848,7,5.6880733944954125,8,8.154652686762779,17.357798165137616,22,0.0040705204010009766,0.30705785751342773,19,fec_simple_kmeans,0.1
12,137,0.44892138697723666,0.0540393127440541,0.3843303335097935,0.6066701958708312,0.3843303335097935,44,42.80625,7,5.64,8,8.16875,17.24125,22,0.003976106643676758,0.30529069900512695,19,fec_simple_kmeans,0.1
13,132,0.4503368184224458,0.05461294429049298,0.3843303335097935,0.606140815246162,0.3843303335097935,44,43.845,7,5.78,8,8.2625,17.57875,22,0.003973960876464844,0.306011438369751,19,fec_simple_kmeans,0.1
14,131,0.45194691517854807,0.054849392619649814,0.3843303335097935,0.606140815246162,0.3843303335097935,44,45.863861386138616,7,6.11509900990099,8,8.455445544554456,18.525990099009903,22,0.00403594970703125,0.33094096183776855,19,fec_simple_kmeans,0.1
15,117,0.44935334417855194,0.05274674952030535,0.3832715722604553,0.5997882477501324,0.3832715722604553,50,47.302919708029194,5,6.069343065693431,8,8.413625304136254,18.389294403892944,16,0.004031658172607422,0.3301081657409668,19,fec_simple_kmeans,0.1
16,103,0.4517958952054873,0.05364486503213269,0.3832715722604553,0.609846479618846,0.3832715722604553,50,50.58033573141487,5,6.465227817745803,8,8.611510791366907,19.43285371702638,16,0.003981113433837891,0.35193800926208496,19,fec_simple_kmeans,0.1
17,93,0.4482357277499345,0.05462796982612975,0.3832715722604553,0.6077289571201694,0.3832715722604553,50,54.24182242990654,5,6.811915887850467,8,8.81892523364486,20.432242990654206,16,0.004033327102661133,0.3681504726409912,19,fec_simple_kmeans,0.1
18,102,0.44824944164440034,0.05409412167775968,0.3832715722604553,0.6066701958708312,0.3832715722604553,50,54.57988165680474,5,6.676923076923077,8,8.76568047337278,20.054437869822486,16,0.004072904586791992,0.3720524311065674,19,fec_simple_kmeans,0.1
19,90,0.44784724803422077,0.05405298818858714,0.3832715722604553,0.6135521439915299,0.3832715722604553,50,56.41489361702128,5,6.988179669030733,8,8.846335697399526,20.91016548463357,16,0.004137516021728516,0.37868261337280273,19,fec_simple_kmeans,0.1
20,103,0.4484254744064829,0.05513256392736665,0.378507146638433,0.6135521439915299,0.378507146638433,47,58.59975961538461,5,7.018028846153846,9,8.971153846153847,21.05048076923077,16,0.0039327144622802734,0.38576602935791016,19,fec_simple_kmeans,0.1
21,69,0.4469431346719687,0.05540280665566219,0.378507146638433,0.606140815246162,0.378507146638433,47,59.17906976744186,5,6.959302325581396,9,8.944186046511629,21.03372093023256,16,0.004174709320068359,0.3870697021484375,19,fec_simple_kmeans,0.1
22,64,0.44311175555085536,0.05379601102022757,0.378507146638433,0.6093170989941767,0.378507146638433,47,58.38568129330254,5,6.674364896073903,9,8.836027713625866,20.136258660508084,16,0.004111766815185547,0.37956762313842773,19,fec_simple_kmeans,0.1
23,74,0.44538780955761526,0.05421376047864932,0.378507146638433,0.6077289571201694,0.378507146638433,47,60.83468208092486,5,6.9144508670520235,9,8.920231213872832,20.826589595375722,16,0.0041387081146240234,0.3907468318939209,19,fec_simple_kmeans,0.1
24,78,0.4446907919128348,0.05260532576353235,0.378507146638433,0.6077289571201694,0.378507146638433,47,60.7061556329849,5,7.046457607433217,9,9.005807200929151,21.204413472706154,16,0.004031181335449219,0.3902277946472168,19,fec_simple_kmeans,0.1
25,88,0.4456666949668887,0.05465050264237483,0.378507146638433,0.6114346214928534,0.378507146638433,47,61.200471698113205,5,7.120283018867925,9,9.049528301886792,21.444575471698112,16,0.004241228103637695,0.44366979598999023,19,fec_simple_kmeans,0.1
26,98,0.4442444283316482,0.05400267550381614,0.378507146638433,0.606140815246162,0.378507146638433,47,62.447867298578196,5,7.225118483412322,9,9.143364928909953,21.8021327014218,16,0.0042040348052978516,0.41234374046325684,19,fec_simple_kmeans,0.1
27,86,0.4439183544530289,0.05409466536467912,0.378507146638433,0.6114346214928534,0.378507146638433,47,63.54662004662005,5,7.252913752913753,9,9.178321678321678,21.77156177156177,16,0.004704475402832031,0.4049506187438965,19,fec_simple_kmeans,0.1
28,85,0.4434455327873156,0.05270889465470189,0.378507146638433,0.6114346214928534,0.378507146638433,47,64.02683780630105,5,7.1050175029171525,9,9.105017502917153,21.430571761960326,16,0.004046916961669922,0.3996603488922119,19,fec_simple_kmeans,0.1
29,82,0.44393160696429623,0.05392288605809051,0.378507146638433,0.609846479618846,0.378507146638433,47,65.6238425925926,5,7.465277777777778,9,9.230324074074074,22.462962962962962,16,0.004323005676269531,0.4207496643066406,19,fec_simple_kmeans,0.1
30,89,0.44733335985336464,0.05347358655970253,0.378507146638433,0.6103758602435151,0.378507146638433,47,68.06589595375722,5,7.330635838150289,9,9.166473988439307,22.03236994219653,16,0.00442051887512207,0.421170711517334,19,fec_simple_kmeans,0.1
