gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5004914033189864,0.03763208298218153,0.3922710428798306,0.6082583377448385,,15,20.169565217391305,3,4.452173913043478,7,5.723913043478261,13.539130434782608,10,0.0,0.14578747749328613,2,fec_simple_stratified,0.2
1,390,0.48221945342960143,0.03781159494892479,0.3917416622551615,0.6130227633668608,0.3917416622551615,12,23.38212927756654,4,4.1216730038022815,6,5.857414448669202,12.307984790874524,12,0.0034644603729248047,0.20114755630493164,2,fec_simple_stratified,0.2
2,349,0.4688760863821301,0.04614009950929125,0.3864478560084701,0.6087877183695076,0.3864478560084701,30,25.449378330373,4,3.911190053285968,7,5.912966252220249,11.554174067495559,13,0.0036966800689697266,0.20998644828796387,2,fec_simple_stratified,0.2
3,301,0.4615027467043887,0.05189772231871659,0.38538909475913186,0.609846479618846,0.38538909475913186,51,26.41311475409836,10,3.6262295081967215,9,5.973770491803279,10.759016393442623,32,0.0038344860076904297,0.20772719383239746,2,fec_simple_stratified,0.2
4,236,0.4557928705972152,0.05478166407480548,0.38221281101111704,0.6077289571201694,0.38221281101111704,44,29.767441860465116,8,3.9505813953488373,9,6.306686046511628,11.720930232558139,25,0.003915548324584961,0.23458337783813477,2,fec_simple_stratified,0.2
5,232,0.4541362850131066,0.057976410512534715,0.38221281101111704,0.6087877183695076,0.38221281101111704,44,31.05263157894737,8,4.004267425320057,9,6.503556187766714,11.93172119487909,25,0.0038492679595947266,0.24731779098510742,2,fec_simple_stratified,0.2
6,179,0.45705887630230724,0.06267299729429468,0.38221281101111704,0.6124933827421917,0.38221281101111704,44,33.14230271668823,8,4.512289780077619,9,6.827943078913325,13.389391979301424,25,0.0039141178131103516,0.2846996784210205,2,fec_simple_stratified,0.2
7,200,0.45184316888922504,0.06252320487955097,0.38221281101111704,0.6124933827421917,0.38221281101111704,44,36.074074074074076,8,4.965608465608466,9,7.101851851851852,14.616402116402117,25,0.003821134567260742,0.2943837642669678,2,fec_simple_stratified,0.2
8,172,0.4480507933922439,0.061841825477743216,0.38221281101111704,0.6077289571201694,0.38221281101111704,44,38.31923076923077,8,5.133333333333334,9,7.211538461538462,15.092307692307692,25,0.003891468048095703,0.3118257522583008,2,fec_simple_stratified,0.2
9,162,0.44549253770603925,0.0599770596661593,0.38221281101111704,0.6124933827421917,0.38221281101111704,44,42.09316770186335,8,5.859627329192547,9,7.60248447204969,17.17142857142857,25,0.003971576690673828,0.34154176712036133,2,fec_simple_stratified,0.2
10,162,0.44534312575805296,0.0628639914793591,0.3816834303864478,0.6077289571201694,0.3816834303864478,54,44.667088607594934,9,6.492405063291139,10,7.879746835443038,18.89367088607595,28,0.0041294097900390625,0.43580055236816406,2,fec_simple_stratified,0.2
11,168,0.447504895584586,0.0647216011473357,0.3816834303864478,0.6146109052408681,0.3816834303864478,54,45.40845070422535,9,6.791293213828425,10,8.052496798975673,19.743918053777207,28,0.004117250442504883,0.3775479793548584,2,fec_simple_stratified,0.2
12,175,0.4447224392962879,0.06242692818419699,0.3816834303864478,0.6130227633668608,0.3816834303864478,54,48.00661375661376,9,7.162698412698413,10,8.264550264550264,20.89814814814815,28,0.00408935546875,0.38655829429626465,2,fec_simple_stratified,0.2
13,168,0.4401389810541385,0.05931115045178872,0.3816834303864478,0.6124933827421917,0.3816834303864478,54,51.778489116517285,9,7.833546734955186,10,8.606914212548016,22.848911651728553,28,0.004129648208618164,0.42659687995910645,2,fec_simple_stratified,0.2
14,177,0.4388374610714473,0.05901594439592868,0.3816834303864478,0.6071995764955003,0.3816834303864478,54,53.927927927927925,9,8.168597168597168,10,8.799227799227799,23.732303732303734,28,0.004051685333251953,0.43608975410461426,2,fec_simple_stratified,0.2
15,159,0.4438759020367223,0.06060533212733931,0.3816834303864478,0.6161990471148756,0.3816834303864478,54,56.738157894736844,9,8.631578947368421,10,9.064473684210526,25.080263157894738,28,0.00428318977355957,0.4493408203125,2,fec_simple_stratified,0.2
16,168,0.4391165592701587,0.05953270079693811,0.3816834303864478,0.6124933827421917,0.3816834303864478,54,59.98778833107191,9,9.289009497964722,10,9.360922659430122,26.914518317503394,28,0.004034519195556641,0.4727184772491455,2,fec_simple_stratified,0.2
