gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5013256899575488,0.036411534681944024,0.39809422975119113,0.6071995764955003,,33,19.723044397463003,6,4.380549682875264,7,5.572938689217759,13.241014799154334,22,0.0,0.15070867538452148,6,fec_simple_stratified,0.3
1,432,0.48508693388406343,0.03812167773163517,0.39068290100582315,0.6013763896241398,0.39068290100582315,30,22.67283950617284,6,3.6872427983539096,7,5.42798353909465,10.927983539094651,20,0.0034732818603515625,0.19234085083007812,6,fec_simple_stratified,0.3
2,356,0.47430564847187395,0.037809962782403436,0.39068290100582315,0.5929062996294336,0.39068290100582315,30,25.09157509157509,6,3.600732600732601,7,5.456043956043956,10.5,20,0.0034821033477783203,0.20234465599060059,6,fec_simple_stratified,0.3
3,304,0.46856945201643097,0.04080546349285584,0.39068290100582315,0.598729486500794,0.39068290100582315,30,27.867330016583747,6,3.6550580431177444,7,5.621890547263682,10.716417910447761,20,0.0037810802459716797,0.21335649490356445,6,fec_simple_stratified,0.3
4,289,0.46430209987647775,0.045763495169535665,0.39068290100582315,0.598729486500794,0.39068290100582315,30,28.715873015873015,6,3.5904761904761906,7,5.696825396825397,10.438095238095238,20,0.003881216049194336,0.21932601928710938,6,fec_simple_stratified,0.3
5,238,0.46159447594785713,0.05148913494883577,0.39068290100582315,0.6034939121228162,0.39068290100582315,30,30.055312954876275,6,3.510917030567686,7,6.0,10.468704512372634,20,0.0039958953857421875,0.22516250610351562,6,fec_simple_stratified,0.3
6,198,0.4622560388875402,0.05582752026348576,0.39068290100582315,0.6050820539968238,0.39068290100582315,30,31.89364640883978,6,3.9502762430939224,7,6.6187845303867405,12.011049723756907,20,0.003924369812011719,0.24825048446655273,6,fec_simple_stratified,0.3
7,216,0.4591333533956143,0.05927626750533043,0.3885653785071467,0.6077289571201694,0.3885653785071467,65,33.60719225449516,11,4.4204702627939145,11,7.196403872752421,13.560165975103734,34,0.003948688507080078,0.26500892639160156,6,fec_simple_stratified,0.3
8,183,0.45476674253987553,0.05648580000600173,0.3885653785071467,0.6077289571201694,0.3885653785071467,65,35.12334217506631,11,4.811671087533156,11,7.50132625994695,14.651193633952255,34,0.003978729248046875,0.28109288215637207,6,fec_simple_stratified,0.3
9,180,0.4559411563117227,0.05899496966569577,0.3885653785071467,0.6050820539968238,0.3885653785071467,65,37.7027027027027,11,5.02059202059202,11,7.658944658944659,15.306306306306306,34,0.003932952880859375,0.31355881690979004,6,fec_simple_stratified,0.3
10,163,0.4576137987946915,0.06147685137385746,0.3838009528851244,0.6077289571201694,0.3838009528851244,43,39.30483271375465,10,5.226765799256506,11,7.79182156133829,15.863692688971499,30,0.003969430923461914,0.3873710632324219,6,fec_simple_stratified,0.3
11,154,0.4531989667446679,0.05910706689073766,0.3838009528851244,0.6077289571201694,0.3838009528851244,43,41.45796737766625,10,5.70138017565872,11,8.084065244667503,17.15181932245922,30,0.004098176956176758,0.33560848236083984,6,fec_simple_stratified,0.3
12,177,0.454830227768371,0.06002862967910216,0.3838009528851244,0.6077289571201694,0.3838009528851244,43,42.900763358778626,10,6.236641221374046,11,8.354961832061068,18.619592875318066,30,0.003948688507080078,0.3609137535095215,6,fec_simple_stratified,0.3
13,161,0.45058185431816705,0.059428569680017966,0.3806246691371096,0.6077289571201694,0.3806246691371096,79,45.274436090225564,16,6.62531328320802,12,8.62155388471178,19.760651629072683,49,0.004028797149658203,0.3855273723602295,6,fec_simple_stratified,0.3
14,139,0.45185736880205274,0.05923654347419224,0.3806246691371096,0.6066701958708312,0.3806246691371096,79,48.16399506781751,16,6.856966707768187,12,8.789149198520345,20.309494451294697,49,0.004004478454589844,0.4111471176147461,6,fec_simple_stratified,0.3
