gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.503934047606778,0.04242451367944853,0.37268395976707247,0.6220222339862361,,36,20.055309734513273,8,4.486725663716814,7,5.621681415929204,13.464601769911505,24,0.0,0.1039736270904541,30,baseline_simple,1.0
1,404,0.4836472783154389,0.04083811406411198,0.37268395976707247,0.6188459502382213,0.4334038054968288,36,22.879611650485437,8,3.8213592233009708,7,5.442718446601941,11.120388349514563,24,0.0037500858306884766,0.17364740371704102,30,baseline_simple,1.0
2,318,0.470874424605331,0.04351015800359858,0.3684489147697194,0.6225516146109052,0.41860465116279066,49,26.508278145695364,10,3.7649006622516556,9,5.435430463576159,10.862582781456954,30,0.004019737243652344,0.1848611831665039,30,baseline_simple,1.0
3,237,0.46277362212668577,0.04921024294702903,0.3684489147697194,0.6188459502382213,0.41860465116279066,49,29.061285500747385,10,3.7070254110612857,9,5.5007473841554555,10.61883408071749,30,0.0044803619384765625,0.1721794605255127,30,baseline_simple,1.0
4,207,0.4543468692191933,0.05087541178351433,0.3684489147697194,0.6220222339862361,0.41860465116279066,49,32.81039325842696,10,4.051966292134831,9,5.860955056179775,11.688202247191011,30,0.004122734069824219,0.1909191608428955,30,baseline_simple,1.0
5,209,0.45146126033934997,0.05763808628395571,0.3684489147697194,0.6299629433562732,0.41860465116279066,49,37.89818688981869,10,5.0571827057182706,9,6.666666666666667,14.741980474198048,30,0.004141092300415039,0.21738648414611816,30,baseline_simple,1.0
6,214,0.4492170663056464,0.0618779528369558,0.3684489147697194,0.6267866596082583,0.41860465116279066,49,40.88251366120219,10,5.419398907103825,9,7.222677595628415,16.01366120218579,30,0.0041179656982421875,0.24579071998596191,30,baseline_simple,1.0
7,188,0.4524243163995535,0.06524553828719404,0.3684489147697194,0.6257278983589201,0.41860465116279066,49,43.09326424870466,10,5.321243523316062,9,7.319948186528498,15.874352331606218,30,0.00429224967956543,0.24445009231567383,30,baseline_simple,1.0
8,192,0.45234689808810585,0.06839136927907805,0.3684489147697194,0.6262572789835892,0.41860465116279066,49,46.745501285347046,10,5.877892030848329,9,7.719794344473008,17.55912596401028,30,0.0042972564697265625,0.2649350166320801,30,baseline_simple,1.0
9,148,0.4508060667541144,0.07116472877732351,0.3684489147697194,0.6267866596082583,0.41860465116279066,49,48.88423645320197,10,6.195812807881773,9,7.8669950738916254,18.47906403940887,30,0.004366636276245117,0.2800300121307373,30,baseline_simple,1.0
10,152,0.45167052956853215,0.07003699180909147,0.3673901535203812,0.6225516146109052,0.41649048625792817,65,53.0,8,6.729498164014688,10,8.209302325581396,20.11750305997552,25,0.004442691802978516,0.370373010635376,30,baseline_simple,1.0
11,135,0.44480854494672223,0.06981312247682915,0.3673901535203812,0.6315510852302806,0.41649048625792817,65,53.52542372881356,8,6.716707021791768,10,8.24455205811138,19.91767554479419,25,0.005043506622314453,0.3225679397583008,30,baseline_simple,1.0
12,113,0.444204766404615,0.06947632872435788,0.3673901535203812,0.6315510852302806,0.41649048625792817,65,57.99182242990654,8,7.077102803738318,10,8.466121495327103,21.001168224299064,25,0.005953550338745117,0.34460902214050293,30,baseline_simple,1.0
13,103,0.44422084714271215,0.07245734265825095,0.3673901535203812,0.6283748014822658,0.41649048625792817,65,61.37313432835821,8,7.1423650975889785,10,8.507462686567164,21.21814006888634,25,0.0050199031829833984,0.3563387393951416,30,baseline_simple,1.0
14,101,0.4388856383061059,0.06823543295198313,0.3620963472736898,0.6278454208575965,0.41860465116279066,79,65.05380116959064,8,7.557894736842106,10,8.796491228070176,22.428070175438595,25,0.005010128021240234,0.37665319442749023,30,baseline_simple,1.0
15,109,0.4408261542377258,0.07178919974214648,0.3620963472736898,0.6267866596082583,0.41860465116279066,79,66.40395809080326,8,7.536670547147846,10,8.79627473806752,22.385331781140863,25,0.0051081180572509766,0.3787417411804199,30,baseline_simple,1.0
16,56,0.4362172643816048,0.06595763808136193,0.3620963472736898,0.6267866596082583,0.41860465116279066,79,68.92239467849224,8,8.161862527716186,10,9.03880266075388,24.070953436807095,25,0.004981517791748047,0.39769864082336426,30,baseline_simple,1.0
17,83,0.435195643953717,0.06925220760551558,0.3620963472736898,0.6267866596082583,0.41860465116279066,79,71.48342857142858,8,9.492571428571429,10,9.744,27.992,25,0.0051517486572265625,0.44700145721435547,30,baseline_simple,1.0
18,94,0.4332784346018862,0.06629473953853149,0.3620963472736898,0.6257278983589201,0.41860465116279066,79,72.70601851851852,8,9.76736111111111,10,9.868055555555555,28.662037037037038,25,0.005295276641845703,0.4505739212036133,30,baseline_simple,1.0
19,113,0.437417517279431,0.06942436412750384,0.3620963472736898,0.6273160402329274,0.41860465116279066,79,75.81220657276995,8,10.517605633802816,10,10.12793427230047,30.774647887323944,25,0.005188465118408203,0.4948582649230957,30,baseline_simple,1.0
20,123,0.43012518698234964,0.06588666406525792,0.3620963472736898,0.6241397564849127,0.41860465116279066,79,77.11896348645465,8,10.820965842167256,10,10.27090694935218,31.479387514723204,25,0.004936933517456055,0.48517894744873047,30,baseline_simple,1.0
21,113,0.432063133820263,0.06596137401291081,0.3620963472736898,0.6257278983589201,0.41860465116279066,79,81.24555160142349,8,11.604982206405694,10,10.562277580071175,33.35468564650059,25,0.005301713943481445,0.516085147857666,30,baseline_simple,1.0
22,139,0.4359046444283818,0.07150151845758451,0.3620963472736898,0.6289041821069349,0.41860465116279066,79,83.64920828258222,8,12.071863580998782,10,10.679658952496954,34.76248477466504,25,0.005420684814453125,0.5315392017364502,30,baseline_simple,1.0
23,152,0.4358271229566463,0.07104105710871786,0.3620963472736898,0.6283748014822658,0.41860465116279066,79,86.3711467324291,8,12.939580764488285,10,11.233045622688039,37.066584463625155,25,0.005426645278930664,0.5540289878845215,30,baseline_simple,1.0
24,177,0.430014524032523,0.06685874913139504,0.3620963472736898,0.6304923239809423,0.41860465116279066,79,89.0051282051282,8,13.162820512820513,10,11.078205128205129,37.812820512820515,25,0.0050487518310546875,0.5769922733306885,30,baseline_simple,1.0
25,128,0.4317551212990001,0.0690112262001915,0.3620963472736898,0.6267866596082583,0.41860465116279066,79,91.69534050179212,8,13.790919952210276,10,11.434886499402628,39.241338112305854,25,0.0052602291107177734,0.6971101760864258,30,baseline_simple,1.0
26,144,0.4291995686913633,0.06715957190227108,0.3620963472736898,0.6289041821069349,0.41860465116279066,79,93.15233415233415,8,14.482800982800983,10,11.643734643734645,41.28009828009828,25,0.005533456802368164,0.6206028461456299,30,baseline_simple,1.0
