gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5177641016035137,0.07623047022568277,0.36460957178841313,0.6473551637279598,,10,20.046966731898237,2,4.450097847358121,6,5.655577299412916,13.463796477495107,7,0.0,0.16817140579223633,17,fec_simple_farthest_point,0.4
1,371,0.4678541441765623,0.06848360665493627,0.3589420654911839,0.6347607052896725,0.3589420654911839,39,19.956043956043956,4,3.457875457875458,7,5.4945054945054945,10.320512820512821,13,0.0039861202239990234,0.18217110633850098,17,fec_simple_farthest_point,0.4
2,360,0.4448906727863696,0.07082665762643894,0.3488664987405542,0.6410579345088161,0.3488664987405542,30,24.04355716878403,6,3.7150635208711433,9,6.049001814882033,11.088929219600725,19,0.004229068756103516,0.18903279304504395,17,fec_simple_farthest_point,0.4
3,290,0.44518836240356124,0.07889720824217576,0.3488664987405542,0.6454659949622166,0.3488664987405542,30,27.07389937106918,6,3.9952830188679247,9,6.512578616352202,11.88993710691824,19,0.004686832427978516,0.2062532901763916,17,fec_simple_farthest_point,0.4
4,230,0.4354529487656708,0.07901785062542686,0.3469773299748111,0.6467254408060453,0.3469773299748111,38,28.902439024390244,5,4.319942611190818,8,6.845050215208034,12.856527977044477,16,0.004647254943847656,0.22526097297668457,17,fec_simple_farthest_point,0.4
5,236,0.42547443897412407,0.07490837377470082,0.3469773299748111,0.6511335012594459,0.3469773299748111,38,31.026988636363637,5,4.603693181818182,8,7.193181818181818,13.755681818181818,16,0.004862785339355469,0.2367384433746338,17,fec_simple_farthest_point,0.4
6,200,0.4262664050459307,0.07909882405300973,0.3469773299748111,0.6454659949622166,0.3469773299748111,38,32.30053908355795,5,4.725067385444744,8,7.474393530997305,14.305929919137466,16,0.00534510612487793,0.2586023807525635,17,fec_simple_farthest_point,0.4
7,186,0.4221062965758101,0.07953752415406717,0.3469773299748111,0.6511335012594459,0.3469773299748111,38,33.974059662775616,5,4.66147859922179,8,7.551232166018158,14.281452658884566,16,0.0055751800537109375,0.2595221996307373,17,fec_simple_farthest_point,0.4
8,163,0.41996974161557593,0.07926189193775064,0.3469773299748111,0.6454659949622166,0.3469773299748111,38,35.432704402515725,5,5.007547169811321,8,7.79874213836478,15.222641509433963,16,0.004681110382080078,0.2887392044067383,17,fec_simple_farthest_point,0.4
9,156,0.41753674184885364,0.07887010947290528,0.3469773299748111,0.6410579345088161,0.3469773299748111,38,37.0089058524173,5,5.027989821882952,8,7.797709923664122,15.241730279898219,16,0.005311250686645508,0.28343844413757324,17,fec_simple_farthest_point,0.4
10,172,0.4184832581119321,0.08050337124533877,0.3469773299748111,0.6448362720403022,0.3469773299748111,38,39.24035989717223,5,5.406169665809768,8,8.07840616966581,16.372750642673523,16,0.005162954330444336,0.4392075538635254,17,fec_simple_farthest_point,0.4
11,152,0.4137827863202877,0.08094007061523145,0.3469773299748111,0.646095717884131,0.3469773299748111,38,40.733830845771145,5,5.674129353233831,8,8.274875621890548,17.230099502487562,16,0.005194902420043945,0.2937490940093994,17,fec_simple_farthest_point,0.4
12,135,0.4161989547541725,0.08065927130567907,0.34571788413098237,0.6511335012594459,0.34571788413098237,47,43.17705735660848,13,6.204488778054863,11,8.56857855361596,18.794264339152118,40,0.004603862762451172,0.3117952346801758,17,fec_simple_farthest_point,0.4
13,132,0.408816898342507,0.07477903582627415,0.34571788413098237,0.6511335012594459,0.34571788413098237,47,43.791358024691355,13,6.480246913580247,11,8.692592592592593,19.42222222222222,40,0.004422903060913086,0.3181345462799072,17,fec_simple_farthest_point,0.4
14,125,0.4106611173607884,0.08031715335134881,0.34571788413098237,0.649874055415617,0.34571788413098237,47,43.80582524271845,13,6.366504854368932,11,8.651699029126213,19.12014563106796,40,0.004350185394287109,0.3149261474609375,17,fec_simple_farthest_point,0.4
15,127,0.4153715519205779,0.08011748046087692,0.34571788413098237,0.6486146095717884,0.34571788413098237,47,44.187041564792175,13,6.180929095354523,11,8.579462102689487,18.58557457212714,40,0.004131317138671875,0.30757761001586914,17,fec_simple_farthest_point,0.4
16,135,0.4147447242172552,0.07952873262066067,0.34571788413098237,0.6492443324937027,0.34571788413098237,47,47.01982651796778,13,6.5724907063197024,11,8.736059479553903,19.609665427509295,40,0.004017829895019531,0.32125210762023926,17,fec_simple_farthest_point,0.4
17,118,0.41316369184655527,0.07978750052627318,0.34571788413098237,0.6530226700251889,0.34571788413098237,47,49.45041816009558,13,7.1839904420549585,11,9.05973715651135,21.314217443249703,40,0.0041882991790771484,0.3543064594268799,17,fec_simple_farthest_point,0.4
18,118,0.4144920235096558,0.08068899086199634,0.34571788413098237,0.6492443324937027,0.34571788413098237,47,50.53818181818182,13,7.227878787878788,11,9.084848484848484,21.472727272727273,40,0.004010200500488281,0.3564341068267822,17,fec_simple_farthest_point,0.4
19,130,0.40876322110579033,0.0771997640114587,0.34571788413098237,0.6511335012594459,0.34571788413098237,47,51.74603174603175,13,7.7655677655677655,11,9.434676434676435,22.98901098901099,40,0.0042192935943603516,0.37418389320373535,17,fec_simple_farthest_point,0.4
20,120,0.40986436276826793,0.07748031792495028,0.34571788413098237,0.6416876574307304,0.34571788413098237,47,53.43230403800475,13,7.820665083135392,11,9.408551068883611,23.100950118764846,40,0.004140138626098633,0.38150978088378906,17,fec_simple_farthest_point,0.4
21,129,0.41176537371633404,0.07986416380179229,0.34571788413098237,0.6505037783375315,0.34571788413098237,47,55.32932692307692,13,7.9266826923076925,11,9.443509615384615,23.37860576923077,40,0.004363059997558594,0.391510009765625,17,fec_simple_farthest_point,0.4
22,124,0.4128898669200937,0.08036671351845168,0.34571788413098237,0.6467254408060453,0.34571788413098237,47,57.46520146520147,13,8.653235653235653,11,9.748473748473748,25.223443223443223,40,0.004269838333129883,0.40796971321105957,17,fec_simple_farthest_point,0.4
23,131,0.41030379360354174,0.08167893171712895,0.34508816120906805,0.646095717884131,0.34508816120906805,48,63.10787878787879,10,9.844848484848486,11,10.383030303030303,28.44848484848485,31,0.0043795108795166016,0.4719676971435547,17,fec_simple_farthest_point,0.4
24,127,0.41136154329383207,0.0809396925240723,0.3444584382871536,0.6517632241813602,0.3444584382871536,109,63.02542372881356,37,9.588377723970945,22,10.179176755447942,27.504842615012105,97,0.0040590763092041016,0.45725083351135254,17,fec_simple_farthest_point,0.4
25,101,0.41439364581681964,0.08340056144755637,0.3444584382871536,0.6473551637279598,0.3444584382871536,109,67.15384615384616,37,9.786713286713287,22,10.228438228438229,28.117715617715618,97,0.0043697357177734375,0.5147523880004883,17,fec_simple_farthest_point,0.4
26,122,0.4090924156050763,0.07886250726326205,0.3444584382871536,0.649874055415617,0.3444584382871536,109,69.53349282296651,37,10.407894736842104,22,10.513157894736842,29.824162679425836,97,0.004378557205200195,0.48542165756225586,17,fec_simple_farthest_point,0.4
27,103,0.4054255212213668,0.0770991889409379,0.3413098236775819,0.649874055415617,0.3413098236775819,96,72.78169014084507,22,11.28755868544601,17,10.950704225352112,32.041079812206576,62,0.004563570022583008,0.5031325817108154,17,fec_simple_farthest_point,0.4
28,111,0.40222337758574844,0.07269156464358002,0.3413098236775819,0.6423173803526449,0.3413098236775819,96,71.60854092526691,22,10.947805456702254,17,10.704626334519572,31.158956109134046,62,0.004236936569213867,0.5107088088989258,17,fec_simple_farthest_point,0.4
29,101,0.411648341705316,0.08433877381395388,0.3413098236775819,0.649874055415617,0.3413098236775819,96,72.38470451911935,22,10.994206257242178,17,10.770567786790266,31.246813441483198,62,0.004676342010498047,0.5127708911895752,17,fec_simple_farthest_point,0.4
30,117,0.4061299543713892,0.07725284282798636,0.3413098236775819,0.6511335012594459,0.3413098236775819,96,77.21121718377088,22,11.31145584725537,17,10.797136038186158,32.22315035799522,62,0.004495382308959961,0.5166890621185303,17,fec_simple_farthest_point,0.4
31,102,0.41219590334745126,0.08343554240349911,0.3413098236775819,0.6530226700251889,0.3413098236775819,96,80.07351225204201,22,11.135355892648775,17,10.754959159859977,31.88681446907818,62,0.004450321197509766,0.5229432582855225,17,fec_simple_farthest_point,0.4
32,122,0.40888028135544896,0.08027598636912893,0.3413098236775819,0.6530226700251889,0.3413098236775819,96,85.30306603773585,22,11.482311320754716,17,10.912735849056604,32.79599056603774,62,0.004462242126464844,0.552593469619751,17,fec_simple_farthest_point,0.4
33,91,0.4062939110914908,0.07398494921276486,0.3413098236775819,0.6435768261964736,0.3413098236775819,96,89.26345933562429,22,12.056128293241695,17,11.119129438717067,34.422680412371136,62,0.004523515701293945,0.5954854488372803,17,fec_simple_farthest_point,0.4
34,116,0.41134670427738,0.08225684126296813,0.3413098236775819,0.649874055415617,0.3413098236775819,96,90.32784958871916,22,12.135135135135135,17,11.142185663924794,34.62397179788484,62,0.004547119140625,0.5810332298278809,17,fec_simple_farthest_point,0.4
35,112,0.4038728697078203,0.07545008783572382,0.3413098236775819,0.6486146095717884,0.3413098236775819,96,95.50117096018735,22,12.966042154566745,17,11.411007025761124,36.77049180327869,62,0.004714250564575195,0.6581652164459229,17,fec_simple_farthest_point,0.4
36,127,0.4050798658205774,0.07801626789110509,0.3413098236775819,0.6467254408060453,0.3413098236775819,96,99.45552884615384,22,14.048076923076923,17,11.939903846153847,39.66586538461539,62,0.004436492919921875,0.6851456165313721,17,fec_simple_farthest_point,0.4
37,150,0.40739395833716374,0.07879838114196404,0.3413098236775819,0.6530226700251889,0.3413098236775819,96,99.25547445255475,22,14.492700729927007,17,12.081508515815084,40.80048661800487,62,0.004746913909912109,0.7163400650024414,17,fec_simple_farthest_point,0.4
38,108,0.40676744179258695,0.0804433608049786,0.3413098236775819,0.6517632241813602,0.3413098236775819,96,96.84356894553882,22,13.234067207415992,17,11.498261877172654,37.259559675550406,62,0.0046234130859375,0.6430411338806152,17,fec_simple_farthest_point,0.4
39,113,0.40738564468253685,0.08104216632489744,0.34005037783375314,0.6530226700251889,0.34005037783375314,73,100.20070422535211,25,14.740610328638498,19,12.103286384976526,41.36150234741784,66,0.004578590393066406,0.6956892013549805,17,fec_simple_farthest_point,0.4
40,146,0.4139986098424386,0.08459625261014371,0.3394206549118388,0.6542821158690176,0.3394206549118388,73,102.05982905982906,25,13.797313797313798,19,11.733821733821733,38.775335775335776,66,0.004240989685058594,0.7203731536865234,17,fec_simple_farthest_point,0.4
41,130,0.40836549903653907,0.08007029724543785,0.3394206549118388,0.6429471032745592,0.3394206549118388,73,104.68585131894484,25,14.250599520383693,19,11.943645083932854,40.143884892086334,66,0.00476527214050293,0.687567949295044,17,fec_simple_farthest_point,0.4
42,140,0.40741071483559455,0.07941063484360496,0.3394206549118388,0.6473551637279598,0.3394206549118388,73,111.62347188264059,25,15.270171149144254,19,12.34963325183374,42.81051344743276,66,0.0046041011810302734,0.7568104267120361,17,fec_simple_farthest_point,0.4
43,113,0.40970759080957647,0.08168613823664556,0.3394206549118388,0.6486146095717884,0.3394206549118388,73,115.75817757009345,25,15.913551401869158,19,12.518691588785046,44.22196261682243,66,0.004833698272705078,0.8513789176940918,17,fec_simple_farthest_point,0.4
44,108,0.40625277818936145,0.07918254536697385,0.3394206549118388,0.6435768261964736,0.3394206549118388,73,113.74,25,14.652941176470588,19,12.05764705882353,40.684705882352944,66,0.00468134880065918,0.8048515319824219,17,fec_simple_farthest_point,0.4
45,105,0.40737314737435815,0.08067514062619813,0.3394206549118388,0.6473551637279598,0.3394206549118388,73,119.93317702227432,25,14.94841735052755,19,12.233294255568582,41.68698710433763,66,0.0045909881591796875,0.8250174522399902,17,fec_simple_farthest_point,0.4
46,109,0.4060319137447426,0.08194527395540871,0.3394206549118388,0.6530226700251889,0.3394206549118388,73,125.17728852838934,25,15.736964078794902,19,12.453070683661645,43.89107763615296,66,0.0046672821044921875,0.7681114673614502,17,fec_simple_farthest_point,0.4
47,107,0.405184594518057,0.07827830452743782,0.3394206549118388,0.6511335012594459,0.3394206549118388,73,133.4284023668639,25,17.253254437869824,19,12.885207100591716,47.88402366863905,66,0.00493311882019043,0.831944465637207,17,fec_simple_farthest_point,0.4
48,119,0.4047854454728755,0.07975200974271646,0.3394206549118388,0.6511335012594459,0.3394206549118388,73,139.2042755344418,25,18.213776722090262,19,13.15439429928741,50.31591448931116,66,0.0048770904541015625,0.9950342178344727,17,fec_simple_farthest_point,0.4
49,112,0.40445249382286097,0.07695241997854989,0.3394206549118388,0.646095717884131,0.3394206549118388,73,148.02502979737784,25,18.393325387365913,19,13.417163289630512,51.04171632896305,66,0.004705905914306641,1.0253398418426514,17,fec_simple_farthest_point,0.4
50,95,0.4079100277844962,0.0800374501590608,0.3394206549118388,0.6486146095717884,0.3394206549118388,73,145.21428571428572,25,17.521077283372364,19,13.010538641686182,48.596018735362996,66,0.004596233367919922,0.9500510692596436,17,fec_simple_farthest_point,0.4
