gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5193096076101233,0.07986011304434484,0.34571788413098237,0.6561712846347607,,19,19.26410835214447,4,4.27313769751693,7,5.623024830699774,12.945823927765238,13,0.0,0.9479775428771973,18,fec_simple_kmeans,0.1
1,410,0.46320117225343926,0.0738936825479508,0.3387909319899244,0.6479848866498741,0.3387909319899244,14,21.23076923076923,4,3.65,7,5.663461538461538,10.825,13,0.019016504287719727,1.1021819114685059,18,fec_simple_kmeans,0.1
2,352,0.4419427759478138,0.07529562595200436,0.3387909319899244,0.6530226700251889,0.3387909319899244,14,24.84102564102564,4,3.982905982905983,7,6.357264957264957,11.764102564102565,13,0.017053604125976562,0.7027513980865479,18,fec_simple_kmeans,0.1
3,324,0.43427778141254214,0.08133082885356874,0.3387909319899244,0.6435768261964736,0.3387909319899244,14,26.34577922077922,4,4.207792207792208,7,6.7353896103896105,12.363636363636363,13,0.02787923812866211,1.1654746532440186,18,fec_simple_kmeans,0.1
4,276,0.4273345065502513,0.08121335234211673,0.3387909319899244,0.6316120906801008,0.3387909319899244,14,26.7496251874063,4,4.4032983508245875,7,6.9790104947526235,12.721139430284857,13,0.0164492130279541,1.0858714580535889,18,fec_simple_kmeans,0.1
5,265,0.42375044980208715,0.08440918430395991,0.3387909319899244,0.6454659949622166,0.3387909319899244,14,27.935714285714287,4,4.5042857142857144,7,7.214285714285714,13.388571428571428,13,0.029620885848999023,0.8323979377746582,18,fec_simple_kmeans,0.1
6,229,0.4214353153492132,0.08623855044178685,0.3387909319899244,0.656801007556675,0.3387909319899244,14,29.38174273858921,4,4.622406639004149,7,7.351313969571231,13.702627939142461,13,0.00904226303100586,0.7737622261047363,18,fec_simple_kmeans,0.1
7,200,0.42558127634849835,0.08974218348802514,0.33753148614609574,0.6593198992443325,0.33753148614609574,37,31.370904325032765,5,4.528178243774574,9,7.4036697247706424,13.747051114023591,16,0.0068967342376708984,0.35158586502075195,18,fec_simple_kmeans,0.1
8,172,0.4203344134718831,0.0852693255828354,0.33753148614609574,0.6555415617128464,0.33753148614609574,37,33.24424552429667,5,4.672634271099744,9,7.468030690537084,14.152173913043478,16,0.004069805145263672,0.2287123203277588,18,fec_simple_kmeans,0.1
9,171,0.42219601266167156,0.08714775463070526,0.33753148614609574,0.6561712846347607,0.33753148614609574,37,33.707750952986025,5,4.72554002541296,9,7.613722998729352,14.407878017789072,16,0.004240274429321289,0.22959303855895996,18,fec_simple_kmeans,0.1
