gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5195569807025494,0.06906773217708652,0.35516372795969775,0.6442065491183879,,36,20.07531380753138,8,4.481171548117155,7,5.671548117154812,13.49163179916318,24,0.0,0.14591598510742188,12,fec_simple_stratified,0.4
1,413,0.46749178408375314,0.06397225535654738,0.35516372795969775,0.6372795969773299,0.35516372795969775,36,21.451171875,8,3.7890625,7,5.732421875,11.267578125,24,0.0035982131958007812,0.1727592945098877,12,fec_simple_stratified,0.4
2,337,0.452929552564163,0.06888738935947059,0.35516372795969775,0.6404282115869018,0.35516372795969775,36,25.47870528109029,8,4.080068143100511,7,6.391822827938671,12.265758091993186,24,0.004045963287353516,0.19697856903076172,12,fec_simple_stratified,0.4
3,298,0.4446593498860502,0.07231193994081013,0.35264483627204035,0.6492443324937027,0.35264483627204035,22,28.314285714285713,4,4.358730158730158,7,6.888888888888889,13.17142857142857,13,0.004053354263305664,0.21652841567993164,12,fec_simple_stratified,0.4
4,239,0.43811574435632605,0.07177822534584188,0.35012594458438284,0.6404282115869018,0.35012594458438284,33,30.35953420669578,6,4.646288209606987,9,7.190684133915575,14.023289665211063,19,0.0041370391845703125,0.22230219841003418,12,fec_simple_stratified,0.4
5,249,0.433099913606754,0.07337172482485141,0.35012594458438284,0.6416876574307304,0.35012594458438284,33,32.26483357452967,6,4.995658465991317,9,7.424023154848046,15.015918958031838,19,0.004594087600708008,0.23902034759521484,12,fec_simple_stratified,0.4
6,192,0.4353717385740648,0.07933638971046081,0.35012594458438284,0.6454659949622166,0.35012594458438284,33,35.10427807486631,6,5.383689839572193,9,7.637700534759358,16.106951871657753,19,0.003973484039306641,0.25282907485961914,12,fec_simple_stratified,0.4
7,218,0.43253665398094404,0.07938207486596319,0.35012594458438284,0.6410579345088161,0.35012594458438284,33,37.110054347826086,6,5.349184782608695,9,7.730978260869565,16.036684782608695,19,0.004016399383544922,0.2528822422027588,12,fec_simple_stratified,0.4
8,167,0.42825673988976226,0.07608888932475243,0.35012594458438284,0.6442065491183879,0.35012594458438284,33,39.44686299615877,6,5.39180537772087,9,7.823303457106274,16.12291933418694,19,0.004113197326660156,0.2659413814544678,12,fec_simple_stratified,0.4
9,157,0.43174139165569175,0.08031870981618064,0.35012594458438284,0.6473551637279598,0.35012594458438284,33,42.68274111675127,6,5.766497461928934,9,8.129441624365482,17.15736040609137,19,0.0040094852447509766,0.282989501953125,12,fec_simple_stratified,0.4
10,148,0.4304227911870675,0.0787389735902804,0.34823677581863977,0.6435768261964736,0.34823677581863977,57,44.88860759493671,10,6.237974683544304,12,8.384810126582279,18.379746835443036,31,0.004066944122314453,0.3675549030303955,12,fec_simple_stratified,0.4
11,170,0.42737962920335937,0.07864522921735043,0.34823677581863977,0.6410579345088161,0.34823677581863977,57,46.347258485639685,10,6.2323759791122715,12,8.447780678851174,18.402088772845953,31,0.004110813140869141,0.30108118057250977,12,fec_simple_stratified,0.4
12,140,0.4289231120659851,0.08027162811456225,0.34823677581863977,0.646095717884131,0.34823677581863977,57,48.129901960784316,10,6.035539215686274,12,8.267156862745098,17.776960784313726,31,0.0041844844818115234,0.30020642280578613,12,fec_simple_stratified,0.4
13,117,0.43027504721027443,0.08078179305478145,0.34823677581863977,0.6479848866498741,0.34823677581863977,57,50.94344163658243,10,6.605294825511432,12,8.646209386281589,19.373044524669073,31,0.004124879837036133,0.33173370361328125,12,fec_simple_stratified,0.4
14,130,0.4300640803548298,0.08302780520652066,0.3463476070528967,0.6492443324937027,0.3463476070528967,58,52.97769516728624,17,6.774473358116481,17,8.707558859975217,19.783147459727385,52,0.004246234893798828,0.33196449279785156,12,fec_simple_stratified,0.4
15,112,0.427475537398503,0.0813727529720067,0.3463476070528967,0.6442065491183879,0.3463476070528967,58,56.26040428061831,17,7.349583828775268,17,8.95243757431629,21.34601664684899,52,0.004285573959350586,0.3517942428588867,12,fec_simple_stratified,0.4
16,105,0.4319662172173655,0.08319152460010258,0.3463476070528967,0.6454659949622166,0.3463476070528967,58,57.89764705882353,17,7.749411764705882,17,9.10235294117647,22.403529411764705,52,0.0041692256927490234,0.37469029426574707,12,fec_simple_stratified,0.4
17,135,0.4299041107210519,0.08347580597170184,0.3463476070528967,0.6473551637279598,0.3463476070528967,58,58.59416767922236,17,7.582017010935601,17,8.931956257594168,21.611178614823814,52,0.004525184631347656,0.35635924339294434,12,fec_simple_stratified,0.4
18,105,0.43117569194821187,0.08391863324424975,0.3463476070528967,0.6486146095717884,0.3463476070528967,58,61.54092526690391,17,8.109134045077106,17,9.181494661921707,22.83274021352313,52,0.0043828487396240234,0.37703895568847656,12,fec_simple_stratified,0.4
19,88,0.4326211238450158,0.08632777594362291,0.3463476070528967,0.6473551637279598,0.3463476070528967,58,61.974208675263775,17,8.397420867526378,17,9.357561547479484,23.912075029308323,52,0.0044689178466796875,0.3872029781341553,12,fec_simple_stratified,0.4
20,127,0.429112067669519,0.08347227792450264,0.3463476070528967,0.6492443324937027,0.3463476070528967,58,62.56881851400731,17,8.457978075517662,17,9.35688185140073,24.166869671132766,52,0.0040912628173828125,0.3934478759765625,12,fec_simple_stratified,0.4
21,125,0.433005655396241,0.0864529252382492,0.3463476070528967,0.6448362720403022,0.3463476070528967,58,64.3701923076923,17,8.625,17,9.43389423076923,24.471153846153847,52,0.00422215461730957,0.4062998294830322,12,fec_simple_stratified,0.4
22,112,0.42959817395310435,0.08473105944847655,0.3463476070528967,0.6479848866498741,0.3463476070528967,58,66.88004750593824,17,9.767220902612827,17,10.080760095011877,27.80878859857482,52,0.004173755645751953,0.4694945812225342,12,fec_simple_stratified,0.4
23,134,0.4260447983532407,0.08119872892695369,0.3463476070528967,0.6454659949622166,0.3463476070528967,58,65.82676224611708,17,9.867383512544803,17,10.080047789725208,28.0884109916368,52,0.0042531490325927734,0.46477222442626953,12,fec_simple_stratified,0.4
24,132,0.42736609014755267,0.08606476474276836,0.3463476070528967,0.6442065491183879,0.3463476070528967,58,68.18226002430134,17,10.612393681652492,17,10.39854191980559,29.998784933171326,52,0.00406193733215332,0.487424373626709,12,fec_simple_stratified,0.4
25,134,0.42313253527671124,0.08147589223463533,0.3463476070528967,0.6473551637279598,0.3463476070528967,58,70.98422330097087,17,10.280339805825243,17,10.097087378640778,28.711165048543688,52,0.0050373077392578125,0.5635786056518555,12,fec_simple_stratified,0.4
26,127,0.41958219055884316,0.08187454460212533,0.3463476070528967,0.6473551637279598,0.3463476070528967,58,75.59423769507804,17,10.92436974789916,17,10.471788715486195,30.482593037214887,52,0.004579067230224609,0.4953188896179199,12,fec_simple_stratified,0.4
27,109,0.4185222702488232,0.08128626785588905,0.3463476070528967,0.649874055415617,0.3463476070528967,58,77.42840095465394,17,11.30071599045346,17,10.632458233890215,31.730310262529834,52,0.004404783248901367,0.49994921684265137,12,fec_simple_stratified,0.4
28,137,0.41297396941955716,0.0763300270349583,0.3463476070528967,0.6442065491183879,0.3463476070528967,58,78.4140435835351,17,11.426150121065374,17,10.7409200968523,32.232445520581116,52,0.0046579837799072266,0.5513882637023926,12,fec_simple_stratified,0.4
29,118,0.41956626348557574,0.08070096071755878,0.3463476070528967,0.6467254408060453,0.3463476070528967,58,78.14504716981132,17,11.466981132075471,17,10.897405660377359,32.41981132075472,52,0.004408359527587891,0.5185689926147461,12,fec_simple_stratified,0.4
30,121,0.4123639362121527,0.0758968533354684,0.3463476070528967,0.6416876574307304,0.3463476070528967,58,82.43727598566308,17,12.133811230585424,17,11.321385902031063,34.696535244922345,52,0.004565238952636719,0.5614058971405029,12,fec_simple_stratified,0.4
31,112,0.41571008756147293,0.08087741966372268,0.3463476070528967,0.6517632241813602,0.3463476070528967,58,83.96309523809524,17,12.522619047619047,17,11.498809523809523,35.77619047619048,52,0.004314899444580078,0.6013028621673584,12,fec_simple_stratified,0.4
32,119,0.41233379317990054,0.07776264907203664,0.3463476070528967,0.6492443324937027,0.3463476070528967,58,86.13691931540342,17,12.191931540342297,17,11.438875305623473,34.99877750611247,52,0.004682064056396484,0.5940589904785156,12,fec_simple_stratified,0.4
