gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5159466879540883,0.07406865953567451,0.3664987405541562,0.6448362720403022,,19,20.102783725910065,4,4.47323340471092,7,5.706638115631692,13.49678800856531,13,0.0,0.14995408058166504,6,fec_simple_stratified,0.5
1,394,0.4693461192864613,0.07007972879353601,0.353904282115869,0.628463476070529,0.353904282115869,23,22.59259259259259,6,3.98635477582846,7,5.875243664717349,11.84990253411306,21,0.00357818603515625,0.1882638931274414,6,fec_simple_stratified,0.5
2,327,0.44449752453747937,0.06823641008802961,0.3532745591939547,0.6416876574307304,0.3532745591939547,19,25.910344827586208,4,4.043103448275862,7,6.303448275862069,12.13103448275862,13,0.003900289535522461,0.19849181175231934,6,fec_simple_stratified,0.5
3,315,0.4362503613164306,0.07349983039172306,0.3488664987405542,0.6435768261964736,0.3488664987405542,33,29.581967213114755,8,4.367213114754098,9,6.8475409836065575,13.060655737704918,25,0.004156827926635742,0.20730376243591309,6,fec_simple_stratified,0.5
4,253,0.43374122486697575,0.07669915574164636,0.3488664987405542,0.6479848866498741,0.3488664987405542,33,32.18934911242604,8,4.402366863905326,9,6.997041420118343,13.109467455621301,25,0.00393986701965332,0.22680401802062988,6,fec_simple_stratified,0.5
5,221,0.4349201532384247,0.08168409004296359,0.3488664987405542,0.6448362720403022,0.3488664987405542,33,33.889972144846794,8,4.827298050139276,9,7.406685236768802,14.3983286908078,25,0.003824472427368164,0.2482459545135498,6,fec_simple_stratified,0.5
6,215,0.42974974828502843,0.08211034063462094,0.34823677581863977,0.6473551637279598,0.34823677581863977,36,34.98616874135546,6,4.890733056708161,8,7.5836791147994465,14.852005532503458,19,0.004084348678588867,0.25539469718933105,6,fec_simple_stratified,0.5
7,219,0.42591987920376767,0.08009751206906679,0.34823677581863977,0.6467254408060453,0.34823677581863977,36,35.78463648834019,6,4.872427983539095,8,7.617283950617284,14.895747599451303,19,0.003958463668823242,0.2555363178253174,6,fec_simple_stratified,0.5
8,197,0.42133156533076666,0.07714001448790316,0.34823677581863977,0.6423173803526449,0.34823677581863977,36,36.200542005420054,6,4.831978319783198,8,7.64769647696477,14.836043360433605,19,0.004342079162597656,0.2745802402496338,6,fec_simple_stratified,0.5
9,192,0.42659823345274256,0.07928853808612744,0.34760705289672544,0.6416876574307304,0.34760705289672544,35,37.41688654353562,7,5.030343007915567,9,7.783641160949868,15.349604221635884,22,0.00398707389831543,0.2723667621612549,6,fec_simple_stratified,0.5
10,158,0.4259460228362465,0.08029228138568557,0.3469773299748111,0.6448362720403022,0.3469773299748111,39,39.53172588832487,7,5.220812182741117,8,7.930203045685279,15.91497461928934,22,0.004079341888427734,0.3456089496612549,6,fec_simple_stratified,0.5
11,160,0.4159936803379033,0.07612289870273024,0.3469773299748111,0.6505037783375315,0.3469773299748111,39,39.44274809160305,7,5.166666666666667,8,7.964376590330788,15.779898218829517,22,0.0041353702545166016,0.27315187454223633,6,fec_simple_stratified,0.5
12,133,0.42451019805649604,0.08214429024442356,0.3463476070528967,0.6448362720403022,0.3463476070528967,43,40.62219451371571,12,5.551122194513716,13,8.133416458852867,16.716957605985037,37,0.004012584686279297,0.29339027404785156,6,fec_simple_stratified,0.5
13,158,0.41840511913888323,0.08084758321979392,0.3463476070528967,0.6479848866498741,0.3463476070528967,43,43.03354037267081,12,5.951552795031056,13,8.412422360248447,17.925465838509318,37,0.004505634307861328,0.3182253837585449,6,fec_simple_stratified,0.5
14,162,0.42427028087540986,0.08410106923901013,0.3463476070528967,0.6467254408060453,0.3463476070528967,43,45.0213567839196,12,6.384422110552764,13,8.680904522613066,19.113065326633166,37,0.004189968109130859,0.3287670612335205,6,fec_simple_stratified,0.5
15,146,0.4144416980219477,0.07902909496785662,0.3463476070528967,0.6423173803526449,0.3463476070528967,43,46.246882793017456,12,6.450124688279302,13,8.83291770573566,19.52992518703242,37,0.004229307174682617,0.33370280265808105,6,fec_simple_stratified,0.5
16,151,0.4128542481898371,0.07704864797073162,0.34508816120906805,0.6479848866498741,0.34508816120906805,53,49.9729397293973,13,6.923739237392374,16,9.066420664206642,20.698646986469864,40,0.004067897796630859,0.3649256229400635,6,fec_simple_stratified,0.5
17,142,0.41148323846666807,0.07765203411267814,0.3438287153652393,0.6448362720403022,0.3438287153652393,70,52.28607277289837,16,7.249686323713927,11,9.212045169385194,21.578419071518194,39,0.004644632339477539,0.36631202697753906,6,fec_simple_stratified,0.5
18,136,0.41686506901640497,0.08125810750862464,0.3438287153652393,0.649874055415617,0.3438287153652393,70,54.41656516443362,16,7.419001218026796,11,9.28258221680877,22.015834348355664,39,0.0041348934173583984,0.3742408752441406,6,fec_simple_stratified,0.5
19,137,0.41337267158006036,0.07645089722678827,0.3438287153652393,0.6404282115869018,0.3438287153652393,70,55.47901234567901,16,7.753086419753086,11,9.524691358024691,23.05185185185185,39,0.0041234493255615234,0.3943674564361572,6,fec_simple_stratified,0.5
20,143,0.41830214337593297,0.08160396381338914,0.3438287153652393,0.6467254408060453,0.3438287153652393,70,57.974233128834356,16,8.18282208588957,11,9.67361963190184,24.22208588957055,39,0.006645917892456055,0.4207630157470703,6,fec_simple_stratified,0.5
21,132,0.409077873205669,0.07496902790047774,0.3438287153652393,0.6479848866498741,0.3438287153652393,70,60.74578313253012,16,8.626506024096386,11,10.10722891566265,25.72289156626506,39,0.0042324066162109375,0.4522848129272461,6,fec_simple_stratified,0.5
