gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5202087552065326,0.07370722608367566,0.35453400503778343,0.6492443324937027,,19,20.67102396514161,4,4.5816993464052285,7,5.808278867102397,13.893246187363834,13,0.0,0.2593679428100586,14,fec_simple_kmeans,0.5
1,403,0.46659664079788704,0.06908224622654442,0.3507556675062973,0.6290931989924433,0.3507556675062973,27,22.13765182186235,3,3.789473684210526,7,5.751012145748988,11.433198380566802,10,0.004772663116455078,0.4451124668121338,14,fec_simple_kmeans,0.5
2,364,0.4422165785515912,0.07241833444225775,0.3507556675062973,0.6473551637279598,0.3507556675062973,27,26.714285714285715,3,4.2655677655677655,7,6.457875457875458,12.880952380952381,10,0.005659341812133789,0.2623453140258789,14,fec_simple_kmeans,0.5
3,311,0.4262607813084266,0.06975351070077686,0.3494962216624685,0.6492443324937027,0.3494962216624685,31,29.01468189233279,7,4.582381729200653,9,7.014681892332789,13.923327895595433,22,0.004694461822509766,0.2679586410522461,14,fec_simple_kmeans,0.5
4,290,0.42223510440452927,0.07258854175681628,0.3494962216624685,0.6530226700251889,0.3494962216624685,31,30.309968847352025,7,4.573208722741433,9,7.285046728971962,14.06853582554517,22,0.0038852691650390625,0.2535562515258789,14,fec_simple_kmeans,0.5
5,231,0.41760747154908356,0.07374470772663146,0.34760705289672544,0.6366498740554156,0.34760705289672544,35,30.68698060941828,6,4.49584487534626,8,7.405817174515235,13.89196675900277,18,0.004160404205322266,0.2708547115325928,14,fec_simple_kmeans,0.5
6,223,0.41389890941060725,0.07509221545226784,0.3469773299748111,0.6492443324937027,0.3469773299748111,38,31.565096952908586,4,4.368421052631579,8,7.480609418282548,13.5595567867036,13,0.0038330554962158203,0.26450371742248535,14,fec_simple_kmeans,0.5
7,217,0.41678334480338747,0.0763188509495681,0.3469773299748111,0.6410579345088161,0.3469773299748111,38,32.0349932705249,4,4.343203230148048,8,7.488559892328398,13.507402422611037,13,0.003950357437133789,0.2730565071105957,14,fec_simple_kmeans,0.5
8,225,0.4156980425819344,0.07850067177779846,0.3469773299748111,0.6435768261964736,0.3469773299748111,38,33.97206703910614,4,4.409217877094972,8,7.569832402234637,13.656424581005586,13,0.003774881362915039,0.2662639617919922,14,fec_simple_kmeans,0.5
9,171,0.4189067497324078,0.08125874988201287,0.3463476070528967,0.6492443324937027,0.3463476070528967,25,35.29770992366412,5,4.543256997455471,9,7.735368956743002,14.139949109414758,16,0.004050493240356445,0.2877974510192871,14,fec_simple_kmeans,0.5
10,151,0.4158464818627012,0.08002737497723952,0.3463476070528967,0.6492443324937027,0.3463476070528967,25,37.31472081218274,5,4.588832487309645,9,7.846446700507614,14.313451776649746,16,0.00394749641418457,0.374814510345459,14,fec_simple_kmeans,0.5
11,162,0.41471136261688696,0.0800934377969436,0.34319899244332497,0.6479848866498741,0.34319899244332497,34,40.023661270236616,9,4.904109589041096,11,8.037359900373598,15.231631382316314,28,0.004132270812988281,0.3143439292907715,14,fec_simple_kmeans,0.5
12,164,0.415966528298977,0.08021338931316793,0.34319899244332497,0.6473551637279598,0.34319899244332497,34,42.04081632653061,9,4.9604591836734695,11,8.073979591836734,15.451530612244898,28,0.00401759147644043,0.3109891414642334,14,fec_simple_kmeans,0.5
13,151,0.4202465697701707,0.08706164453858177,0.34319899244332497,0.649874055415617,0.34319899244332497,34,44.192546583850934,9,5.356521739130435,11,8.367701863354037,16.559006211180126,28,0.004067659378051758,0.3336493968963623,14,fec_simple_kmeans,0.5
14,166,0.41646989467312734,0.08266019832992605,0.34319899244332497,0.6536523929471032,0.34319899244332497,34,46.37922403003755,9,5.826032540675845,11,8.565707133917396,17.78848560700876,28,0.0041046142578125,0.350496768951416,14,fec_simple_kmeans,0.5
15,155,0.4171878623090582,0.08190846259749664,0.34319899244332497,0.6492443324937027,0.34319899244332497,34,47.71752837326608,9,5.896595208070618,11,8.711223203026481,17.936948297604037,28,0.0041217803955078125,0.36150217056274414,14,fec_simple_kmeans,0.5
16,123,0.4182730151617904,0.08421234967751083,0.34319899244332497,0.6511335012594459,0.34319899244332497,34,49.25120192307692,9,6.080528846153846,11,8.817307692307692,18.564903846153847,28,0.003895282745361328,0.37365245819091797,14,fec_simple_kmeans,0.5
17,135,0.4131420101984395,0.08083319529926242,0.34319899244332497,0.649874055415617,0.34319899244332497,34,51.06829268292683,9,6.36219512195122,11,8.978048780487805,19.37560975609756,28,0.004099369049072266,0.38495898246765137,14,fec_simple_kmeans,0.5
18,133,0.41228051404954635,0.08145994886062091,0.34256926952141054,0.6517632241813602,0.34256926952141054,34,51.185679611650485,6,6.532766990291262,10,9.098300970873787,19.91504854368932,19,0.004147052764892578,0.39632749557495117,14,fec_simple_kmeans,0.5
19,135,0.4166995834257535,0.08475052905661376,0.34256926952141054,0.6530226700251889,0.34256926952141054,34,53.53317249698432,6,6.987937273823884,10,9.330518697225573,21.182147165259348,19,0.004105806350708008,0.41824936866760254,14,fec_simple_kmeans,0.5
20,118,0.4118909616758124,0.08134746846324577,0.34256926952141054,0.6492443324937027,0.34256926952141054,34,55.14235705950992,6,7.012835472578763,10,9.37456242707118,21.24970828471412,19,0.003928184509277344,0.433638334274292,14,fec_simple_kmeans,0.5
21,121,0.4099984670229586,0.07800338679157741,0.34256926952141054,0.6486146095717884,0.34256926952141054,34,55.48448687350835,6,7.221957040572792,10,9.402147971360382,21.821002386634845,19,0.004281520843505859,0.4451632499694824,14,fec_simple_kmeans,0.5
22,122,0.41727342704049697,0.08439166641453043,0.34256926952141054,0.6511335012594459,0.34256926952141054,34,56.130796670630204,6,7.015457788347206,10,9.367419738406658,21.23781212841855,19,0.004279613494873047,0.4307279586791992,14,fec_simple_kmeans,0.5
23,117,0.41085153840721295,0.08057498753990897,0.34256926952141054,0.6479848866498741,0.34256926952141054,34,58.83528037383178,6,7.730140186915888,10,9.733644859813085,23.440420560747665,19,0.0041866302490234375,0.4682624340057373,14,fec_simple_kmeans,0.5
24,92,0.41403953755133366,0.08469355542037188,0.34256926952141054,0.6505037783375315,0.34256926952141054,34,61.180764774044036,6,8.358053302433373,10,10.054461181923523,25.082271147161066,19,0.0041043758392333984,0.4923689365386963,14,fec_simple_kmeans,0.5
25,105,0.4116668479171382,0.08095146826282479,0.34256926952141054,0.6505037783375315,0.34256926952141054,34,64.33022170361727,6,8.676779463243873,10,10.183197199533256,26.016336056009337,19,0.004217386245727539,0.5699398517608643,14,fec_simple_kmeans,0.5
26,102,0.40992989766637244,0.08012788797962697,0.34256926952141054,0.6486146095717884,0.34256926952141054,34,67.53364269141531,6,9.522041763341067,10,10.649651972157773,28.470997679814385,19,0.004220724105834961,0.5478010177612305,14,fec_simple_kmeans,0.5
27,108,0.408657424775652,0.08002487138050217,0.34256926952141054,0.649874055415617,0.34256926952141054,34,68.25413711583924,6,9.3451536643026,10,10.51063829787234,28.05437352245863,19,0.0041997432708740234,0.5379233360290527,14,fec_simple_kmeans,0.5
28,94,0.41297884422183717,0.08280575363803015,0.34256926952141054,0.6454659949622166,0.34256926952141054,34,69.27745664739885,6,9.465895953757226,10,10.575722543352601,28.21849710982659,19,0.004058122634887695,0.5423274040222168,14,fec_simple_kmeans,0.5
29,111,0.41290447587676804,0.08381149817826425,0.3419395465994962,0.6530226700251889,0.3419395465994962,126,70.52097902097903,12,9.184149184149184,12,10.592074592074592,27.41724941724942,37,0.0043141841888427734,0.5472598075866699,14,fec_simple_kmeans,0.5
30,105,0.41181374931872083,0.08135558231746519,0.3419395465994962,0.6530226700251889,0.3419395465994962,126,72.25263157894737,12,9.238596491228071,12,10.569590643274854,27.316959064327484,37,0.0043447017669677734,0.5372586250305176,14,fec_simple_kmeans,0.5
31,86,0.4153402238950568,0.08429016636889601,0.3419395465994962,0.6511335012594459,0.3419395465994962,126,76.34328358208955,12,10.380022962112514,12,11.008036739380023,30.47761194029851,37,0.004480123519897461,0.5843660831451416,14,fec_simple_kmeans,0.5
32,101,0.4118555932837347,0.0827767725080536,0.3419395465994962,0.6536523929471032,0.3419395465994962,126,75.89327146171694,12,10.06844547563805,12,10.845707656612529,29.650812064965198,37,0.004156827926635742,0.5824718475341797,14,fec_simple_kmeans,0.5
33,111,0.41408424065238997,0.08368769637222509,0.3419395465994962,0.6486146095717884,0.3419395465994962,126,80.40046565774156,12,10.498253783469151,12,11.024447031431897,30.88940628637951,37,0.0043561458587646484,0.6025259494781494,14,fec_simple_kmeans,0.5
34,109,0.41391085443066206,0.08302078128669224,0.3419395465994962,0.6505037783375315,0.3419395465994962,126,83.68004722550177,12,10.896103896103897,12,11.204250295159387,31.959858323494686,37,0.004346370697021484,0.6106066703796387,14,fec_simple_kmeans,0.5
35,98,0.4017166054456603,0.07571398140699957,0.3419395465994962,0.6473551637279598,0.3419395465994962,126,87.66392479435957,12,11.877790834312574,12,11.659224441833137,34.74500587544066,37,0.004518270492553711,0.6445884704589844,14,fec_simple_kmeans,0.5
36,97,0.412519830040789,0.08382669881400709,0.3419395465994962,0.6486146095717884,0.3419395465994962,126,89.24097788125728,12,12.39115250291036,12,11.818393480791618,36.0046565774156,37,0.004044532775878906,0.7098720073699951,14,fec_simple_kmeans,0.5
37,113,0.41234152963262205,0.08429014138237742,0.3419395465994962,0.6479848866498741,0.3419395465994962,126,92.60613207547169,12,12.20754716981132,12,11.680424528301886,35.41627358490566,37,0.004384517669677734,0.6964948177337646,14,fec_simple_kmeans,0.5
38,108,0.4067451149896412,0.08063766200878807,0.3419395465994962,0.6523929471032746,0.3419395465994962,126,97.49940828402367,12,13.723076923076922,12,12.34792899408284,39.751479289940825,37,0.004455089569091797,0.7564244270324707,14,fec_simple_kmeans,0.5
39,121,0.4088415520248014,0.08539722199508004,0.3419395465994962,0.6505037783375315,0.3419395465994962,126,96.15745192307692,12,13.771634615384615,12,12.432692307692308,39.85336538461539,37,0.0043642520904541016,0.7387378215789795,14,fec_simple_kmeans,0.5
40,105,0.40499713694878847,0.08055340675971878,0.3419395465994962,0.6454659949622166,0.3419395465994962,126,103.37573616018845,12,13.227326266195524,12,12.20494699646643,38.34040047114252,37,0.004142045974731445,0.804250955581665,14,fec_simple_kmeans,0.5
41,108,0.40432901012916017,0.07552392672965927,0.3419395465994962,0.6429471032745592,0.3419395465994962,126,103.89952718676123,12,13.042553191489361,12,12.130023640661939,37.973995271867615,37,0.004448890686035156,0.7943923473358154,14,fec_simple_kmeans,0.5
42,123,0.41246926263264616,0.08662903209725484,0.3419395465994962,0.6530226700251889,0.3419395465994962,126,108.62663495838288,12,14.60998810939358,12,12.762187871581451,42.14387633769322,37,0.0044994354248046875,0.8105602264404297,14,fec_simple_kmeans,0.5
43,127,0.39897119966010136,0.07394146148433574,0.3419395465994962,0.6442065491183879,0.3419395465994962,126,110.91566265060241,12,15.467469879518072,12,13.345783132530121,44.56987951807229,37,0.0044972896575927734,0.8891689777374268,14,fec_simple_kmeans,0.5
44,109,0.4021104267841158,0.07840290963077205,0.3419395465994962,0.6486146095717884,0.3419395465994962,126,112.68595041322314,12,14.879574970484061,12,13.034238488783943,42.74144037780401,37,0.004511594772338867,0.8677175045013428,14,fec_simple_kmeans,0.5
45,100,0.4067411395324086,0.08372134216580127,0.3419395465994962,0.6511335012594459,0.3419395465994962,126,117.55399061032864,12,15.543427230046948,12,13.28169014084507,44.647887323943664,37,0.00457310676574707,0.9157009124755859,14,fec_simple_kmeans,0.5
46,105,0.4042136835514916,0.08172119406254548,0.3419395465994962,0.6467254408060453,0.3419395465994962,126,117.96069364161849,12,16.943352601156068,12,13.99421965317919,48.59537572254335,37,0.0045566558837890625,0.8923134803771973,14,fec_simple_kmeans,0.5
47,128,0.4051811735035855,0.08073961854112839,0.3419395465994962,0.6523929471032746,0.3419395465994962,126,123.38639125151883,12,17.24179829890644,12,14.003645200486027,49.56622114216282,37,0.004583120346069336,1.001035213470459,14,fec_simple_kmeans,0.5
48,110,0.4038387015038826,0.08106675614856546,0.3419395465994962,0.6454659949622166,0.3419395465994962,126,128.64023668639052,12,17.97751479289941,12,14.351479289940828,51.33254437869822,37,0.004604339599609375,1.010575771331787,14,fec_simple_kmeans,0.5
49,108,0.4042383025996863,0.0808333149451943,0.3419395465994962,0.649874055415617,0.3419395465994962,126,133.11438679245282,12,19.786556603773583,12,14.849056603773585,56.1627358490566,37,0.0045049190521240234,1.1429941654205322,14,fec_simple_kmeans,0.5
50,92,0.40093703357251564,0.07769005066669371,0.3419395465994962,0.6492443324937027,0.3419395465994962,126,127.55529685681024,12,18.753201396973225,12,14.68684516880093,53.35389988358556,37,0.004663228988647461,1.0547223091125488,14,fec_simple_kmeans,0.5
