gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5161661035446372,0.07427236184753297,0.35831234256926947,0.6397984886649875,,36,19.65645514223195,8,4.37417943107221,7,5.663019693654267,13.201312910284464,24,0.0,0.5516085624694824,18,fec_simple_kmedoids,0.2
1,416,0.4689531665355781,0.06583774141698616,0.35831234256926947,0.6322418136020151,0.35831234256926947,36,22.766798418972332,8,3.8794466403162056,7,5.824110671936759,11.636363636363637,24,0.015424251556396484,0.3858187198638916,18,fec_simple_kmedoids,0.2
2,342,0.4509782419873187,0.06896070973953568,0.35453400503778343,0.6391687657430731,0.35453400503778343,31,26.81896551724138,4,4.287931034482758,7,6.386206896551724,12.667241379310346,13,0.003477811813354492,0.2148880958557129,18,fec_simple_kmedoids,0.2
3,304,0.44296249200191146,0.07068329109992251,0.35264483627204035,0.6391687657430731,0.35264483627204035,41,30.39710610932476,6,4.760450160771704,8,6.993569131832797,14.045016077170418,19,0.0037841796875,0.23931479454040527,18,fec_simple_kmedoids,0.2
4,257,0.43966915036425885,0.07435294256960286,0.35264483627204035,0.6442065491183879,0.35264483627204035,41,32.22604790419162,6,5.098802395209581,8,7.413173652694611,15.260479041916168,19,0.0038607120513916016,0.2662045955657959,18,fec_simple_kmedoids,0.2
5,225,0.431870356789848,0.07267764064432672,0.3520151133501259,0.6492443324937027,0.3520151133501259,29,34.88748241912799,7,5.037974683544304,7,7.431786216596343,15.11251758087201,16,0.004054546356201172,0.2767064571380615,18,fec_simple_kmedoids,0.2
6,209,0.42797100910987906,0.07281503167397982,0.3520151133501259,0.6410579345088161,0.3520151133501259,29,37.74932975871314,7,5.301608579088472,7,7.64343163538874,15.812332439678285,16,0.0040247440338134766,0.29950737953186035,18,fec_simple_kmedoids,0.2
7,194,0.42900104033906356,0.07703828099746972,0.3520151133501259,0.6435768261964736,0.3520151133501259,29,39.669322709163346,7,5.584329349269589,7,7.867197875166003,16.642762284196547,16,0.0039501190185546875,0.3068251609802246,18,fec_simple_kmedoids,0.2
8,164,0.429844803770212,0.07772683576462565,0.3520151133501259,0.6435768261964736,0.3520151133501259,29,40.81161290322581,7,5.525161290322581,7,7.903225806451613,16.46451612903226,16,0.004055023193359375,0.31670451164245605,18,fec_simple_kmedoids,0.2
9,137,0.42489754322224615,0.07528695503494438,0.3520151133501259,0.646095717884131,0.3520151133501259,29,41.926889714993806,7,5.588599752168525,7,8.01734820322181,16.718711276332094,16,0.004039287567138672,0.3224170207977295,18,fec_simple_kmedoids,0.2
10,109,0.4184645382537707,0.07535113312810734,0.3520151133501259,0.6454659949622166,0.3520151133501259,29,42.93493975903615,7,5.551807228915663,7,8.080722891566266,16.56024096385542,16,0.004057884216308594,0.42577528953552246,18,fec_simple_kmedoids,0.2
11,89,0.42806886932366583,0.07775278355428322,0.3507556675062973,0.6479848866498741,0.3507556675062973,63,45.117990654205606,8,5.40303738317757,8,8.018691588785046,16.226635514018692,24,0.004566192626953125,0.35274839401245117,18,fec_simple_kmedoids,0.2
12,92,0.42401594494594635,0.07566606156066737,0.3507556675062973,0.6416876574307304,0.3507556675062973,63,46.07057416267943,8,5.496411483253588,8,8.124401913875598,16.547846889952154,24,0.004105806350708008,0.3311128616333008,18,fec_simple_kmedoids,0.2
13,90,0.42248318758614134,0.07744083676440774,0.35012594458438284,0.6391687657430731,0.35012594458438284,62,48.305424528301884,7,5.6450471698113205,11,8.28066037735849,16.892688679245282,22,0.004117250442504883,0.34183835983276367,18,fec_simple_kmedoids,0.2
14,84,0.42233320004319763,0.07585220825302944,0.35012594458438284,0.6435768261964736,0.35012594458438284,62,50.4901506373117,7,5.928157589803012,11,8.441483198146003,17.6071842410197,22,0.00413203239440918,0.3574330806732178,18,fec_simple_kmedoids,0.2
