gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5217918312184809,0.08393869304457861,0.35453400503778343,0.646095717884131,,19,20.64509394572025,4,4.588726513569937,7,5.774530271398747,13.851774530271399,13,0.0,0.16409993171691895,3,fec_simple_kmedoids,0.5
1,417,0.4634960617328375,0.07533569416572762,0.35453400503778343,0.6454659949622166,0.35453400503778343,19,22.202380952380953,4,3.875,7,5.795634920634921,11.402777777777779,13,0.0035839080810546875,0.19154620170593262,3,fec_simple_kmedoids,0.5
2,346,0.4394301894490368,0.07343516001546012,0.3513853904282116,0.649874055415617,0.3513853904282116,42,25.994718309859156,4,4.311619718309859,7,6.475352112676056,12.764084507042254,13,0.003480195999145508,0.21875977516174316,3,fec_simple_kmedoids,0.5
3,317,0.4300392192256254,0.0750584342588978,0.35012594458438284,0.6397984886649875,0.35012594458438284,41,29.35830618892508,7,4.7882736156351795,8,7.0537459283387625,14.107491856677525,17,0.003924369812011719,0.2438962459564209,3,fec_simple_kmedoids,0.5
4,285,0.43702390283622633,0.08357630955861257,0.3469773299748111,0.6492443324937027,0.3469773299748111,28,30.46978851963746,5,5.0845921450151055,8,7.427492447129909,14.91691842900302,16,0.0037927627563476562,0.2651684284210205,3,fec_simple_kmedoids,0.5
5,260,0.4247403194995948,0.08008426464135492,0.3469773299748111,0.6492443324937027,0.3469773299748111,28,32.786026200873366,5,5.215429403202329,8,7.585152838427947,15.480349344978166,16,0.003818511962890625,0.27743959426879883,3,fec_simple_kmedoids,0.5
6,223,0.42673508397449533,0.08258821707210087,0.3463476070528967,0.6530226700251889,0.3463476070528967,50,34.747956403269754,13,5.348773841961853,12,7.754768392370572,15.978201634877385,40,0.004010438919067383,0.3116495609283447,3,fec_simple_kmedoids,0.5
7,200,0.42490281639593896,0.08027054781819186,0.3463476070528967,0.6454659949622166,0.3463476070528967,50,36.10652463382157,13,5.376830892143809,12,7.817576564580559,16.069241011984023,40,0.003932476043701172,0.3121364116668701,3,fec_simple_kmedoids,0.5
8,205,0.41827018215846545,0.07962105754608349,0.34256926952141054,0.6454659949622166,0.34256926952141054,40,37.830892143808256,10,5.529960053262317,11,7.996005326231691,16.491344873501998,31,0.004048347473144531,0.3208425045013428,3,fec_simple_kmedoids,0.5
9,173,0.41671594701377074,0.07977927881817319,0.34256926952141054,0.6429471032745592,0.34256926952141054,40,39.818527918781726,10,5.935279187817259,11,8.25,17.79695431472081,31,0.004108428955078125,0.3407015800476074,3,fec_simple_kmedoids,0.5
10,169,0.41710891482556833,0.08099133979715947,0.34256926952141054,0.6397984886649875,0.34256926952141054,40,42.344783715012724,10,6.156488549618321,11,8.49618320610687,18.53435114503817,31,0.00399470329284668,0.428234338760376,3,fec_simple_kmedoids,0.5
11,177,0.41433658365576875,0.07940987574688992,0.3419395465994962,0.649874055415617,0.3419395465994962,38,43.11082474226804,10,6.28479381443299,11,8.577319587628866,18.97036082474227,31,0.0040624141693115234,0.3711714744567871,3,fec_simple_kmedoids,0.5
12,170,0.40953710097286916,0.07675856539899274,0.3419395465994962,0.6467254408060453,0.3419395465994962,38,45.75418275418276,10,6.702702702702703,11,8.835263835263834,20.245817245817246,31,0.004148006439208984,0.37833380699157715,3,fec_simple_kmedoids,0.5
13,148,0.41846044702356283,0.0856178649959405,0.3419395465994962,0.6479848866498741,0.3419395465994962,38,47.42784810126582,10,7.2316455696202535,11,9.077215189873417,21.689873417721518,31,0.0039958953857421875,0.4031245708465576,3,fec_simple_kmedoids,0.5
14,156,0.41524295681581513,0.08496120251332576,0.3419395465994962,0.6505037783375315,0.3419395465994962,38,50.1858407079646,10,7.670037926675095,11,9.289506953223768,22.774968394437423,31,0.0040891170501708984,0.4293501377105713,3,fec_simple_kmedoids,0.5
15,158,0.40967175692695207,0.08123988042267251,0.3419395465994962,0.6511335012594459,0.3419395465994962,38,53.55125,10,7.905,11,9.4125,23.465,31,0.004100322723388672,0.4480266571044922,3,fec_simple_kmedoids,0.5
16,154,0.40575308402764315,0.07886115799938603,0.34068010075566746,0.6467254408060453,0.34068010075566746,70,56.965384615384615,21,8.992307692307692,17,9.898717948717948,26.523076923076925,64,0.0041429996490478516,0.4743363857269287,3,fec_simple_kmedoids,0.5
17,165,0.40241692132619006,0.07631589727059367,0.34068010075566746,0.6536523929471032,0.34068010075566746,70,58.786802030456855,21,9.088832487309645,17,9.950507614213198,26.738578680203045,64,0.004150867462158203,0.49712276458740234,3,fec_simple_kmedoids,0.5
18,150,0.40366817547647454,0.07977454317806217,0.34068010075566746,0.6467254408060453,0.34068010075566746,70,62.34586466165413,21,9.997493734335839,17,10.307017543859649,29.345864661654137,64,0.0042362213134765625,0.5329196453094482,3,fec_simple_kmedoids,0.5
19,172,0.3972926783349347,0.07383852448152983,0.34068010075566746,0.649874055415617,0.34068010075566746,70,66.86726804123711,21,11.032216494845361,17,10.720360824742269,32.271907216494846,64,0.004090309143066406,0.5748817920684814,3,fec_simple_kmedoids,0.5
20,158,0.40002789911679365,0.07610054115493874,0.34068010075566746,0.6492443324937027,0.34068010075566746,70,69.43037974683544,21,10.956962025316455,17,10.672151898734176,32.18227848101266,64,0.004443645477294922,0.5811481475830078,3,fec_simple_kmedoids,0.5
21,140,0.4008940181033562,0.07621767402344108,0.34068010075566746,0.6505037783375315,0.34068010075566746,70,69.45635910224439,21,10.790523690773068,17,10.603491271820449,31.721945137157107,64,0.00416111946105957,0.5745148658752441,3,fec_simple_kmedoids,0.5
22,135,0.4049587164277991,0.08193826983292479,0.34068010075566746,0.649874055415617,0.34068010075566746,70,72.6774193548387,21,10.741935483870968,17,10.549627791563275,31.51861042183623,64,0.00419306755065918,0.5777218341827393,3,fec_simple_kmedoids,0.5
23,135,0.40779209690109225,0.08331876880069954,0.34068010075566746,0.6530226700251889,0.34068010075566746,70,75.36682808716706,21,11.128329297820823,17,10.594430992736077,32.32082324455206,64,0.004330635070800781,0.6295464038848877,3,fec_simple_kmedoids,0.5
