gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5188088293782315,0.07721419322614377,0.3570528967254408,0.6429471032745592,,36,20.016194331983804,8,4.445344129554656,7,5.686234817813765,13.445344129554655,24,0.0,0.11231684684753418,14,baseline_simple,1.0
1,404,0.4609922305970402,0.06924277904277742,0.3513853904282116,0.6429471032745592,0.33501259445843834,20,22.29750479846449,5,3.727447216890595,8,5.669865642994242,11.124760076775432,16,0.004472970962524414,0.17564153671264648,14,baseline_simple,1.0
2,324,0.4462917759484796,0.074306816533335,0.3488664987405542,0.6416876574307304,0.33501259445843834,30,26.697594501718214,4,3.9621993127147768,7,6.225085910652921,11.848797250859107,13,0.004862785339355469,0.1956005096435547,14,baseline_simple,1.0
3,258,0.4449271794094809,0.07944692136692066,0.3488664987405542,0.6511335012594459,0.33501259445843834,30,29.512781954887217,4,4.273684210526316,7,6.524812030075188,12.687218045112783,13,0.005589962005615234,0.20976829528808594,14,baseline_simple,1.0
4,241,0.44296187788960845,0.0836399176203523,0.34760705289672544,0.6448362720403022,0.33501259445843834,60,33.01716738197425,5,4.638054363376252,8,6.8927038626609445,13.768240343347639,16,0.005931377410888672,0.23813295364379883,14,baseline_simple,1.0
5,230,0.4336748346308361,0.08236134401959451,0.34760705289672544,0.6517632241813602,0.33501259445843834,60,36.55099150141643,5,5.123229461756374,8,7.368271954674221,15.21671388101983,16,0.005845785140991211,0.2698686122894287,14,baseline_simple,1.0
6,182,0.4308243196522942,0.08682142258070175,0.34760705289672544,0.6511335012594459,0.33501259445843834,60,39.363398692810456,5,5.4562091503267975,8,7.686274509803922,16.13986928104575,16,0.005926847457885742,0.28568220138549805,14,baseline_simple,1.0
7,190,0.43404532694821035,0.08845036125689772,0.34760705289672544,0.649874055415617,0.33501259445843834,60,41.83745123537061,5,5.7685305591677505,8,7.975292587776333,17.15474642392718,16,0.0058917999267578125,0.29810404777526855,14,baseline_simple,1.0
8,191,0.4272562025215501,0.08091149397234128,0.3438287153652393,0.646095717884131,0.35012594458438284,35,44.389182058047496,8,5.996042216358839,10,8.237467018469657,17.994722955145118,25,0.006426334381103516,0.31463170051574707,14,baseline_simple,1.0
9,151,0.42446271916218936,0.08268277894991685,0.3438287153652393,0.6479848866498741,0.35012594458438284,35,45.85960591133005,8,6.314039408866995,10,8.403940886699507,18.769704433497537,25,0.006941795349121094,0.3299086093902588,14,baseline_simple,1.0
10,126,0.4194169425379751,0.07917197614913736,0.3438287153652393,0.646095717884131,0.35012594458438284,35,47.73934226552984,8,6.367844092570037,10,8.524969549330086,18.97320341047503,25,0.006558656692504883,0.5260491371154785,14,baseline_simple,1.0
11,139,0.4227063404985242,0.08350848026871303,0.34256926952141054,0.6505037783375315,0.35264483627204035,67,49.90674846625767,11,6.792638036809816,11,8.786503067484663,20.314110429447855,34,0.006883382797241211,0.3561708927154541,14,baseline_simple,1.0
12,138,0.4167651736921258,0.08142730104109513,0.34256926952141054,0.649874055415617,0.35264483627204035,67,50.20761670761671,11,6.899262899262899,11,8.898034398034397,20.64987714987715,34,0.0068340301513671875,0.3597750663757324,14,baseline_simple,1.0
13,130,0.4232683382023774,0.08758943331000181,0.34068010075566746,0.6467254408060453,0.35768261964735515,67,54.002421307506054,11,7.284503631961259,11,9.119854721549636,21.696125907990314,34,0.007347822189331055,0.3764536380767822,14,baseline_simple,1.0
14,135,0.41512589867505684,0.08264473875721269,0.34005037783375314,0.6511335012594459,0.35516372795969775,67,56.80923450789793,16,7.6500607533414335,15,9.324422843256379,22.781287970838395,49,0.0069158077239990234,0.37463831901550293,14,baseline_simple,1.0
15,110,0.4091246478768276,0.07851278170077135,0.34005037783375314,0.649874055415617,0.35516372795969775,67,62.76094674556213,16,8.736094674556213,15,9.888757396449703,25.78698224852071,49,0.006725788116455078,0.41819167137145996,14,baseline_simple,1.0
16,111,0.4111473596245751,0.0805331080876425,0.34005037783375314,0.6486146095717884,0.35516372795969775,67,65.27863046044864,16,9.44391971664699,15,10.122786304604487,27.623376623376622,49,0.0069463253021240234,0.46141672134399414,14,baseline_simple,1.0
17,128,0.4083451644912602,0.08049630631166692,0.34005037783375314,0.6511335012594459,0.35516372795969775,67,69.40727272727273,16,10.563636363636364,15,10.644848484848485,30.78909090909091,49,0.007140636444091797,0.5121495723724365,14,baseline_simple,1.0
18,131,0.40806814232506927,0.08025013609261519,0.34005037783375314,0.6473551637279598,0.35516372795969775,67,74.12454212454213,16,11.59096459096459,15,11.081807081807082,33.41880341880342,49,0.007016420364379883,0.5491194725036621,14,baseline_simple,1.0
19,118,0.41021512292311096,0.08274047780732856,0.3394206549118388,0.6486146095717884,0.33753148614609574,121,80.48574821852732,19,12.585510688836104,17,11.574821852731592,36.01425178147269,53,0.007056474685668945,0.6273391246795654,14,baseline_simple,1.0
20,144,0.4102909457962735,0.08026656403847758,0.3394206549118388,0.6530226700251889,0.33753148614609574,121,82.52618757612667,19,12.398294762484774,17,11.417783191230207,35.66869671132765,53,0.015045642852783203,1.0708212852478027,14,baseline_simple,1.0
21,141,0.40567842457011216,0.0791782990936527,0.3394206549118388,0.6511335012594459,0.33753148614609574,121,87.54822954822954,19,13.057387057387057,17,11.709401709401709,37.242979242979246,53,0.01120758056640625,1.057762622833252,14,baseline_simple,1.0
22,118,0.40498728602119693,0.0801213301753661,0.3394206549118388,0.6511335012594459,0.33753148614609574,121,93.8208778173191,19,13.386714116251483,17,11.813760379596678,38.27995255041518,53,0.010535240173339844,1.0678071975708008,14,baseline_simple,1.0
23,137,0.40675075155565166,0.08024622498009104,0.3394206549118388,0.6492443324937027,0.33753148614609574,121,94.59613059250302,19,13.274486094316808,17,11.620314389359129,37.83434099153567,53,0.009720325469970703,1.1006758213043213,14,baseline_simple,1.0
24,118,0.40507155112620014,0.07842395693649183,0.3394206549118388,0.649874055415617,0.33753148614609574,121,97.86473429951691,19,14.568840579710145,17,12.219806763285025,41.23067632850242,53,0.009655475616455078,1.1713404655456543,14,baseline_simple,1.0
25,122,0.4079112690416217,0.0798851068835005,0.336272040302267,0.6486146095717884,0.33501259445843834,103,99.86785714285715,20,14.521428571428572,18,12.197619047619048,40.69761904761905,61,0.010180473327636719,1.3658924102783203,14,baseline_simple,1.0
26,126,0.4112602894917624,0.08354285747442078,0.336272040302267,0.6486146095717884,0.33501259445843834,103,103.89593301435407,20,15.830143540669857,18,12.727272727272727,44.04306220095694,61,0.010242462158203125,1.0718894004821777,14,baseline_simple,1.0
27,113,0.40125277818936145,0.07482765845533058,0.336272040302267,0.6505037783375315,0.33501259445843834,103,106.97411764705882,20,16.3,18,12.849411764705883,45.33176470588235,61,0.005404233932495117,0.6642558574676514,14,baseline_simple,1.0
28,123,0.40069027901104814,0.07497045194996375,0.336272040302267,0.6561712846347607,0.33501259445843834,103,111.2062350119904,20,16.9484412470024,18,13.009592326139089,47.117505995203835,61,0.00530695915222168,0.6839675903320312,14,baseline_simple,1.0
29,113,0.40129648836864723,0.07618410787231283,0.336272040302267,0.6517632241813602,0.33501259445843834,103,115.51176470588236,20,17.177647058823528,18,13.221176470588235,47.93882352941176,61,0.005322456359863281,0.7707173824310303,14,baseline_simple,1.0
30,113,0.4038764936310586,0.07737853332284395,0.336272040302267,0.6523929471032746,0.33501259445843834,103,118.01067615658363,20,17.018979833926455,18,13.144721233689205,47.494661921708186,61,0.0052967071533203125,0.7645788192749023,14,baseline_simple,1.0
31,140,0.4056097433917397,0.07837546772324487,0.336272040302267,0.6555415617128464,0.33501259445843834,103,120.05474452554745,20,17.813868613138688,18,13.545012165450121,49.71897810218978,61,0.005066633224487305,0.8284714221954346,14,baseline_simple,1.0
32,133,0.4121334249293947,0.08265570252465407,0.336272040302267,0.6486146095717884,0.33501259445843834,103,120.83272727272727,20,17.477575757575757,18,13.26909090909091,48.61818181818182,61,0.005600929260253906,0.8634834289550781,14,baseline_simple,1.0
33,104,0.4055023888080794,0.07932512877176723,0.336272040302267,0.6530226700251889,0.33501259445843834,103,126.32159624413146,20,17.809859154929576,18,13.512910798122066,49.559859154929576,61,0.005436420440673828,0.841271162033081,14,baseline_simple,1.0
34,103,0.40645981492524913,0.07971425138401095,0.336272040302267,0.6486146095717884,0.33501259445843834,103,132.4110718492344,20,18.896348645465253,18,13.624263839811544,52.23439340400471,61,0.005448818206787109,0.8913731575012207,14,baseline_simple,1.0
35,106,0.4061712846347607,0.08023286854169173,0.336272040302267,0.649874055415617,0.33501259445843834,103,140.17061611374407,20,18.694312796208532,18,13.562796208530806,51.81516587677725,61,0.005751371383666992,0.9904732704162598,14,baseline_simple,1.0
36,116,0.4044985831234257,0.07911880628871501,0.336272040302267,0.6486146095717884,0.33501259445843834,103,143.45552884615384,20,19.260817307692307,18,13.76201923076923,53.18149038461539,61,0.006286144256591797,0.9943318367004395,14,baseline_simple,1.0
37,108,0.40619425100014817,0.08221952229639606,0.336272040302267,0.649874055415617,0.33501259445843834,103,145.21058823529413,20,19.24235294117647,18,13.703529411764706,52.95764705882353,61,0.005540132522583008,0.9687104225158691,14,baseline_simple,1.0
