gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5208232747074264,0.07815324029894499,0.34571788413098237,0.6549118387909321,,19,20.100042034468263,4,4.452080706179067,7,5.688524590163935,13.502206809583859,13,0.0,3.3082990646362305,28,fec_simple_farthest_point,0.2
1,8055,0.4666861380913936,0.07042021797815834,0.34571788413098237,0.6530226700251889,0.34571788413098237,19,21.472145939584152,4,3.6738917222440173,7,5.571792859945076,10.914770498234601,13,0.08246684074401855,4.013982772827148,28,fec_simple_farthest_point,0.2
2,7060,0.44638080348831727,0.07280287589265745,0.34068010075566746,0.6511335012594459,0.34068010075566746,31,25.92279608192342,7,4.157524487978629,7,6.274977738201247,12.366073018699911,21,0.10685181617736816,4.638895750045776,28,fec_simple_farthest_point,0.2
3,6300,0.43902642728931557,0.07749199622161997,0.34068010075566746,0.6542821158690176,0.34068010075566746,31,29.144192913385826,7,4.607857611548557,7,6.863927165354331,13.734169947506562,21,0.10018515586853027,5.05038857460022,28,fec_simple_farthest_point,0.2
4,5482,0.4348995890627021,0.08048329693952712,0.34068010075566746,0.6555415617128464,0.34068010075566746,31,31.562129733783276,7,4.822872140982377,7,7.223397075365579,14.442594675665541,21,0.12299847602844238,5.630083799362183,28,fec_simple_farthest_point,0.2
5,4959,0.43067046836914197,0.08221810501188778,0.34068010075566746,0.6580604534005038,0.34068010075566746,31,33.63166965888689,7,4.937019748653501,7,7.459245960502693,14.848976660682226,21,0.10840559005737305,5.710462331771851,28,fec_simple_farthest_point,0.2
6,4246,0.42595748748698975,0.08197675135044748,0.34068010075566746,0.6530226700251889,0.34068010075566746,31,35.66814159292036,7,5.103675970047651,7,7.651395507147719,15.359019741320626,21,0.12199521064758301,6.144945383071899,28,fec_simple_farthest_point,0.2
7,3725,0.42396923429400846,0.0826387032359468,0.34068010075566746,0.6580604534005038,0.34068010075566746,31,38.07130651945321,7,5.303627760252366,7,7.809279705573081,15.888801261829652,21,0.12216997146606445,6.352475881576538,28,fec_simple_farthest_point,0.2
8,3354,0.42194549694060823,0.08320262369553531,0.3394206549118388,0.656801007556675,0.3394206549118388,66,40.07436587240584,10,5.461183704842429,8,7.952216243914937,16.387138098898284,30,0.12338614463806152,6.665826320648193,28,fec_simple_farthest_point,0.2
9,3116,0.4209903928977912,0.0841853472782651,0.3394206549118388,0.656801007556675,0.3394206549118388,66,41.82576570887275,10,5.64559520050521,8,8.079002210293654,16.916008841174612,30,0.11053895950317383,6.727700471878052,28,fec_simple_farthest_point,0.2
10,2838,0.4184192334178691,0.08343479919894638,0.33816120906801006,0.6580604534005038,0.33816120906801006,66,44.04445960190984,10,5.909406585229739,12,8.246543064426117,17.685000310039065,31,0.10880327224731445,7.0034332275390625,28,fec_simple_farthest_point,0.2
11,2646,0.4177536925065169,0.0838101801872942,0.33816120906801006,0.6580604534005038,0.33816120906801006,66,46.18862843503275,10,6.175224921965849,12,8.395128220821348,18.40161576595875,31,0.1071927547454834,7.257696628570557,28,fec_simple_farthest_point,0.2
12,2474,0.41842821311211625,0.08495450098814844,0.33753148614609574,0.6593198992443325,0.33753148614609574,55,48.42234332425068,13,6.409930366333636,13,8.544050862851952,19.057220708446867,35,0.1058800220489502,7.485461473464966,28,fec_simple_farthest_point,0.2
13,2288,0.41662991994368737,0.08429040547263851,0.336272040302267,0.6599496221662469,0.336272040302267,68,50.21081631430796,12,6.690902557345631,13,8.718033179613105,19.86380786967719,37,0.11835789680480957,7.81362771987915,28,fec_simple_farthest_point,0.2
14,2080,0.41568564309315836,0.0841104188232163,0.336272040302267,0.6580604534005038,0.336272040302267,68,52.09950248756219,12,6.868040748637764,13,8.797441364605543,20.34049988154466,37,0.12526988983154297,8.049475193023682,28,fec_simple_farthest_point,0.2
