gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5209067613316403,0.08586591904203807,0.34256926952141054,0.6593198992443325,,19,19.9438202247191,4,4.413945185340754,7,5.672477160558648,13.394728551926914,13,0.0,3.8617756366729736,13,fec_simple_farthest_point,0.3
1,8058,0.4636604006715077,0.07788915743983522,0.34005037783375314,0.6574307304785894,0.34005037783375314,36,21.832064049990237,8,3.7235891427455576,8,5.6478226908806874,11.099101737941808,24,0.09052586555480957,4.486280202865601,13,fec_simple_farthest_point,0.3
2,7085,0.43888784979806633,0.07887473536343767,0.3387909319899244,0.6561712846347607,0.3387909319899244,26,25.17254057932024,7,4.011837503362927,7,6.23719845753744,11.940364092906465,21,0.1057741641998291,4.84675407409668,13,fec_simple_farthest_point,0.3
3,6133,0.42738942428604415,0.07931678301394304,0.3387909319899244,0.6580604534005038,0.3387909319899244,26,28.281349823900403,7,4.41420263739864,7,6.726185600786305,13.000491440740438,21,0.10471034049987793,5.288534879684448,13,fec_simple_farthest_point,0.3
4,5617,0.42206105201820937,0.0802022747124203,0.33753148614609574,0.656801007556675,0.33753148614609574,50,31.05494336133159,6,4.811358557447792,9,7.124528011096555,14.092394235955922,19,0.11829209327697754,5.9394683837890625,13,fec_simple_farthest_point,0.3
5,4876,0.42105404026471477,0.08417075562114627,0.33753148614609574,0.6599496221662469,0.33753148614609574,50,33.33006020642202,6,5.136109518348624,9,7.401232798165138,14.923666857798166,19,0.10893368721008301,6.2990803718566895,13,fec_simple_farthest_point,0.3
6,4216,0.42045967600225176,0.08745775853528409,0.33501259445843834,0.6580604534005038,0.33501259445843834,61,35.19642736315041,15,5.357060694228297,9,7.573651803234319,15.389200893159213,40,0.11302518844604492,6.830897092819214,13,fec_simple_farthest_point,0.3
7,3944,0.41768246772586554,0.08864482668848067,0.33501259445843834,0.6599496221662469,0.33501259445843834,61,36.85279692470838,15,5.489793213149523,9,7.6474019088016965,15.573038176033934,40,0.11521124839782715,6.766546010971069,13,fec_simple_farthest_point,0.3
8,3644,0.41875798318594126,0.09206689827107496,0.33501259445843834,0.6605793450881612,0.33501259445843834,61,38.63044733970862,15,5.676400744496502,9,7.687568192028753,15.823567165137026,40,0.11299443244934082,7.112404108047485,13,fec_simple_farthest_point,0.3
9,3311,0.41833284565446477,0.09399380199753309,0.33501259445843834,0.6643576826196473,0.33501259445843834,61,40.204372683294594,15,5.809637494502733,9,7.702582144876547,15.96984356348558,40,0.12273979187011719,7.10777735710144,13,fec_simple_farthest_point,0.3
10,3003,0.4200755558940065,0.09608224829666648,0.33501259445843834,0.6630982367758187,0.33501259445843834,61,41.96989101656302,15,5.871744350717321,9,7.659750015393141,15.874946124007142,40,0.10161542892456055,7.116920709609985,13,fec_simple_farthest_point,0.3
11,2761,0.4211274046276019,0.09823444621142818,0.33312342569269526,0.6624685138539043,0.33312342569269526,94,43.80996298768279,13,6.049329530975062,14,7.677932164310418,16.05594320732965,40,0.1008296012878418,7.219991683959961,13,fec_simple_farthest_point,0.3
12,2487,0.42084503950472046,0.09884053462453178,0.33312342569269526,0.6630982367758187,0.33312342569269526,94,45.21917971307816,13,6.106256324781237,14,7.646883743079945,16.009702958509436,40,0.12213134765625,7.246305227279663,13,fec_simple_farthest_point,0.3
13,2316,0.42150476702254785,0.09989584938279397,0.33312342569269526,0.6630982367758187,0.33312342569269526,94,46.52308870302745,13,6.196371775238544,14,7.637884320885853,16.092826010130757,40,0.1140284538269043,7.309314012527466,13,fec_simple_farthest_point,0.3
14,2169,0.4201693971910621,0.09923944643697755,0.33312342569269526,0.6630982367758187,0.33312342569269526,94,48.147111965961415,13,6.30640554875561,14,7.634201783528589,16.22387363758233,40,0.11827635765075684,7.403131008148193,13,fec_simple_farthest_point,0.3
15,2028,0.4226652483822937,0.10118930900846786,0.3318639798488665,0.6624685138539043,0.3318639798488665,64,49.660846438482885,10,6.387835337650324,10,7.605284458834412,16.289141998149862,26,0.11682724952697754,7.484635829925537,13,fec_simple_farthest_point,0.3
16,2001,0.4233063195110531,0.10186644368597043,0.3312342569269522,0.6624685138539043,0.3312342569269522,56,51.27747062888735,11,6.578841280810873,12,7.63752591568763,16.634646394839898,29,0.11234521865844727,7.626266717910767,13,fec_simple_farthest_point,0.3
17,1943,0.42315038931286997,0.10231284196628478,0.3312342569269522,0.6630982367758187,0.3312342569269522,56,53.199528762714785,11,6.735877248433998,12,7.697661053962416,17.010056893281995,29,0.11097216606140137,7.717645168304443,13,fec_simple_farthest_point,0.3
18,1830,0.42327073086873723,0.10268660480405233,0.3261964735516373,0.6643576826196473,0.3261964735516373,30,55.02625135242868,7,6.852627982461136,10,7.72171288650988,17.220659415750813,22,0.1207125186920166,7.811595678329468,13,fec_simple_farthest_point,0.3
19,1854,0.4215049639441034,0.10195385024463093,0.3261964735516373,0.6630982367758187,0.3261964735516373,30,57.36675627752674,7,7.110621746839787,10,7.816736258079277,17.834810959217524,22,0.12689447402954102,7.964901685714722,13,fec_simple_farthest_point,0.3
20,1773,0.423055925418435,0.10232858634932196,0.3261964735516373,0.6624685138539043,0.3261964735516373,30,59.34227156276687,7,7.43643609450612,10,7.974665528038713,18.69285510959294,22,0.11360645294189453,8.208828926086426,13,fec_simple_farthest_point,0.3
