gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5188228281392582,0.07401893820072564,0.35831234256926947,0.6454659949622166,,15,20.01711185308848,3,4.442404006677796,7,5.694073455759599,13.445742904841403,10,0.0,0.4453887939453125,21,fec_simple_kmeans,0.1
1,2061,0.47031606093318934,0.06750710277348944,0.35831234256926947,0.6379093198992443,0.35831234256926947,15,21.611507936507937,3,3.6456349206349206,7,5.586507936507936,10.850793650793651,10,0.011574745178222656,0.6961557865142822,21,fec_simple_kmeans,0.1
2,1751,0.4462260886360161,0.06633346506033254,0.353904282115869,0.6423173803526449,0.353904282115869,25,25.812566560170396,8,4.0894568690095845,7,6.254881079162229,12.226837060702875,24,0.022806644439697266,0.601581335067749,21,fec_simple_kmeans,0.1
3,1535,0.4402623144227179,0.06997391496891213,0.353904282115869,0.6467254408060453,0.353904282115869,25,29.181965617904638,8,4.560493026273111,7,6.80895231916964,13.660720077846253,24,0.034980058670043945,0.7804696559906006,21,fec_simple_kmeans,0.1
4,1461,0.43790364111316654,0.0735554167820351,0.353904282115869,0.6448362720403022,0.353904282115869,25,32.08060531192094,8,5.051575046324892,7,7.2421247683755405,15.054354539839407,24,0.02852010726928711,0.8814458847045898,21,fec_simple_kmeans,0.1
5,1375,0.4349951422962599,0.0767948448164039,0.353904282115869,0.6454659949622166,0.353904282115869,25,34.656075316269494,8,5.537805236834363,7,7.585760517799352,16.397469844071786,24,0.013888120651245117,0.8842570781707764,21,fec_simple_kmeans,0.1
6,1201,0.4340825968777128,0.078589808857487,0.353904282115869,0.6448362720403022,0.353904282115869,25,36.659322033898306,8,5.761299435028248,7,7.77683615819209,16.971468926553673,24,0.015839099884033203,0.899254560470581,21,fec_simple_kmeans,0.1
7,1112,0.4347095748265499,0.08176078295662922,0.3507556675062973,0.6467254408060453,0.3507556675062973,72,38.69462719298246,5,5.954495614035087,10,7.911732456140351,17.495065789473685,18,0.01109004020690918,0.9275455474853516,21,fec_simple_kmeans,0.1
8,1018,0.4297348672428977,0.07885386026424823,0.3507556675062973,0.6448362720403022,0.3507556675062973,72,40.75132837407014,5,6.062699256110521,10,8.038522848034006,17.791976620616367,18,0.017809391021728516,0.8005008697509766,21,fec_simple_kmeans,0.1
9,919,0.4276281092569269,0.07951860149683027,0.3507556675062973,0.6448362720403022,0.3507556675062973,72,42.87734375,5,6.284895833333334,10,8.2109375,18.492708333333333,18,0.011982917785644531,1.1749358177185059,21,fec_simple_kmeans,0.1
10,823,0.42781454563267496,0.0809448870946281,0.35012594458438284,0.6467254408060453,0.35012594458438284,33,44.271750255885365,5,6.344933469805527,8,8.297082906857728,18.688843398157626,16,0.014963388442993164,1.050786018371582,21,fec_simple_kmeans,0.1
11,773,0.4259006858899892,0.07895385136050222,0.35012594458438284,0.6435768261964736,0.35012594458438284,33,46.38812785388128,5,6.526889903602233,8,8.45865043125317,19.282343987823438,16,0.014224529266357422,1.110903263092041,21,fec_simple_kmeans,0.1
12,733,0.42652291217830457,0.08083606408448885,0.35012594458438284,0.6454659949622166,0.35012594458438284,33,48.099603567889,5,6.632061446977205,8,8.584737363726461,19.542120911793855,16,0.015237092971801758,1.1877210140228271,21,fec_simple_kmeans,0.1
13,716,0.4261410229064645,0.07991229127063626,0.3494962216624685,0.6486146095717884,0.3494962216624685,81,49.27365284330767,14,6.689595232182766,13,8.666501117457164,19.784454929227714,43,0.017748117446899414,1.187413215637207,21,fec_simple_kmeans,0.1
14,602,0.4232293045297358,0.07854390968255003,0.34823677581863977,0.6454659949622166,0.34823677581863977,81,51.46537530266344,17,6.930750605326876,14,8.861985472154963,20.465617433414042,47,0.016818523406982422,1.285867691040039,21,fec_simple_kmeans,0.1
15,620,0.4269592831856686,0.08174434330366431,0.34823677581863977,0.6511335012594459,0.34823677581863977,81,53.93532818532819,17,7.387789575289576,14,9.112210424710424,21.742519305019304,47,0.02261495590209961,1.278616189956665,21,fec_simple_kmeans,0.1
16,655,0.42503429275337073,0.08044977310329113,0.3463476070528967,0.6448362720403022,0.3463476070528967,81,55.851680467608375,17,7.615440818314662,14,9.269605455431076,22.396492937165124,47,0.04107022285461426,1.3574450016021729,21,fec_simple_kmeans,0.1
17,608,0.4228690449784725,0.07930089576597431,0.3463476070528967,0.6448362720403022,0.3463476070528967,81,58.44897466827503,17,7.924004825090471,14,9.487092882991556,23.314837153196624,47,0.019658327102661133,1.2951180934906006,21,fec_simple_kmeans,0.1
18,637,0.4215549323949107,0.0796328328067194,0.3463476070528967,0.6448362720403022,0.3463476070528967,81,61.41973203410475,17,8.341047503045067,14,9.708891595615103,24.45213154689403,47,0.014830350875854492,1.5722126960754395,21,fec_simple_kmeans,0.1
19,586,0.4194689838863245,0.07981774867682961,0.3463476070528967,0.6454659949622166,0.3463476070528967,81,63.685885167464114,17,8.796172248803828,14,9.96602870813397,25.716985645933015,47,0.019519329071044922,1.5469245910644531,21,fec_simple_kmeans,0.1
20,603,0.416311858961507,0.07765448219872276,0.3463476070528967,0.646095717884131,0.3463476070528967,81,66.7590448625181,17,9.267245537867824,14,10.277858176555716,27.056922334780513,47,0.021373987197875977,1.5870559215545654,21,fec_simple_kmeans,0.1
21,553,0.4173579253828291,0.07840456207108798,0.3463476070528967,0.6454659949622166,0.3463476070528967,81,70.01231352119346,17,9.768884679138054,14,10.494198437130002,28.391664693345962,47,0.019075870513916016,1.6581571102142334,21,fec_simple_kmeans,0.1
