gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5184026982673079,0.07503933965401163,0.34508816120906805,0.6536523929471032,,19,19.617003367003367,4,4.344276094276094,7,5.638047138047138,13.181818181818182,13,0.0,0.36612939834594727,18,fec_simple_kmeans,0.3
1,2011,0.4690078988196014,0.06893801420590483,0.3444584382871536,0.6511335012594459,0.3444584382871536,14,22.001561280249806,4,3.7736143637782984,7,5.658469945355192,11.234582357533178,13,0.022512435913085938,0.6883900165557861,18,fec_simple_kmeans,0.3
2,1771,0.44863412586989787,0.07174622258877146,0.3444584382871536,0.6511335012594459,0.3444584382871536,14,26.215319449346982,4,4.266148958701024,7,6.286974938228027,12.635721849629368,13,0.013617277145385742,0.597442626953125,18,fec_simple_kmeans,0.3
3,1594,0.43934983716508674,0.07412603804489806,0.3438287153652393,0.6505037783375315,0.3438287153652393,24,29.57786613651425,5,4.6978131212723655,8,6.841616964877402,13.922796554009278,16,0.011166810989379883,0.6630692481994629,18,fec_simple_kmeans,0.3
4,1480,0.4342952088094225,0.0779872460930165,0.34256926952141054,0.6549118387909321,0.34256926952141054,27,31.85621521335807,5,4.880952380952381,8,7.181199752628324,14.565862708719852,16,0.014419078826904297,0.7295773029327393,18,fec_simple_kmeans,0.3
5,1213,0.42968778715905775,0.08012455217587094,0.34068010075566746,0.6517632241813602,0.34068010075566746,34,33.896709585121606,6,5.107010014306152,9,7.51587982832618,15.312732474964236,19,0.010644674301147461,0.8289191722869873,18,fec_simple_kmeans,0.3
6,1162,0.42323171913832763,0.07932431975229289,0.34068010075566746,0.6561712846347607,0.34068010075566746,34,35.6649069185885,6,5.145318143928869,9,7.684078910808558,15.546540705751598,19,0.01960468292236328,1.0194404125213623,18,fec_simple_kmeans,0.3
7,929,0.4187559735089161,0.07926726808098296,0.34068010075566746,0.6549118387909321,0.34068010075566746,34,37.10070996581646,6,5.189850118327636,9,7.828819353142256,15.778858795687615,19,0.011775493621826172,0.8051390647888184,18,fec_simple_kmeans,0.3
8,894,0.4189362450756654,0.08187717161704085,0.34068010075566746,0.6574307304785894,0.34068010075566746,34,38.985639686684074,6,5.297127937336815,9,7.944908616187989,16.15430809399478,19,0.015354394912719727,1.2392504215240479,18,fec_simple_kmeans,0.3
9,884,0.4129808808122344,0.07840008517136692,0.34068010075566746,0.6536523929471032,0.34068010075566746,34,40.79906298802707,6,5.586933888599687,9,8.152264445601249,17.017178552837063,19,0.015969038009643555,1.457216501235962,18,fec_simple_kmeans,0.3
10,794,0.41561246146507697,0.08151501907776112,0.33816120906801006,0.6536523929471032,0.33816120906801006,26,42.833631484794275,8,5.887298747763864,12,8.355481727574752,17.939688218757986,25,0.018105268478393555,1.2883529663085938,18,fec_simple_kmeans,0.3
11,697,0.4134274811833538,0.08186141763518161,0.33816120906801006,0.6561712846347607,0.33816120906801006,26,45.04940417080437,8,6.1012909632572,12,8.476415094339623,18.51514399205561,25,0.01270604133605957,1.6524720191955566,18,fec_simple_kmeans,0.3
12,678,0.41180747531647377,0.08177432585357189,0.33816120906801006,0.6561712846347607,0.33816120906801006,26,46.73609059576563,8,6.424175283111768,12,8.659034958148695,19.45568685376662,25,0.017999649047851562,1.535585880279541,18,fec_simple_kmeans,0.3
13,713,0.41148777725845453,0.08236991709193223,0.33816120906801006,0.6549118387909321,0.33816120906801006,26,48.572104607721045,8,6.694146948941469,12,8.800249066002491,20.206724782067248,25,0.02652597427368164,1.5131893157958984,18,fec_simple_kmeans,0.3
14,636,0.4087353221837486,0.08164536982119154,0.33816120906801006,0.6574307304785894,0.33816120906801006,26,50.47679842867665,8,6.8585808986005405,12,8.954578934446355,20.75030689909158,25,0.011086702346801758,1.657153606414795,18,fec_simple_kmeans,0.3
15,601,0.40980849320805407,0.08215779780693408,0.33816120906801006,0.6555415617128464,0.33816120906801006,26,51.92002916869227,8,7.111084103062713,12,9.106222654350997,21.44725328147788,25,0.019753694534301758,1.6338813304901123,18,fec_simple_kmeans,0.3
16,634,0.4067821498746737,0.07931271260408286,0.33816120906801006,0.656801007556675,0.33816120906801006,26,53.699067255768284,8,7.325233186057928,12,9.2206676485027,22.067746686303387,25,0.01961827278137207,1.6356914043426514,18,fec_simple_kmeans,0.3
17,571,0.40599770423967835,0.0798383164612553,0.33816120906801006,0.6555415617128464,0.33816120906801006,26,56.34781559256577,8,7.6307023895727735,12,9.38450398262129,22.9176924933623,25,0.019522905349731445,1.9419431686401367,18,fec_simple_kmeans,0.3
18,537,0.40909685670953455,0.08257113639618398,0.33816120906801006,0.6599496221662469,0.33816120906801006,26,58.033436828278006,8,7.947934081681395,12,9.540482445665154,23.783377119656077,25,0.023455142974853516,1.851111888885498,18,fec_simple_kmeans,0.3
19,564,0.403524802028284,0.07855165814984513,0.33816120906801006,0.6555415617128464,0.33816120906801006,26,59.63253449527959,8,8.049140643911885,12,9.613410796417332,24.121278140885984,25,0.020906925201416016,1.9756207466125488,18,fec_simple_kmeans,0.3
20,539,0.40767922629064673,0.08245856048331109,0.33816120906801006,0.6555415617128464,0.33816120906801006,26,61.99523128278493,8,8.437768240343347,12,9.786361468764902,25.22556032427277,25,0.02283954620361328,2.4731733798980713,18,fec_simple_kmeans,0.3
21,556,0.4040325858927547,0.08037851666042373,0.33816120906801006,0.6586901763224181,0.33816120906801006,26,64.12704130643611,8,8.926032660902978,12,10.054034582132564,26.57324687800192,25,0.024153709411621094,2.6525449752807617,18,fec_simple_kmeans,0.3
22,547,0.4034782965816402,0.07950410295742767,0.33816120906801006,0.6561712846347607,0.33816120906801006,26,65.5163043478261,8,9.148156899810964,12,10.170604914933838,27.170604914933836,25,0.027579545974731445,3.399597406387329,18,fec_simple_kmeans,0.3
23,542,0.4067642585965345,0.08329015531986889,0.33816120906801006,0.6574307304785894,0.33816120906801006,26,68.5182516810759,8,9.504322766570604,12,10.358789625360231,28.243035542747357,25,0.03244352340698242,3.0540413856506348,18,fec_simple_kmeans,0.3
24,518,0.4055433540930795,0.08185770281089323,0.33816120906801006,0.6574307304785894,0.33816120906801006,26,70.51921252371916,8,9.547912713472487,12,10.3323055028463,28.309535104364326,25,0.03484320640563965,3.2204322814941406,18,fec_simple_kmeans,0.3
25,536,0.4031200235688579,0.07907227750193702,0.33816120906801006,0.6599496221662469,0.33816120906801006,26,72.24892806098141,8,10.123153882801335,12,10.66579323487375,29.989518818484992,25,0.032566070556640625,3.688034772872925,18,fec_simple_kmeans,0.3
26,595,0.4027205732180543,0.0791671013482107,0.3369017632241813,0.6561712846347607,0.3369017632241813,104,74.70801158301158,13,10.442084942084943,16,10.771235521235521,30.840974903474905,40,0.02772998809814453,3.4801950454711914,18,fec_simple_kmeans,0.3
27,538,0.40410792445240445,0.07997244966920479,0.3369017632241813,0.6549118387909321,0.3369017632241813,104,77.87238593155894,13,10.681796577946768,16,10.897813688212928,31.478849809885933,40,0.03349041938781738,3.732024669647217,18,fec_simple_kmeans,0.3
28,521,0.40471709142270557,0.08068871117433929,0.3369017632241813,0.6549118387909321,0.3369017632241813,104,80.24342884205541,13,11.2436656405399,16,11.143736680085247,33.08643144683874,40,0.031183719635009766,3.9648373126983643,18,fec_simple_kmeans,0.3
29,554,0.4053739972502551,0.08222070753250309,0.3369017632241813,0.6599496221662469,0.3369017632241813,104,82.32806891600862,13,11.631969370662839,16,11.350801627183536,34.19885139985642,40,0.025023221969604492,3.808337926864624,18,fec_simple_kmeans,0.3
30,563,0.4039522899429679,0.08068206548096453,0.3369017632241813,0.6574307304785894,0.3369017632241813,104,85.49746682750302,13,11.87913148371532,16,11.430639324487334,34.88443908323281,40,0.03878617286682129,2.9014532566070557,18,fec_simple_kmeans,0.3
31,591,0.4038819478620937,0.08145053814836914,0.33501259445843834,0.6561712846347607,0.33501259445843834,62,89.34384023099133,13,13.092155919153031,16,11.902309913378248,38.267083734359964,40,0.021584510803222656,3.3164103031158447,18,fec_simple_kmeans,0.3
32,597,0.402281298435819,0.08108303509599324,0.33501259445843834,0.6574307304785894,0.33501259445843834,62,93.16735386854232,13,13.966529226291536,16,12.300024254183846,40.67135580887703,40,0.06456685066223145,6.043563604354858,18,fec_simple_kmeans,0.3
33,595,0.4018342800315641,0.08176107433533752,0.3337531486146096,0.6555415617128464,0.3337531486146096,68,96.83620480465906,15,14.288764862897356,16,12.437515166221791,41.497452074739144,46,0.023146867752075195,4.0846171379089355,18,fec_simple_kmeans,0.3
34,660,0.401092929133398,0.08046843434165947,0.3337531486146096,0.6580604534005038,0.3337531486146096,68,98.5201184892619,15,14.56899530980005,16,12.544063194273019,42.22883238706492,46,0.0199434757232666,2.9673092365264893,18,fec_simple_kmeans,0.3
35,588,0.39974838304575383,0.07897412514952037,0.3337531486146096,0.6580604534005038,0.3337531486146096,68,103.28578290105668,15,15.834534101825168,16,13.077569644572526,45.71493756003842,46,0.021427392959594727,4.686606407165527,18,fec_simple_kmeans,0.3
36,647,0.39693286616859763,0.07706146356570277,0.3337531486146096,0.6574307304785894,0.3337531486146096,68,109.1480660261148,15,16.451342695245135,16,13.29219019462922,47.33949248583395,46,0.046391963958740234,4.38678240776062,18,fec_simple_kmeans,0.3
37,603,0.39959657372023605,0.07997544682895873,0.33312342569269526,0.656801007556675,0.33312342569269526,62,113.26292789512017,14,17.764263170672493,14,13.749210973537267,50.859189123573685,43,0.02146291732788086,4.836084604263306,18,fec_simple_kmeans,0.3
38,662,0.40219342321928436,0.08212852100255298,0.33312342569269526,0.6555415617128464,0.33312342569269526,62,114.18600049468216,14,17.571357902547614,14,13.742023250061836,50.2191441998516,43,0.024228572845458984,4.279786825180054,18,fec_simple_kmeans,0.3
39,626,0.4013085617573847,0.08157755613800205,0.33312342569269526,0.6580604534005038,0.33312342569269526,62,117.19523575638507,14,17.5036836935167,14,13.648084479371317,49.89685658153242,43,0.021105527877807617,4.170870304107666,18,fec_simple_kmeans,0.3
