run,gen,phenotype,hit,phenotype_in_cache,fitness_cached,cache_key,fitness_full_train,fake_hit,fitness_diff
5,0,x[4],False,,,758699426f16879e5e870024f60cb008,0.484375,False,0.0
5,0,x[4],True,x[4],0.484375,758699426f16879e5e870024f60cb008,,,
5,0,x[1],False,,,e4c1672d46f505d1fb81c90a3636917b,0.3203125,False,0.0
5,0,x[4],True,x[4],0.484375,758699426f16879e5e870024f60cb008,,,
5,0,x[1],True,x[1],0.3203125,e4c1672d46f505d1fb81c90a3636917b,,,
5,0,x[1],True,x[1],0.3203125,e4c1672d46f505d1fb81c90a3636917b,,,
5,0,not_(x[1]),False,,,8e683b87f22f6e9a0d8b43dabd90aa47,0.6796875,False,0.0
5,0,not_(x[1]),True,not_(x[1]),0.6796875,8e683b87f22f6e9a0d8b43dabd90aa47,,,
5,0,x[1],True,x[1],0.3203125,e4c1672d46f505d1fb81c90a3636917b,,,
5,0,x[1],True,x[1],0.3203125,e4c1672d46f505d1fb81c90a3636917b,,,
5,0,not_(x[1]),True,not_(x[1]),0.6796875,8e683b87f22f6e9a0d8b43dabd90aa47,,,
5,0,not_(x[4]),False,,,844eb9d93ad0a490ee784d12350b847e,0.515625,False,0.0
5,0,"less_than_or_equal(x[0],x[2])",False,,,9c9f29debcad5809aca8f0ae9c867690,0.5703125,False,0.0
5,0,"greater_than_or_equal(x[0], x[0])",False,,,1dd6dab379f6bdd30f4223f3be04a27c,0.5390625,False,0.0
5,0,"greater_than_or_equal(x[3], x[0])",False,,,8cd0db0c6206875771b02a70c8e9b980,0.5703125,False,0.0
5,0,x[4],True,x[4],0.484375,758699426f16879e5e870024f60cb008,,,
5,0,"greater_than_or_equal(x[3], x[0])",True,"greater_than_or_equal(x[3], x[0])",0.5703125,8cd0db0c6206875771b02a70c8e9b980,,,
5,0,"greater_than_or_equal(x[5], x[5])",True,"greater_than_or_equal(x[0], x[0])",0.5390625,1dd6dab379f6bdd30f4223f3be04a27c,,,
5,0,"not_(and_(x[4],x[1]))",False,,,bf78f9749c113e1431c2b58ceb989b49,0.609375,False,0.0
5,0,"greater_than_or_equal(x[3], x[0])",True,"greater_than_or_equal(x[3], x[0])",0.5703125,8cd0db0c6206875771b02a70c8e9b980,,,
5,0,"less_than_or_equal(x[0],x[5])",False,,,96b008a31571f4cbe67ae3f05b61e129,0.5078125,False,0.0
5,0,"greater_than_or_equal(x[2], x[5])",False,,,bee36058e40e5778a4cd6e4251125ac2,0.5390625,False,0.0
5,0,x[4],True,x[4],0.484375,758699426f16879e5e870024f60cb008,,,
5,0,"less_than_or_equal(sub(x[3],x[2]),pdiv(x[3],x[5]))",True,"greater_than_or_equal(x[0], x[0])",0.5390625,1dd6dab379f6bdd30f4223f3be04a27c,,,
5,0,x[1],True,x[1],0.3203125,e4c1672d46f505d1fb81c90a3636917b,,,
5,0,x[1],True,x[1],0.3203125,e4c1672d46f505d1fb81c90a3636917b,,,
5,0,x[1],True,x[1],0.3203125,e4c1672d46f505d1fb81c90a3636917b,,,
5,0,"less_than_or_equal(pdiv(x[0],x[3]),sub(x[5],x[2]))",False,,,5f0e56bd6ca09ecc67ddb15e3709381d,0.4609375,False,0.0
5,0,"greater_than_or_equal(sub(x[0],x[5]), sub(x[5],x[0]))",False,,,a28e530d7d5f3fbf5e3872129141c1d7,0.53125,False,0.0
5,0,x[4],True,x[4],0.484375,758699426f16879e5e870024f60cb008,,,
5,0,"less_than_or_equal(sub(x[2],x[3]),mul(x[0],x[3]))",False,,,e2f34b888b27db17e12b7dc2c16dddb7,0.40625,False,0.0
5,0,"not_(less_than_or_equal(x[5],x[2]))",False,,,e7742dc2821829abc2bfd04d42d3f855,0.4609375,False,0.0
5,0,"and_(x[1],greater_than_or_equal(x[3], x[5]))",False,,,110c5af186e38b27408fc2cf01f898b4,0.390625,False,0.0
5,0,not_(x[4]),True,not_(x[4]),0.515625,844eb9d93ad0a490ee784d12350b847e,,,
5,0,"less_than_or_equal(mul(x[2],x[2]),pdiv(x[0],x[0]))",True,"greater_than_or_equal(x[0], x[0])",0.5390625,1dd6dab379f6bdd30f4223f3be04a27c,,,
5,0,"not_(less_than_or_equal(x[5],x[5]))",False,,,f6860b8d67c564eb1b3e6a43b6bb1287,0.4609375,False,0.0
5,0,"less_than_or_equal(x[5],mul(x[0],x[0]))",True,"greater_than_or_equal(sub(x[0],x[5]), sub(x[5],x[0]))",0.53125,a28e530d7d5f3fbf5e3872129141c1d7,,,
5,0,"not_(not_(greater_than_or_equal(x[2], x[2])))",True,"greater_than_or_equal(x[0], x[0])",0.5390625,1dd6dab379f6bdd30f4223f3be04a27c,,,
5,0,"not_(greater_than_or_equal(add(x[2],x[2]), sub(x[3],x[5])))",False,,,c31fcd57d4794d1054a78aac956d9ceb,0.578125,False,0.0
5,0,"not_(greater_than_or_equal(mul(x[5],x[3]), sub(x[5],x[5])))",True,"not_(less_than_or_equal(x[5],x[5]))",0.4609375,f6860b8d67c564eb1b3e6a43b6bb1287,,,
5,0,"greater_than_or_equal(x[3], mul(add(x[2],x[0]),add(x[5],x[5])))",False,,,63fe94fa39ee2a756988c509c60c240f,0.796875,False,0.0
