run,gen,phenotype,hit,phenotype_in_cache,fitness_cached,cache_key,fitness_full_train,fake_hit,fitness_diff
4,0,x[4],False,,,bdc620025fb97dadb9d95f6c0e996ffe,0.5234375,False,0.0
4,0,x[1],False,,,42bdde2672d931bfbcc28e4d54167849,0.3125,False,0.0
4,0,x[1],True,x[1],0.3125,42bdde2672d931bfbcc28e4d54167849,,,
4,0,x[4],True,x[4],0.5234375,bdc620025fb97dadb9d95f6c0e996ffe,,,
4,0,x[4],True,x[4],0.5234375,bdc620025fb97dadb9d95f6c0e996ffe,,,
4,0,x[4],True,x[4],0.5234375,bdc620025fb97dadb9d95f6c0e996ffe,,,
4,0,x[4],True,x[4],0.5234375,bdc620025fb97dadb9d95f6c0e996ffe,,,
4,0,not_(x[1]),False,,,7405f8732705b9305a3067b7f29c097b,0.6875,False,0.0
4,0,x[4],True,x[4],0.5234375,bdc620025fb97dadb9d95f6c0e996ffe,,,
4,0,not_(x[1]),True,not_(x[1]),0.6875,7405f8732705b9305a3067b7f29c097b,,,
4,0,x[4],True,x[4],0.5234375,bdc620025fb97dadb9d95f6c0e996ffe,,,
4,0,"less_than_or_equal(x[5],x[5])",False,,,9216238486cf6d11fb9fc9938ce5c506,0.546875,False,0.0
4,0,"less_than_or_equal(x[2],x[3])",False,,,5b527fa153e334654571f3563f952b54,0.40625,False,0.0
4,0,"less_than_or_equal(x[5],x[2])",False,,,aa305fa60d14fc7ef0b82a0eaa60a5e9,0.5546875,False,0.0
4,0,"greater_than_or_equal(x[3], x[3])",True,"less_than_or_equal(x[5],x[5])",0.546875,9216238486cf6d11fb9fc9938ce5c506,,,
4,0,"greater_than_or_equal(x[2], x[2])",True,"less_than_or_equal(x[5],x[5])",0.546875,9216238486cf6d11fb9fc9938ce5c506,,,
4,0,"less_than_or_equal(x[3],sub(x[2],x[0]))",False,,,573ad2f5b2dfb76364bda3cd97baf875,0.5703125,False,0.0
4,0,not_(not_(x[1])),True,x[1],0.3125,42bdde2672d931bfbcc28e4d54167849,,,
4,0,"greater_than_or_equal(x[5], add(x[0],x[5]))",False,,,c43d08b3d94ea6b805f872f4d834865f,0.6953125,False,0.0
4,0,"less_than_or_equal(pdiv(x[5],x[3]),pdiv(x[0],x[2]))",False,,,926c85bdd99a5f9925ba7e12910acf3c,0.4921875,False,0.0
4,0,x[1],True,x[1],0.3125,42bdde2672d931bfbcc28e4d54167849,,,
