gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.4692283163265306,0.10333650045542683,0.2578125,0.6953125,,36,18.244897959183675,8,4.081632653061225,7,5.612244897959184,12.224489795918368,24,0.0,0.017204999923706055,10,fec_simple_farthest_point,0.2
1,198,0.38030260180995473,0.10137904109545624,0.203125,0.6953125,0.203125,36,19.493212669683256,8,3.235294117647059,7,4.891402714932127,9.28054298642534,24,0.0008876323699951172,0.03994154930114746,10,fec_simple_farthest_point,0.2
2,108,0.3347811371841155,0.08305322941663208,0.203125,0.75,0.203125,36,17.9927797833935,8,2.332129963898917,7,4.111913357400722,6.32129963898917,24,0.0008175373077392578,0.03329777717590332,10,fec_simple_farthest_point,0.2
3,94,0.32702390939597314,0.07567747607258465,0.1875,0.71875,0.1875,46,20.526845637583893,7,2.3859060402684564,7,4.030201342281879,6.416107382550336,21,0.0011026859283447266,0.038290977478027344,10,fec_simple_farthest_point,0.2
4,113,0.32679303278688526,0.08221995326426314,0.1875,0.796875,0.1875,46,25.763934426229508,7,3.055737704918033,7,4.531147540983606,8.360655737704919,21,0.0010192394256591797,0.04178023338317871,10,fec_simple_farthest_point,0.2
5,139,0.3293290770609319,0.10296302748977688,0.09375,0.796875,0.09375,55,31.666666666666668,7,3.806451612903226,7,5.150537634408602,10.67383512544803,21,0.0011036396026611328,0.046391963958740234,10,fec_simple_farthest_point,0.2
6,141,0.33538135593220336,0.12544074928174193,0.09375,0.8125,0.09375,55,40.68813559322034,7,5.922033898305084,7,6.667796610169492,16.952542372881357,21,0.0010869503021240234,0.06004524230957031,10,fec_simple_farthest_point,0.2
7,120,0.3431396484375,0.14071248829816066,0.09375,0.796875,0.09375,55,45.028125,7,7.175,7,7.50625,20.45625,21,0.0011315345764160156,0.07234764099121094,10,fec_simple_farthest_point,0.2
8,129,0.34829273162939295,0.14919303141932508,0.09375,0.828125,0.09375,55,49.66773162939297,7,8.02555910543131,7,8.201277955271566,23.04153354632588,21,0.0010981559753417969,0.07683873176574707,10,fec_simple_farthest_point,0.2
9,110,0.34985632183908044,0.1386096673108751,0.09375,0.796875,0.09375,55,53.53448275862069,7,8.60344827586207,7,8.525862068965518,24.79310344827586,21,0.0011262893676757812,0.0867912769317627,10,fec_simple_farthest_point,0.2
10,101,0.34903295128939826,0.1409655994259561,0.09375,0.8359375,0.09375,55,55.8567335243553,7,8.435530085959885,7,8.392550143266476,24.303724928366762,21,0.0012664794921875,0.08371400833129883,10,fec_simple_farthest_point,0.2
11,90,0.3363158831908832,0.14295888970565068,0.09375,0.8125,0.09375,55,59.10826210826211,7,9.025641025641026,7,8.638176638176638,25.735042735042736,21,0.0012898445129394531,0.08763837814331055,10,fec_simple_farthest_point,0.2
