gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.49375,0.1080161120794023,0.25,0.75,,19,16.675,4,3.7,7,5.375,11.2,13,0.0,0.04288601875305176,1,fec_simple_stratified,0.4
1,176,0.42134375,0.10886694950862037,0.25,0.7578125,0.25,19,16.036,4,2.74,7,4.848,7.82,13,0.0009424686431884766,0.09347844123840332,1,fec_simple_stratified,0.4
2,146,0.34808718861209964,0.09738133570344029,0.25,0.7109375,0.25,19,17.291814946619215,4,2.587188612099644,7,4.754448398576512,7.224199288256227,13,0.0038537979125976562,0.09581136703491211,1,fec_simple_stratified,0.4
3,134,0.32795818505338076,0.09524847794525361,0.1875,0.75,0.1875,39,19.750889679715304,6,2.704626334519573,7,5.092526690391459,7.772241992882562,18,0.004118919372558594,0.11137676239013672,1,fec_simple_stratified,0.4
4,145,0.3254196113074205,0.10524901613411282,0.1875,0.8203125,0.1875,39,24.226148409893995,6,3.480565371024735,7,6.102473498233215,10.508833922261484,18,0.0010597705841064453,0.12011218070983887,1,fec_simple_stratified,0.4
5,149,0.3295138888888889,0.1140449261364535,0.15625,0.8125,0.15625,28,28.98148148148148,7,4.455555555555556,7,7.044444444444444,13.633333333333333,21,0.0011212825775146484,0.1380922794342041,1,fec_simple_stratified,0.4
6,123,0.3429762380191693,0.1305310304567672,0.15625,0.8203125,0.15625,28,30.99361022364217,7,5.07667731629393,7,7.587859424920127,15.594249201277956,21,0.0041468143463134766,0.16191792488098145,1,fec_simple_stratified,0.4
7,109,0.34223865327380953,0.130100233397799,0.15625,0.7578125,0.15625,28,33.357142857142854,7,5.252976190476191,7,7.75,16.199404761904763,21,0.004256248474121094,0.17233633995056152,1,fec_simple_stratified,0.4
8,121,0.3483157467532468,0.13981861289028186,0.15625,0.84375,0.15625,28,35.48376623376623,7,5.759740259740259,7,8.055194805194805,17.772727272727273,21,0.004256248474121094,0.18323063850402832,1,fec_simple_stratified,0.4
9,128,0.3548791273584906,0.13457237340308129,0.15625,0.7578125,0.15625,28,38.70754716981132,7,6.251572327044025,7,8.415094339622641,19.22012578616352,21,0.0012481212615966797,0.18872499465942383,1,fec_simple_stratified,0.4
10,98,0.347179324127907,0.137784414865903,0.140625,0.8203125,0.140625,38,39.95348837209303,6,6.7354651162790695,9,8.546511627906977,20.497093023255815,19,0.0013659000396728516,0.20460295677185059,1,fec_simple_stratified,0.4
11,127,0.3528467465753425,0.13114009037198118,0.140625,0.7578125,0.140625,38,42.56164383561644,6,7.301369863013699,9,8.928082191780822,22.198630136986303,19,0.004269838333129883,0.2036442756652832,1,fec_simple_stratified,0.4
12,109,0.354000946969697,0.14292938551569762,0.140625,0.8203125,0.140625,38,45.2060606060606,6,7.845454545454546,9,9.063636363636364,23.584848484848486,19,0.0042760372161865234,0.2261183261871338,1,fec_simple_stratified,0.4
13,94,0.3431508819018405,0.13866290165687983,0.140625,0.765625,0.140625,38,45.49386503067485,6,7.604294478527607,9,9.012269938650308,22.9079754601227,19,0.00119781494140625,0.22545242309570312,1,fec_simple_stratified,0.4
14,91,0.3392666903409091,0.13919361050321144,0.140625,0.8203125,0.140625,38,46.86363636363637,6,7.903409090909091,9,9.1875,23.755681818181817,19,0.0013079643249511719,0.24497008323669434,1,fec_simple_stratified,0.4
15,92,0.3457543731778426,0.1429290109530589,0.140625,0.7578125,0.140625,38,49.670553935860056,6,8.230320699708455,9,9.405247813411078,24.466472303207,19,0.001325845718383789,0.24280667304992676,1,fec_simple_stratified,0.4
16,97,0.34426153273809523,0.13611190758946579,0.1328125,0.75,0.1328125,52,52.916666666666664,11,9.523809523809524,9,9.970238095238095,28.014880952380953,33,0.004243135452270508,0.3534212112426758,1,fec_simple_stratified,0.4
17,89,0.3277605685131195,0.1416972840605492,0.0859375,0.8359375,0.0859375,73,52.819241982507286,8,9.448979591836734,9,10.104956268221574,27.9533527696793,24,0.004368305206298828,0.2615785598754883,1,fec_simple_stratified,0.4
18,95,0.32675036656891493,0.14360953125039438,0.0859375,0.8125,0.0859375,73,55.62756598240469,8,9.56891495601173,9,10.190615835777127,28.29325513196481,24,0.0013604164123535156,0.25767970085144043,1,fec_simple_stratified,0.4
19,84,0.3300265762463343,0.15014583931433534,0.0859375,0.8203125,0.0859375,73,57.01466275659824,8,9.695014662756599,9,10.175953079178885,28.58357771260997,24,0.004384756088256836,0.26328063011169434,1,fec_simple_stratified,0.4
20,65,0.3447153376436782,0.15259146640945792,0.0859375,0.8203125,0.0859375,73,59.5316091954023,8,9.755747126436782,9,10.24712643678161,28.873563218390803,24,0.0014233589172363281,0.29561781883239746,1,fec_simple_stratified,0.4
21,62,0.3356361914600551,0.15556920602793595,0.0859375,0.890625,0.0859375,73,63.192837465564736,8,10.49862258953168,9,10.584022038567493,30.859504132231404,24,0.0013997554779052734,0.3021383285522461,1,fec_simple_stratified,0.4
22,73,0.33135557432432433,0.15360930098328088,0.0859375,0.8203125,0.0859375,73,65.2,8,10.764864864864865,9,10.743243243243244,31.756756756756758,24,0.0015170574188232422,0.31218552589416504,1,fec_simple_stratified,0.4
23,90,0.30936550151975684,0.14459592115321984,0.0859375,0.7734375,0.0859375,73,66.86626139817629,8,11.0790273556231,9,10.896656534954408,32.56231003039514,24,0.0014374256134033203,0.3060891628265381,1,fec_simple_stratified,0.4
24,65,0.3466524092178771,0.15827381149032652,0.0859375,0.828125,0.0859375,73,71.00558659217877,8,11.997206703910615,9,11.217877094972067,35.27653631284916,24,0.0045261383056640625,0.3466024398803711,1,fec_simple_stratified,0.4
25,93,0.3173149546827795,0.14399025955328199,0.0859375,0.7890625,0.0859375,73,75.90332326283988,8,13.148036253776436,9,11.818731117824774,38.72205438066465,24,0.0013916492462158203,0.33437442779541016,1,fec_simple_stratified,0.4
26,83,0.31283043806646527,0.14912807927168772,0.0859375,0.828125,0.0859375,73,78.09365558912387,8,12.706948640483384,9,11.709969788519638,37.413897280966765,24,0.0012438297271728516,0.33533740043640137,1,fec_simple_stratified,0.4
27,75,0.3348517749244713,0.1582875592624426,0.0859375,0.8203125,0.0859375,73,81.30211480362537,8,13.181268882175226,9,11.93655589123867,38.74320241691843,24,0.0012135505676269531,0.33040356636047363,1,fec_simple_stratified,0.4
28,94,0.32648809523809524,0.1503706432101274,0.0859375,0.78125,0.0859375,73,82.53650793650793,8,13.955555555555556,9,12.406349206349207,40.84444444444444,24,0.004222869873046875,0.3647267818450928,1,fec_simple_stratified,0.4
29,91,0.30602134146341464,0.1459294232728434,0.0859375,0.796875,0.0859375,73,84.96341463414635,8,14.143292682926829,9,12.210365853658537,41.15548780487805,24,0.004241466522216797,0.3478825092315674,1,fec_simple_stratified,0.4
30,73,0.31142857142857144,0.14121738888941723,0.0859375,0.8125,0.0859375,73,81.17142857142858,8,12.528571428571428,9,11.442857142857143,36.597142857142856,24,0.0012288093566894531,0.3191344738006592,1,fec_simple_stratified,0.4
