gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5068359375,0.10759130814058515,0.3046875,0.7265625,,36,19.2,8,4.225,7,5.925,12.875,24,0.0,0.01777362823486328,2,baseline_simple,1.0
1,176,0.41905737704918034,0.10043343872497958,0.1875,0.8125,0.1875,34,19.42622950819672,7,3.3360655737704916,7,5.688524590163935,10.192622950819672,22,0.001155853271484375,0.047373294830322266,2,baseline_simple,1.0
2,168,0.3799592391304348,0.10227763709877166,0.1875,0.703125,0.1875,34,22.160869565217393,7,3.4347826086956523,7,5.747826086956522,10.317391304347826,22,0.0010402202606201172,0.050638675689697266,2,baseline_simple,1.0
3,129,0.3529116465863454,0.09187963136784323,0.1875,0.8125,0.1875,34,27.522088353413654,7,4.257028112449799,7,6.14859437751004,12.365461847389557,22,0.0010380744934082031,0.05905508995056152,2,baseline_simple,1.0
4,123,0.36127614068441066,0.11157070262740565,0.1875,0.796875,0.1875,34,32.50190114068441,7,5.399239543726236,7,7.193916349809886,15.836501901140684,22,0.00109100341796875,0.0673990249633789,2,baseline_simple,1.0
5,123,0.3357287690839695,0.11189630436830976,0.1796875,0.6875,0.21875,49,36.713740458015266,6,6.106870229007634,8,7.6603053435114505,18.16793893129771,19,0.0014982223510742188,0.0769965648651123,2,baseline_simple,1.0
6,94,0.34475401606425704,0.14051330029279233,0.1796875,0.8125,0.21875,49,40.441767068273094,6,6.771084337349397,8,7.899598393574297,20.160642570281123,19,0.0015971660614013672,0.08284544944763184,2,baseline_simple,1.0
7,105,0.3250679347826087,0.13491657976793792,0.1796875,0.6953125,0.21875,49,47.63478260869565,6,7.639130434782609,8,8.2,22.41304347826087,19,0.0012230873107910156,0.09302377700805664,2,baseline_simple,1.0
8,74,0.32265960300429186,0.14682813068148273,0.171875,0.8125,0.25,28,50.23605150214592,7,7.9957081545064375,10,8.218884120171674,23.377682403433475,22,0.0012400150299072266,0.09277105331420898,2,baseline_simple,1.0
9,65,0.29846290650406504,0.13667367996085447,0.1328125,0.75,0.21875,49,55.386178861788615,7,9.341463414634147,8,8.821138211382113,27.158536585365855,22,0.0012927055358886719,0.10576963424682617,2,baseline_simple,1.0
10,78,0.33199786324786323,0.1595623268400455,0.1328125,0.8203125,0.21875,49,58.9059829059829,7,9.739316239316238,8,8.863247863247864,27.67948717948718,22,0.0011849403381347656,0.11114907264709473,2,baseline_simple,1.0
11,71,0.3188048245614035,0.13733658641736385,0.125,0.7109375,0.125,49,62.91228070175438,14,10.24561403508772,10,9.223684210526315,28.92105263157895,43,0.0012898445129394531,0.11485123634338379,2,baseline_simple,1.0
12,63,0.3173942120622568,0.14858393420743413,0.0703125,0.8125,0.15625,34,61.30350194552529,10,9.505836575875486,10,9.093385214007782,26.910505836575876,26,0.0011723041534423828,0.11247086524963379,2,baseline_simple,1.0
13,67,0.3058293269230769,0.13618150465773626,0.0703125,0.765625,0.15625,34,67.24615384615385,10,10.696153846153846,10,9.6,30.396153846153847,26,0.0015816688537597656,0.11236095428466797,2,baseline_simple,1.0
14,71,0.30991609922178986,0.14640760768889602,0.0703125,0.75,0.15625,34,72.56031128404669,10,11.350194552529183,10,9.8715953307393,32.12062256809339,26,0.0014879703521728516,0.12124943733215332,2,baseline_simple,1.0
15,56,0.325928603202847,0.1484739241368834,0.0703125,0.8125,0.15625,34,75.24555160142349,10,12.569395017793594,10,10.323843416370106,35.263345195729535,26,0.001392364501953125,0.13057756423950195,2,baseline_simple,1.0
16,70,0.3153605769230769,0.14307522680446091,0.0703125,0.8125,0.15625,34,79.27384615384615,10,11.898461538461538,10,10.236923076923077,33.09538461538462,26,0.001451253890991211,0.1614384651184082,2,baseline_simple,1.0
17,72,0.3184464570063694,0.14630808858132963,0.0703125,0.8125,0.15625,34,79.01910828025478,10,12.302547770700636,10,10.219745222929935,34.12420382165605,26,0.001398324966430664,0.17037034034729004,2,baseline_simple,1.0
18,49,0.3274661144578313,0.14225339820789776,0.0703125,0.8046875,0.15625,34,84.63855421686748,10,12.198795180722891,10,10.466867469879517,34.12951807228916,26,0.0013413429260253906,0.28146886825561523,2,baseline_simple,1.0
19,46,0.33406347352024923,0.1534618658094466,0.0703125,0.8125,0.15625,34,88.77881619937695,10,14.009345794392523,10,11.258566978193146,38.71028037383178,26,0.004506587982177734,0.30909299850463867,2,baseline_simple,1.0
20,50,0.3211030505952381,0.14031111598835544,0.0703125,0.8125,0.15625,34,92.69345238095238,10,14.735119047619047,10,11.69047619047619,41.125,26,0.0013546943664550781,0.32012319564819336,2,baseline_simple,1.0
21,62,0.30713451867816094,0.13605639225939592,0.0703125,0.8125,0.15625,34,93.52873563218391,10,16.097701149425287,10,12.181034482758621,44.80747126436781,26,0.0014481544494628906,0.3439478874206543,2,baseline_simple,1.0
22,55,0.32420755730659023,0.14621187750300987,0.0703125,0.8671875,0.15625,34,93.81948424068769,10,15.318051575931232,10,11.664756446991404,41.673352435530084,26,0.001447439193725586,0.3192617893218994,2,baseline_simple,1.0
23,60,0.3247603244837758,0.13415867907123294,0.0703125,0.78125,0.15625,34,96.58407079646018,10,17.23008849557522,10,12.271386430678467,46.415929203539825,26,0.004579782485961914,0.3651726245880127,2,baseline_simple,1.0
24,63,0.3228767254601227,0.14069546550614137,0.0703125,0.78125,0.15625,34,95.34662576687117,10,16.334355828220858,10,12.248466257668712,44.52147239263804,26,0.0015454292297363281,0.3485383987426758,2,baseline_simple,1.0
25,51,0.3298243290960452,0.1442708082838404,0.0703125,0.75,0.15625,34,96.7683615819209,10,16.870056497175142,10,12.336158192090396,45.494350282485875,26,0.0015177726745605469,0.33606982231140137,2,baseline_simple,1.0
26,37,0.31834332191780823,0.142681881614679,0.0703125,0.8125,0.15625,34,99.61643835616438,10,16.36986301369863,10,12.183561643835617,44.23013698630137,26,0.001453399658203125,0.3293938636779785,2,baseline_simple,1.0
27,51,0.32844202898550723,0.15881913660526756,0.0703125,0.828125,0.15625,34,106.98260869565217,10,17.344927536231886,10,12.336231884057971,46.21739130434783,26,0.004391670227050781,0.32384252548217773,2,baseline_simple,1.0
28,40,0.3254387535816619,0.15084950954701162,0.0703125,0.8828125,0.15625,34,113.378223495702,10,17.23495702005731,10,12.30945558739255,46.09169054441261,26,0.0014834403991699219,0.3961973190307617,2,baseline_simple,1.0
29,34,0.3268767217630854,0.15233049559048475,0.0703125,0.8984375,0.15625,34,111.83471074380165,10,17.691460055096417,10,12.40495867768595,47.15977961432507,26,0.0019073486328125,0.39314913749694824,2,baseline_simple,1.0
30,29,0.32957175925925924,0.13908008192962434,0.0703125,0.7578125,0.15625,34,114.61538461538461,10,19.096866096866098,10,12.903133903133902,50.41025641025641,26,0.0016202926635742188,0.40672969818115234,2,baseline_simple,1.0
