run,gen,phenotype,hit,phenotype_in_cache,fitness_cached,cache_key,fitness_full_train,fake_hit,fitness_diff
9,0,x[4],False,,,633a1806ed831f5a90aa6e3931e9e020,0.5769230769230769,False,0.0
9,0,x[4],True,x[4],0.5769230769230769,633a1806ed831f5a90aa6e3931e9e020,0.5769230769230769,False,0.0
9,0,x[4],True,x[4],0.5769230769230769,633a1806ed831f5a90aa6e3931e9e020,0.5769230769230769,False,0.0
9,0,x[1],False,,,d83074d018f30f7fd8f1cf41041f07ee,0.5769230769230769,False,0.0
9,0,x[6],False,,,601d46f8033e56a6e0eda829d3a19509,0.5692307692307692,False,0.0
9,0,x[4],True,x[4],0.5769230769230769,633a1806ed831f5a90aa6e3931e9e020,0.5769230769230769,False,0.0
9,0,x[1],True,x[1],0.5769230769230769,d83074d018f30f7fd8f1cf41041f07ee,0.5769230769230769,False,0.0
9,0,x[8],False,,,5a1fb82736311e9339788a4a1ba1db31,0.4538461538461539,False,0.0
9,0,x[1],True,x[1],0.5769230769230769,d83074d018f30f7fd8f1cf41041f07ee,0.5769230769230769,False,0.0
9,0,x[1],True,x[1],0.5769230769230769,d83074d018f30f7fd8f1cf41041f07ee,0.5769230769230769,False,0.0
9,0,x[1],True,x[1],0.5769230769230769,d83074d018f30f7fd8f1cf41041f07ee,0.5769230769230769,False,0.0
9,0,x[8],True,x[8],0.4538461538461539,5a1fb82736311e9339788a4a1ba1db31,0.4538461538461539,False,0.0
9,0,x[1],True,x[1],0.5769230769230769,d83074d018f30f7fd8f1cf41041f07ee,0.5769230769230769,False,0.0
9,0,not_(x[1]),False,,,d79c704385b641c607df7491b5752bc6,0.42307692307692313,False,0.0
9,0,not_(x[8]),False,,,eb09630c59dc466e94fef56a8245b5e0,0.5461538461538462,False,0.0
9,0,not_(x[4]),True,not_(x[1]),0.42307692307692313,d79c704385b641c607df7491b5752bc6,0.42307692307692313,False,0.0
9,0,not_(x[4]),True,not_(x[1]),0.42307692307692313,d79c704385b641c607df7491b5752bc6,0.42307692307692313,False,0.0
