gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5050667894979273,0.07585519679797711,0.3076923076923077,0.7461538461538462,,9,22.994011976047904,2,5.095808383233533,5,6.095808383233533,15.407185628742514,6,0.0,0.0359652042388916,8,fec_simple_farthest_point,0.1
1,209,0.46506675143038784,0.07515788844314295,0.24615384615384617,0.6461538461538461,0.24615384615384617,28,27.83884297520661,8,5.140495867768595,7,6.586776859504132,15.177685950413224,24,0.0010154247283935547,0.07204437255859375,8,fec_simple_farthest_point,0.1
2,173,0.44396349413298564,0.08657107177078446,0.24615384615384617,0.7153846153846154,0.24615384615384617,28,27.891525423728815,8,4.762711864406779,7,6.8,14.267796610169492,24,0.0009529590606689453,0.07474040985107422,8,fec_simple_farthest_point,0.1
3,160,0.42451450189155104,0.09821409198869163,0.24615384615384617,0.6846153846153846,0.24615384615384617,28,28.35081967213115,8,4.301639344262295,7,6.6524590163934425,12.908196721311475,24,0.0011892318725585938,0.0761256217956543,8,fec_simple_farthest_point,0.1
4,135,0.42379735068556823,0.11372506819602572,0.24615384615384617,0.7538461538461538,0.24615384615384617,28,27.634441087613293,8,4.018126888217522,7,6.589123867069486,12.08761329305136,24,0.0012874603271484375,0.07404875755310059,8,fec_simple_farthest_point,0.1
5,119,0.430424477483301,0.11949462565321865,0.24615384615384617,0.7538461538461538,0.24615384615384617,28,25.99439775910364,8,3.338935574229692,7,6.224089635854342,10.067226890756302,24,0.0012843608856201172,0.07390594482421875,8,fec_simple_farthest_point,0.1
6,88,0.4267151767151767,0.11559940488601123,0.24615384615384617,0.6461538461538461,0.24615384615384617,28,26.78918918918919,8,3.208108108108108,7,6.172972972972973,9.71081081081081,24,0.00127410888671875,0.072998046875,8,fec_simple_farthest_point,0.1
7,88,0.4144435351882159,0.1164195081551195,0.24615384615384617,0.7461538461538462,0.24615384615384617,28,27.861702127659573,8,3.353723404255319,7,6.074468085106383,10.00531914893617,24,0.0012919902801513672,0.07236385345458984,8,fec_simple_farthest_point,0.1
8,67,0.41446841000190876,0.11791790720356841,0.24615384615384617,0.6846153846153846,0.24615384615384617,28,28.4863523573201,8,3.292803970223325,7,5.977667493796526,9.647642679900745,24,0.0012896060943603516,0.07731127738952637,8,fec_simple_farthest_point,0.1
9,80,0.4126303364155026,0.11717340699503441,0.24615384615384617,0.6461538461538461,0.24615384615384617,28,27.248081841432224,8,3.1202046035805626,7,5.9335038363171355,9.327365728900256,24,0.0012869834899902344,0.07233238220214844,8,fec_simple_farthest_point,0.1
10,70,0.4192115384615384,0.11994327893934655,0.24615384615384617,0.6461538461538461,0.24615384615384617,28,26.8225,8,2.9025,7,5.7075,8.5375,24,0.0013127326965332031,0.07241153717041016,8,fec_simple_farthest_point,0.1
11,76,0.41049128988060285,0.11572076494557579,0.24615384615384617,0.7538461538461538,0.24615384615384617,28,27.078880407124682,8,2.954198473282443,7,5.745547073791348,8.69974554707379,24,0.0013027191162109375,0.07441163063049316,8,fec_simple_farthest_point,0.1
