gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5027534965034964,0.06032024335899155,0.2692307692307693,0.7230769230769231,,36,25.607954545454547,8,5.636363636363637,7,6.301136363636363,17.164772727272727,24,0.0,0.024327754974365234,8,baseline_simple,1.0
1,200,0.46974358974358976,0.056064758494682725,0.2692307692307693,0.6692307692307693,0.303030303030303,36,27.20392156862745,8,5.078431372549019,7,6.435294117647059,15.266666666666667,24,0.0012903213500976562,0.07069921493530273,8,baseline_simple,1.0
2,180,0.4617528812650764,0.06669895805641074,0.2692307692307693,0.6692307692307693,0.303030303030303,36,27.662020905923345,8,4.7526132404181185,7,6.303135888501743,13.80836236933798,24,0.0012896060943603516,0.06927156448364258,8,baseline_simple,1.0
3,163,0.45835020242914987,0.0738450155895921,0.2692307692307693,0.7076923076923076,0.303030303030303,36,29.351973684210527,8,4.973684210526316,7,6.703947368421052,14.539473684210526,24,0.0015914440155029297,0.07408785820007324,8,baseline_simple,1.0
4,139,0.45107415107415105,0.07852428740740827,0.2153846153846154,0.7769230769230769,0.303030303030303,21,31.48948948948949,3,5.216216216216216,6,7.003003003003003,15.105105105105105,9,0.0015876293182373047,0.07530641555786133,8,baseline_simple,1.0
5,134,0.4521682283721943,0.08759890347930474,0.20769230769230773,0.7230769230769231,0.2727272727272727,40,32.88668555240793,7,5.019830028328612,10,6.898016997167139,14.51558073654391,21,0.0015769004821777344,0.07705879211425781,8,baseline_simple,1.0
6,92,0.43923673225998805,0.08415704069930717,0.20769230769230773,0.6692307692307693,0.2727272727272727,40,36.17571059431525,7,5.012919896640827,10,6.927648578811369,14.472868217054264,21,0.001554727554321289,0.07835960388183594,8,baseline_simple,1.0
7,96,0.44318136171922073,0.08560090812951038,0.20769230769230773,0.6615384615384615,0.2727272727272727,40,36.005221932114885,7,4.733681462140992,10,6.921671018276762,13.765013054830288,21,0.001453399658203125,0.07959818840026855,8,baseline_simple,1.0
8,73,0.44132509825940475,0.09260825404063275,0.20769230769230773,0.7076923076923076,0.2727272727272727,40,37.44038929440389,7,4.873479318734793,10,7.0,13.990267639902676,21,0.0016527175903320312,0.07970619201660156,8,baseline_simple,1.0
9,100,0.43731373338703183,0.084904582826545,0.18461538461538463,0.6692307692307693,0.24242424242424243,36,38.88743455497382,4,5.096858638743456,6,7.099476439790576,14.787958115183246,12,0.0016252994537353516,0.08620786666870117,8,baseline_simple,1.0
10,73,0.438745737021599,0.09355794535043252,0.18461538461538463,0.7615384615384615,0.24242424242424243,36,39.12807881773399,4,4.798029556650246,6,6.940886699507389,13.85960591133005,12,0.0014581680297851562,0.08401131629943848,8,baseline_simple,1.0
11,59,0.43785046728971955,0.09294449874231847,0.18461538461538463,0.7307692307692308,0.24242424242424243,36,40.81308411214953,4,5.079439252336448,6,7.135514018691588,14.55607476635514,12,0.0016260147094726562,0.08430838584899902,8,baseline_simple,1.0
12,57,0.43066139468008624,0.09639862150314715,0.18461538461538463,0.8153846153846154,0.24242424242424243,36,41.100467289719624,4,4.985981308411215,6,7.072429906542056,14.130841121495328,12,0.0017087459564208984,0.07917070388793945,8,baseline_simple,1.0
13,67,0.4200660914264733,0.10160745653778125,0.18461538461538463,0.676923076923077,0.24242424242424243,36,42.16229116945107,4,4.723150357995227,6,6.921241050119332,13.384248210023866,12,0.0018873214721679688,0.08157730102539062,8,baseline_simple,1.0
14,34,0.42696515738091223,0.10799979926275276,0.18461538461538463,0.7615384615384615,0.24242424242424243,36,43.796498905908095,4,4.789934354485776,6,6.927789934354486,13.560175054704596,12,0.0017042160034179688,0.08123350143432617,8,baseline_simple,1.0
15,42,0.4366035770098975,0.10798038748989218,0.18461538461538463,0.7615384615384615,0.24242424242424243,36,45.39051918735892,4,5.2686230248307,6,7.252821670428894,15.006772009029346,12,0.0017154216766357422,0.08608031272888184,8,baseline_simple,1.0
16,31,0.42098055790363487,0.10070962637042595,0.18461538461538463,0.7461538461538462,0.24242424242424243,36,47.8043956043956,4,5.881318681318682,6,7.6571428571428575,16.70989010989011,12,0.0014879703521728516,0.12848210334777832,8,baseline_simple,1.0
17,38,0.4254142682714111,0.10673824446440194,0.18461538461538463,0.8153846153846154,0.24242424242424243,36,48.54421768707483,4,5.884353741496598,6,7.682539682539683,16.886621315192745,12,0.0016243457794189453,0.09160161018371582,8,baseline_simple,1.0
18,40,0.4155072717715087,0.10554371733255012,0.18461538461538463,0.7538461538461538,0.24242424242424243,36,50.56719817767654,4,6.070615034168565,6,7.840546697038724,17.521640091116172,12,0.0016446113586425781,0.0955507755279541,8,baseline_simple,1.0
19,25,0.41250631206867533,0.10187285561971916,0.18461538461538463,0.7384615384615385,0.24242424242424243,36,53.72866520787746,4,6.516411378555799,6,8.10722100656455,18.916849015317286,12,0.0016100406646728516,0.10076284408569336,8,baseline_simple,1.0
20,29,0.4104347826086957,0.10500807326502987,0.18461538461538463,0.7230769230769231,0.24242424242424243,36,55.26086956521739,4,6.836956521739131,6,8.295652173913043,19.819565217391304,12,0.0015532970428466797,0.11004924774169922,8,baseline_simple,1.0
21,21,0.4065767565767566,0.10254408950794076,0.18461538461538463,0.7615384615384615,0.24242424242424243,36,56.192640692640694,4,6.85064935064935,6,8.279220779220779,20.015151515151516,12,0.0017960071563720703,0.1060645580291748,8,baseline_simple,1.0
22,31,0.4087616419454984,0.10280086723456695,0.18461538461538463,0.7461538461538462,0.24242424242424243,36,57.31165919282511,4,6.748878923766816,6,8.215246636771301,19.641255605381165,12,0.0017387866973876953,0.10650277137756348,8,baseline_simple,1.0
23,28,0.41239222316145385,0.10685226347817652,0.18461538461538463,0.7615384615384615,0.24242424242424243,36,59.87472527472527,4,7.123076923076923,6,8.391208791208792,20.764835164835166,12,0.0015878677368164062,0.1079409122467041,8,baseline_simple,1.0
24,29,0.42494069806845136,0.11167267075910463,0.18461538461538463,0.8153846153846154,0.24242424242424243,36,61.11233480176212,4,7.165198237885463,6,8.447136563876652,20.73127753303965,12,0.0013577938079833984,0.10376501083374023,8,baseline_simple,1.0
25,27,0.4170772582537288,0.10807634343367897,0.18461538461538463,0.7846153846153846,0.24242424242424243,36,60.43355119825708,4,7.163398692810458,6,8.387799564270152,20.764705882352942,12,0.0015120506286621094,0.07796430587768555,8,baseline_simple,1.0
26,28,0.4217113223854797,0.10729459545972427,0.18461538461538463,0.8076923076923077,0.24242424242424243,36,62.582022471910115,4,7.903370786516854,6,8.712359550561798,22.961797752808987,12,0.0009407997131347656,0.062308311462402344,8,baseline_simple,1.0
27,43,0.41712328767123286,0.10747923077843863,0.18461538461538463,0.7846153846153846,0.24242424242424243,36,66.34931506849315,4,8.30593607305936,6,8.878995433789955,24.015981735159816,12,0.0009434223175048828,0.06444406509399414,8,baseline_simple,1.0
28,45,0.407850368809273,0.10644620981294638,0.18461538461538463,0.8153846153846154,0.24242424242424243,36,68.44292237442923,4,8.349315068493151,6,8.938356164383562,24.152968036529682,12,0.0009355545043945312,0.06448936462402344,8,baseline_simple,1.0
29,51,0.40927653582115825,0.10279920692061967,0.18461538461538463,0.7769230769230769,0.24242424242424243,36,70.34324942791763,4,8.862700228832953,6,9.155606407322654,25.560640732265448,12,0.0008723735809326172,0.06673717498779297,8,baseline_simple,1.0
30,31,0.4112545172947858,0.11328914707929849,0.18461538461538463,0.8153846153846154,0.24242424242424243,36,71.93064876957494,4,8.961968680089486,6,9.284116331096197,25.787472035794185,12,0.0008904933929443359,0.06772208213806152,8,baseline_simple,1.0
