gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.45561551233396586,0.21757605574649927,0.18548387096774188,0.814516129032258,,3,19.30514705882353,1,4.297794117647059,3,5.514705882352941,12.974264705882353,2,0.0,0.03589296340942383,7,fec_simple_farthest_point,0.4
1,190,0.27003214326713354,0.12043388295027553,0.18548387096774188,0.7903225806451613,0.18548387096774188,3,16.537366548042705,1,2.5693950177935942,3,4.316725978647687,7.149466192170818,2,0.0011663436889648438,0.043642520904541016,7,fec_simple_farthest_point,0.4
2,87,0.22704059919993191,0.08216200945204497,0.18548387096774188,0.6774193548387097,0.18548387096774188,3,14.17150395778364,1,1.4881266490765173,3,3.5171503957783643,3.6464379947229553,2,0.0011959075927734375,0.03486990928649902,7,fec_simple_farthest_point,0.4
3,23,0.20987543202764974,0.07745220926192381,0.18548387096774188,0.7419354838709677,0.18548387096774188,3,14.314732142857142,1,1.078125,3,3.095982142857143,2.279017857142857,2,0.0012352466583251953,0.03448343276977539,7,fec_simple_farthest_point,0.4
4,21,0.1960808966161362,0.0485167241373605,0.18548387096774188,0.6774193548387097,0.18548387096774188,3,15.850779510022273,1,1.042316258351893,3,3.0378619153674835,2.138084632516704,2,0.0012891292572021484,0.030226945877075195,7,fec_simple_farthest_point,0.4
5,15,0.19544795192374112,0.044250066111554506,0.18548387096774188,0.6774193548387097,0.18548387096774188,3,16.676659528907923,1,1.0385438972162742,3,3.0364025695931476,2.1177730192719486,2,0.0012860298156738281,0.031194210052490234,7,fec_simple_farthest_point,0.4
6,17,0.1943619128466327,0.0457623809092773,0.18548387096774188,0.6774193548387097,0.18548387096774188,3,16.67324561403509,1,1.0241228070175439,3,3.0197368421052633,2.0789473684210527,2,0.0013375282287597656,0.031164169311523438,7,fec_simple_farthest_point,0.4
7,16,0.19463298579525573,0.048639600776069304,0.18548387096774188,0.6774193548387097,0.18548387096774188,3,16.796095444685466,1,1.0086767895878526,3,3.017353579175705,2.03470715835141,2,0.0013573169708251953,0.030870676040649414,7,fec_simple_farthest_point,0.4
8,14,0.19281369600874793,0.03905378492282933,0.18548387096774188,0.6774193548387097,0.18548387096774188,3,16.896186440677965,1,1.0148305084745763,3,3.016949152542373,2.042372881355932,2,0.0013196468353271484,0.030953645706176758,7,fec_simple_farthest_point,0.4
9,22,0.19131215664178053,0.03390588056293083,0.18548387096774188,0.7016129032258065,0.18548387096774188,3,16.766375545851528,1,1.0786026200873362,3,3.0655021834061134,2.2532751091703056,2,0.0016436576843261719,0.032932281494140625,7,fec_simple_farthest_point,0.4
10,21,0.19278288115075126,0.04739318150911571,0.18548387096774188,0.6774193548387097,0.18548387096774188,3,16.039735099337747,1,1.0154525386313467,3,3.0154525386313464,2.055187637969095,2,0.0014955997467041016,0.03168797492980957,7,fec_simple_farthest_point,0.4
11,11,0.1931554127938764,0.04224484380799972,0.18548387096774188,0.6774193548387097,0.18548387096774188,3,16.324152542372882,1,1.0084745762711864,3,3.0084745762711864,2.027542372881356,2,0.0014014244079589844,0.030942201614379883,7,fec_simple_farthest_point,0.4
12,25,0.1946827366182205,0.05318980580568996,0.18548387096774188,0.6774193548387097,0.18548387096774188,3,16.66813186813187,1,1.0351648351648353,3,3.021978021978022,2.112087912087912,2,0.0013873577117919922,0.03188204765319824,7,fec_simple_farthest_point,0.4
