gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.40656963021243114,0.19521642377518572,0.14516129032258063,0.8548387096774194,,3,19.191637630662022,1,4.2508710801393725,3,5.529616724738676,12.912891986062718,2,0.0,0.04172062873840332,8,fec_simple_stratified,0.1
1,172,0.2565832784726794,0.12705418324359638,0.14516129032258063,0.7983870967741935,0.14516129032258063,3,15.227891156462585,1,2.370748299319728,3,4.2312925170068025,6.578231292517007,2,0.0009655952453613281,0.04800224304199219,8,fec_simple_stratified,0.1
2,38,0.21027203805559685,0.09738672575921598,0.14516129032258063,0.7983870967741935,0.14516129032258063,3,10.004608294930875,1,1.1175115207373272,3,3.1313364055299537,2.377880184331797,2,0.0009703636169433594,0.04170513153076172,8,fec_simple_stratified,0.1
3,40,0.19184770682466531,0.09045502080859556,0.14516129032258063,0.7338709677419355,0.14516129032258063,3,10.782312925170068,1,1.0226757369614512,3,3.0385487528344672,2.0861678004535147,2,0.001035928726196289,0.044341325759887695,8,fec_simple_stratified,0.1
4,18,0.16607643758765775,0.06965120275150521,0.14516129032258063,0.7338709677419355,0.14516129032258063,3,10.165217391304347,1,1.0152173913043478,3,3.017391304347826,2.0456521739130435,2,0.0010128021240234375,0.04071927070617676,8,fec_simple_stratified,0.1
5,24,0.15379173740803614,0.044617339433427196,0.14516129032258063,0.7338709677419355,0.14516129032258063,3,10.006578947368421,1,1.0,3,3.0,2.0,2,0.0010914802551269531,0.0431673526763916,8,fec_simple_stratified,0.1
6,34,0.1596485530778667,0.06277935155286275,0.14516129032258063,0.7338709677419355,0.14516129032258063,3,10.340044742729306,1,1.0178970917225951,3,3.011185682326622,2.0559284116331096,2,0.001058340072631836,0.04314899444580078,8,fec_simple_stratified,0.1
7,23,0.1623414667769506,0.07402809634278246,0.14516129032258063,0.8548387096774194,0.14516129032258063,3,9.83974358974359,1,1.0235042735042734,3,3.0213675213675213,2.076923076923077,2,0.0010647773742675781,0.04377627372741699,8,fec_simple_stratified,0.1
8,18,0.15925279090473252,0.0682406911332346,0.14516129032258063,0.8548387096774194,0.14516129032258063,3,10.51592356687898,1,1.0212314225053079,3,3.0191082802547773,2.0721868365180467,2,0.0010766983032226562,0.04420065879821777,8,fec_simple_stratified,0.1
9,26,0.15473236440978372,0.048205260483393755,0.14516129032258063,0.7338709677419355,0.14516129032258063,3,10.749450549450549,1,1.0,3,3.0,2.0,2,0.0010807514190673828,0.044394731521606445,8,fec_simple_stratified,0.1
