gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5039285714285713,0.06470443440908472,0.34523809523809523,0.6785714285714286,,36,22.63,8,4.84,7,5.75,15.24,24,0.0,0.009685039520263672,3,fec_simple_farthest_point,0.2
1,39,0.4707259953161593,0.06666993448873892,0.34523809523809523,0.6547619047619048,0.34523809523809523,36,25.557377049180328,8,4.180327868852459,7,5.426229508196721,12.688524590163935,24,0.0001780986785888672,0.010262250900268555,3,fec_simple_farthest_point,0.2
2,31,0.4437543133195307,0.07493367037373568,0.30952380952380953,0.6547619047619048,0.30952380952380953,20,23.840579710144926,1,2.608695652173913,3,4.159420289855072,7.318840579710145,2,0.00016450881958007812,0.008593559265136719,3,fec_simple_farthest_point,0.2
3,13,0.4213191023535852,0.09715765851878878,0.30952380952380953,0.6547619047619048,0.30952380952380953,20,21.67816091954023,1,1.4367816091954022,3,3.32183908045977,3.471264367816092,2,0.000213623046875,0.006227254867553711,3,fec_simple_farthest_point,0.2
4,12,0.3869047619047619,0.08718672753732826,0.30952380952380953,0.6547619047619048,0.30952380952380953,20,22.477272727272727,1,1.4204545454545454,3,3.2613636363636362,3.4204545454545454,2,0.000186920166015625,0.005991935729980469,3,fec_simple_farthest_point,0.2
5,3,0.37567501227295047,0.09380003316407798,0.30952380952380953,0.6785714285714286,0.30952380952380953,20,22.47422680412371,1,1.1855670103092784,3,3.1649484536082473,2.6597938144329896,2,0.00020122528076171875,0.006122112274169922,3,fec_simple_farthest_point,0.2
6,0,0.34261904761904755,0.07924637948910673,0.30952380952380953,0.6904761904761905,0.30952380952380953,20,22.95,1,1.0,3,3.02,2.02,2,0.00020694732666015625,0.004618167877197266,3,fec_simple_farthest_point,0.2
7,2,0.3483965014577259,0.08420602019775672,0.30952380952380953,0.6190476190476191,0.30952380952380953,20,23.071428571428573,1,1.0,3,3.0,2.0,2,0.00019478797912597656,0.00496673583984375,3,fec_simple_farthest_point,0.2
8,1,0.34415584415584416,0.07449123708033217,0.30952380952380953,0.5357142857142857,0.30952380952380953,20,23.343434343434343,1,1.0101010101010102,3,3.01010101010101,2.0303030303030303,2,0.00018906593322753906,0.005000114440917969,3,fec_simple_farthest_point,0.2
9,0,0.3542857142857143,0.09492687243932095,0.30952380952380953,0.6904761904761905,0.30952380952380953,20,23.13,1,1.02,3,3.05,2.09,2,0.00021004676818847656,0.0050771236419677734,3,fec_simple_farthest_point,0.2
10,1,0.35052910052910047,0.08829978693956148,0.30952380952380953,0.6547619047619048,0.30952380952380953,20,24.616161616161616,1,1.0505050505050506,3,3.0505050505050506,2.1616161616161618,2,0.00019931793212890625,0.005027055740356445,3,fec_simple_farthest_point,0.2
11,0,0.3416666666666666,0.08408673041147763,0.2857142857142857,0.6904761904761905,0.2857142857142857,38,24.65,6,1.09,8,3.13,2.32,18,0.00019621849060058594,0.005667209625244141,3,fec_simple_farthest_point,0.2
12,3,0.33333333333333326,0.07306663692491215,0.2857142857142857,0.6785714285714286,0.2857142857142857,38,25.63917525773196,6,1.2577319587628866,8,3.2577319587628866,2.8247422680412373,18,0.00022101402282714844,0.0059168338775634766,3,fec_simple_farthest_point,0.2
13,5,0.34561403508771926,0.08689064381458265,0.2857142857142857,0.6785714285714286,0.2857142857142857,38,26.05263157894737,6,1.3789473684210527,8,3.4,3.1578947368421053,18,0.00022077560424804688,0.006381511688232422,3,fec_simple_farthest_point,0.2
14,4,0.3266369047619047,0.056412026763013566,0.2857142857142857,0.5952380952380952,0.2857142857142857,38,24.958333333333332,6,1.3229166666666667,8,3.3229166666666665,3.03125,18,0.00023818016052246094,0.006241798400878906,3,fec_simple_farthest_point,0.2
15,2,0.33600583090379005,0.0739850770553265,0.2857142857142857,0.6547619047619048,0.2857142857142857,38,26.040816326530614,6,1.4387755102040816,8,3.479591836734694,3.3979591836734695,18,0.000232696533203125,0.00598597526550293,3,fec_simple_farthest_point,0.2
16,2,0.359086491739553,0.10462562196372437,0.2857142857142857,0.6904761904761905,0.2857142857142857,38,26.387755102040817,6,1.653061224489796,8,3.7653061224489797,4.071428571428571,18,0.00020051002502441406,0.006776094436645508,3,fec_simple_farthest_point,0.2
17,5,0.3547619047619047,0.10184771082367963,0.2857142857142857,0.6904761904761905,0.2857142857142857,38,27.05263157894737,6,1.9263157894736842,8,3.9789473684210526,4.831578947368421,18,0.00022220611572265625,0.006760120391845703,3,fec_simple_farthest_point,0.2
18,6,0.34308510638297873,0.07974551023040531,0.2857142857142857,0.6666666666666667,0.2857142857142857,38,29.648936170212767,6,2.25531914893617,8,4.297872340425532,5.808510638297872,18,0.00021505355834960938,0.008020639419555664,3,fec_simple_farthest_point,0.2
19,4,0.34474206349206343,0.0940984119587412,0.22619047619047616,0.6904761904761905,0.22619047619047616,21,29.28125,2,1.9895833333333333,4,4.020833333333333,5.020833333333333,5,0.0002541542053222656,0.007029294967651367,3,fec_simple_farthest_point,0.2
20,6,0.35296352583586615,0.09602177956130442,0.22619047619047616,0.6428571428571428,0.22619047619047616,21,30.382978723404257,2,2.0638297872340425,4,4.095744680851064,5.1063829787234045,5,0.00023174285888671875,0.008188247680664062,3,fec_simple_farthest_point,0.2
