gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.49107142857142855,0.06609823566003568,0.33333333333333337,0.7023809523809523,,30,23.6,7,5.07,6,5.76,15.88,20,0.0,0.012014389038085938,2,fec_simple_farthest_point,0.1
1,36,0.48065476190476186,0.0771373225160383,0.33333333333333337,0.6547619047619048,0.33333333333333337,30,23.625,7,3.90625,6,5.546875,12.078125,20,0.00018358230590820312,0.012557744979858398,2,fec_simple_farthest_point,0.1
2,31,0.4437543133195307,0.08463889214405511,0.33333333333333337,0.6428571428571428,0.33333333333333337,30,25.492753623188406,7,3.7246376811594204,6,5.304347826086956,11.202898550724637,20,0.00018930435180664062,0.012111902236938477,2,fec_simple_farthest_point,0.1
3,17,0.39959839357429716,0.07853779707308989,0.3214285714285714,0.6547619047619048,0.3214285714285714,62,25.253012048192772,6,2.819277108433735,6,4.530120481927711,7.951807228915663,17,0.00019979476928710938,0.012495279312133789,2,fec_simple_farthest_point,0.1
4,15,0.3836134453781513,0.0830904116523935,0.3214285714285714,0.6785714285714286,0.3214285714285714,62,27.647058823529413,6,3.152941176470588,6,4.6117647058823525,8.776470588235295,17,0.00020766258239746094,0.012212991714477539,2,fec_simple_farthest_point,0.1
5,16,0.38520408163265313,0.08508926776251709,0.29761904761904767,0.6785714285714286,0.29761904761904767,34,37.095238095238095,7,4.726190476190476,6,5.583333333333333,13.571428571428571,20,0.000225067138671875,0.014644384384155273,2,fec_simple_farthest_point,0.1
6,29,0.3957075788061704,0.09505903666988262,0.25,0.6309523809523809,0.25,71,48.11267605633803,10,6.394366197183099,8,6.605633802816901,18.267605633802816,25,0.00022363662719726562,0.016956090927124023,2,fec_simple_farthest_point,0.1
7,29,0.38363514419852446,0.09894280811884633,0.25,0.6785714285714286,0.25,71,54.36619718309859,10,7.633802816901408,8,7.126760563380282,21.323943661971832,25,0.0002505779266357422,0.018625974655151367,2,fec_simple_farthest_point,0.1
8,14,0.3839977851605758,0.10279709597982623,0.25,0.6428571428571428,0.25,71,58.08139534883721,10,8.255813953488373,8,7.546511627906977,22.848837209302324,25,0.00024127960205078125,0.021759033203125,2,fec_simple_farthest_point,0.1
9,11,0.37038523274478324,0.10639621843720524,0.25,0.6547619047619048,0.25,71,61.146067415730336,10,8.0561797752809,8,7.247191011235955,21.59550561797753,25,0.00021910667419433594,0.02066349983215332,2,fec_simple_farthest_point,0.1
10,9,0.3793825222396651,0.11707162802569779,0.25,0.6785714285714286,0.25,71,58.989010989010985,10,8.384615384615385,8,7.593406593406593,22.54945054945055,25,0.00023555755615234375,0.0220644474029541,2,fec_simple_farthest_point,0.1
11,19,0.38271604938271603,0.11063944850019262,0.25,0.6547619047619048,0.25,71,59.91358024691358,10,6.407407407407407,8,6.6419753086419755,17.40740740740741,25,0.0002455711364746094,0.01970386505126953,2,fec_simple_farthest_point,0.1
12,4,0.3680555555555556,0.11226547459074139,0.25,0.6547619047619048,0.25,71,62.395833333333336,10,6.833333333333333,8,6.697916666666667,18.0,25,0.00023984909057617188,0.019619464874267578,2,fec_simple_farthest_point,0.1
13,7,0.37813620071684584,0.12211109362453475,0.25,0.7261904761904762,0.25,71,63.39784946236559,10,6.827956989247312,8,6.602150537634409,17.591397849462364,25,0.0002300739288330078,0.020323991775512695,2,fec_simple_farthest_point,0.1
14,6,0.3670212765957447,0.11110318740871998,0.25,0.6547619047619048,0.25,71,65.14893617021276,10,6.319148936170213,8,6.638297872340425,16.925531914893618,25,0.0002646446228027344,0.019941091537475586,2,fec_simple_farthest_point,0.1
15,6,0.3305471124620061,0.1081990262116756,0.25,0.6547619047619048,0.25,71,68.0,10,5.372340425531915,8,5.808510638297872,13.425531914893616,25,0.00025177001953125,0.0180356502532959,2,fec_simple_farthest_point,0.1
16,4,0.3307291666666667,0.10591228849807233,0.25,0.6190476190476191,0.25,71,67.83333333333333,10,5.53125,8,6.020833333333333,14.020833333333334,25,0.000274658203125,0.0200955867767334,2,fec_simple_farthest_point,0.1
17,2,0.33053935860058314,0.10426711137232991,0.25,0.5833333333333333,0.25,71,69.06122448979592,10,5.346938775510204,8,5.969387755102041,13.520408163265307,25,0.0002658367156982422,0.01853013038635254,2,fec_simple_farthest_point,0.1
18,4,0.3479662698412698,0.11063370679160918,0.25,0.7023809523809523,0.25,71,69.72916666666667,10,6.260416666666667,8,6.46875,16.145833333333332,25,0.0002529621124267578,0.01985621452331543,2,fec_simple_farthest_point,0.1
19,5,0.35714285714285715,0.11995891805831267,0.25,0.6547619047619048,0.25,71,67.78947368421052,10,5.726315789473684,8,6.28421052631579,15.094736842105263,25,0.0002720355987548828,0.019056081771850586,2,fec_simple_farthest_point,0.1
20,5,0.34411027568922303,0.11069809734520972,0.25,0.6547619047619048,0.25,71,72.92631578947369,10,6.6947368421052635,8,6.431578947368421,16.54736842105263,25,0.000255584716796875,0.019926071166992188,2,fec_simple_farthest_point,0.1
