gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.48702380952380964,0.06647709014945848,0.33333333333333337,0.6547619047619048,,57,23.29,12,5.07,7,5.76,15.64,38,0.0,0.005700111389160156,4,baseline_simple,1.0
1,37,0.4682539682539682,0.06993268599769839,0.3214285714285714,0.6309523809523809,0.5,19,29.841269841269842,4,5.396825396825397,7,6.0,15.666666666666666,13,0.0002269744873046875,0.01208186149597168,4,baseline_simple,1.0
2,30,0.444047619047619,0.09193573021651481,0.2857142857142857,0.6904761904761905,0.36363636363636365,22,22.585714285714285,1,2.8,3,4.685714285714286,7.871428571428571,2,0.0002028942108154297,0.01007080078125,4,baseline_simple,1.0
3,25,0.4214285714285714,0.09132848357615757,0.2857142857142857,0.6547619047619048,0.36363636363636365,22,23.293333333333333,1,2.6266666666666665,3,4.56,7.213333333333333,2,0.0002143383026123047,0.008830070495605469,4,baseline_simple,1.0
4,15,0.3830532212885153,0.0945030540927325,0.2857142857142857,0.6785714285714286,0.36363636363636365,22,22.305882352941175,1,1.5529411764705883,3,3.6588235294117646,3.8941176470588235,2,0.00023937225341796875,0.0065479278564453125,4,baseline_simple,1.0
5,5,0.3463659147869673,0.09372344568371058,0.27380952380952384,0.6309523809523809,0.31818181818181823,27,22.652631578947368,3,1.1578947368421053,5,3.2,2.536842105263158,8,0.00024080276489257812,0.005960702896118164,4,baseline_simple,1.0
6,2,0.33394071914480067,0.09234509790355813,0.27380952380952384,0.6309523809523809,0.31818181818181823,27,22.918367346938776,3,1.1122448979591837,5,3.142857142857143,2.377551020408163,8,0.00024962425231933594,0.005964994430541992,4,baseline_simple,1.0
7,2,0.31899902818270165,0.07925898450648018,0.27380952380952384,0.7142857142857143,0.31818181818181823,27,22.43877551020408,3,1.1020408163265305,5,3.1122448979591835,2.316326530612245,8,0.0002377033233642578,0.005452871322631836,4,baseline_simple,1.0
8,3,0.3257241040746195,0.08647702361037175,0.27380952380952384,0.6309523809523809,0.31818181818181823,27,23.09278350515464,3,1.1855670103092784,5,3.2061855670103094,2.597938144329897,8,0.00023651123046875,0.00568389892578125,4,baseline_simple,1.0
9,5,0.3389724310776942,0.09675857245138936,0.20238095238095233,0.7142857142857143,0.2272727272727273,25,24.46315789473684,3,1.5789473684210527,5,3.568421052631579,3.7578947368421054,8,0.00024247169494628906,0.006819486618041992,4,baseline_simple,1.0
10,6,0.34055217831813567,0.10070459792284366,0.20238095238095233,0.7142857142857143,0.2272727272727273,25,25.54255319148936,3,1.4893617021276595,5,3.5,3.5319148936170213,8,0.00023865699768066406,0.006798744201660156,4,baseline_simple,1.0
11,5,0.36290726817042596,0.12284498927051597,0.20238095238095233,0.7976190476190477,0.2272727272727273,25,26.210526315789473,3,1.6210526315789473,5,3.6526315789473682,3.8842105263157896,8,0.00022149085998535156,0.00719451904296875,4,baseline_simple,1.0
12,2,0.3420796890184645,0.09902795619834263,0.20238095238095233,0.6428571428571428,0.2272727272727273,25,27.642857142857142,3,1.7346938775510203,5,3.704081632653061,4.1938775510204085,8,0.00023937225341796875,0.007210969924926758,4,baseline_simple,1.0
13,3,0.3323514972999508,0.10248949765212606,0.20238095238095233,0.6428571428571428,0.2272727272727273,25,28.391752577319586,3,1.6082474226804124,5,3.6391752577319587,3.8762886597938144,8,0.000217437744140625,0.006957054138183594,4,baseline_simple,1.0
14,10,0.3567460317460317,0.11192235030078038,0.20238095238095233,0.5952380952380952,0.2272727272727273,25,29.988888888888887,3,2.511111111111111,5,4.411111111111111,6.488888888888889,8,0.00023174285888671875,0.008286714553833008,4,baseline_simple,1.0
15,7,0.32014848950332814,0.09570836221604058,0.20238095238095233,0.6190476190476191,0.2272727272727273,25,31.247311827956988,3,2.7311827956989245,5,4.666666666666667,7.161290322580645,8,0.0002396106719970703,0.008190393447875977,4,baseline_simple,1.0
16,11,0.33413590155163186,0.11965864796556355,0.1785714285714286,0.7142857142857143,0.2272727272727273,24,31.764044943820224,3,2.842696629213483,5,4.831460674157303,7.674157303370786,8,0.00024390220642089844,0.00911092758178711,4,baseline_simple,1.0
17,15,0.3235294117647058,0.12147629740664131,0.1785714285714286,0.6904761904761905,0.2272727272727273,24,33.22352941176471,3,3.2,5,5.141176470588236,8.658823529411764,8,0.00024437904357910156,0.010128259658813477,4,baseline_simple,1.0
18,10,0.2996031746031746,0.12671412266929774,0.1785714285714286,0.5952380952380952,0.2272727272727273,24,32.5,3,3.4444444444444446,5,5.288888888888889,9.277777777777779,8,0.000244140625,0.009109258651733398,4,baseline_simple,1.0
19,10,0.2805555555555555,0.12012803386399959,0.1785714285714286,0.6309523809523809,0.2272727272727273,24,33.28888888888889,3,3.522222222222222,5,5.344444444444444,9.61111111111111,8,0.0002808570861816406,0.00833582878112793,4,baseline_simple,1.0
20,13,0.3007662835249042,0.13592058099764798,0.1785714285714286,0.6904761904761905,0.2272727272727273,24,32.49425287356322,3,3.5517241379310347,5,5.413793103448276,9.770114942528735,8,0.00021338462829589844,0.0075855255126953125,4,baseline_simple,1.0
