gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.48154761904761906,0.07014269146199681,0.22619047619047616,0.7023809523809523,,7,21.856,2,4.71,4,5.742,14.706,5,0.0,0.056509971618652344,3,fec_simple_stratified,0.2
1,210,0.45435139573070604,0.08250839389745687,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,22.979310344827585,2,3.2896551724137932,4,4.993103448275862,9.682758620689656,5,0.0009734630584716797,0.05844545364379883,3,fec_simple_stratified,0.2
2,141,0.42671441835787244,0.09897270572861304,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,19.044568245125348,2,2.16991643454039,4,4.111420612813371,5.807799442896936,5,0.0009341239929199219,0.053687095642089844,3,fec_simple_stratified,0.2
3,75,0.3988515406162465,0.11038850702988891,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,16.628235294117648,2,1.6470588235294117,4,3.7176470588235295,4.103529411764706,5,0.0010280609130859375,0.050637006759643555,3,fec_simple_stratified,0.2
4,45,0.37490842490842485,0.11861475868052555,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,17.457142857142856,2,1.5604395604395604,4,3.6153846153846154,3.7714285714285714,5,0.0010068416595458984,0.04976701736450195,3,fec_simple_stratified,0.2
5,45,0.3566718995290424,0.11501989224650173,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,17.531868131868134,2,1.5802197802197802,4,3.61978021978022,3.8241758241758244,5,0.0010373592376708984,0.050667524337768555,3,fec_simple_stratified,0.2
6,47,0.3425838326500578,0.10951604132576956,0.22619047619047616,0.6904761904761905,0.22619047619047616,7,17.26710816777042,2,1.6070640176600441,4,3.6335540838852096,3.836644591611479,5,0.0012049674987792969,0.04861164093017578,3,fec_simple_stratified,0.2
7,57,0.35563796624744703,0.1232475849658473,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,18.557562076749434,2,1.8465011286681716,4,3.875846501128668,4.625282167042889,5,0.0011267662048339844,0.05312371253967285,3,fec_simple_stratified,0.2
8,57,0.34631301730624536,0.11721199587899231,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,19.711060948081265,2,2.040632054176072,4,4.024830699774267,5.139954853273138,5,0.0011801719665527344,0.054145097732543945,3,fec_simple_stratified,0.2
9,43,0.3303115556944879,0.11605405178035376,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,20.516411378555798,2,2.137855579868709,4,4.177242888402626,5.49890590809628,5,0.00113677978515625,0.05453944206237793,3,fec_simple_stratified,0.2
10,54,0.3292227204783258,0.12246175390094495,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,20.056053811659194,2,2.2847533632286994,4,4.300448430493273,5.966367713004484,5,0.0011010169982910156,0.05542802810668945,3,fec_simple_stratified,0.2
11,61,0.3161405792385291,0.11161350390510871,0.22619047619047616,0.6785714285714286,0.22619047619047616,7,19.603644646924828,2,2.3986332574031892,4,4.41002277904328,6.284738041002278,5,0.0011453628540039062,0.055162668228149414,3,fec_simple_stratified,0.2
12,54,0.3248985692931881,0.11900771755942692,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,20.484304932735427,2,2.4798206278026904,4,4.479820627802691,6.486547085201794,5,0.0011131763458251953,0.05914449691772461,3,fec_simple_stratified,0.2
13,57,0.3259701171665055,0.12069499787803499,0.22619047619047616,0.6785714285714286,0.22619047619047616,7,20.31151241534989,2,2.5191873589164784,4,4.510158013544018,6.591422121896162,5,0.0011959075927734375,0.05822563171386719,3,fec_simple_stratified,0.2
14,43,0.32856621860998225,0.11964490146821928,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,21.070021881838073,2,2.4923413566739607,4,4.50328227571116,6.529540481400438,5,0.0011110305786132812,0.05894017219543457,3,fec_simple_stratified,0.2
15,54,0.3297298740123852,0.1224089531967907,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,21.984304932735427,2,2.569506726457399,4,4.540358744394619,6.755605381165919,5,0.001222848892211914,0.05973076820373535,3,fec_simple_stratified,0.2
16,61,0.32264887731858116,0.11095499035662196,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,22.059225512528474,2,2.644646924829157,4,4.626423690205011,6.917995444191344,5,0.0011799335479736328,0.10568475723266602,3,fec_simple_stratified,0.2
17,65,0.32512315270935965,0.11980479438928328,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,21.76551724137931,2,2.6252873563218393,4,4.613793103448276,6.885057471264368,5,0.001196146011352539,0.05690145492553711,3,fec_simple_stratified,0.2
18,65,0.3112479474548441,0.11005125705504401,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,22.622988505747127,2,2.659770114942529,4,4.629885057471264,7.004597701149425,5,0.0011456012725830078,0.0586085319519043,3,fec_simple_stratified,0.2
19,49,0.3168883961566889,0.11412921352889263,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,24.23059866962306,2,2.731707317073171,4,4.700665188470066,7.195121951219512,5,0.0011539459228515625,0.0609285831451416,3,fec_simple_stratified,0.2
20,44,0.3307430664573522,0.11792703811578623,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,25.305494505494504,2,2.841758241758242,4,4.795604395604395,7.549450549450549,5,0.0012197494506835938,0.06474447250366211,3,fec_simple_stratified,0.2
21,46,0.32297566603734007,0.11445588354251497,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,25.991189427312776,2,2.7841409691629955,4,4.751101321585903,7.319383259911894,5,0.0011360645294189453,0.06176185607910156,3,fec_simple_stratified,0.2
22,42,0.3230401330838012,0.11891707204131725,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,26.927947598253276,2,2.7598253275109172,4,4.737991266375546,7.310043668122271,5,0.0012984275817871094,0.06487441062927246,3,fec_simple_stratified,0.2
23,39,0.31556657370106395,0.10695363621999263,0.22619047619047616,0.7023809523809523,0.22619047619047616,7,27.377440347071584,2,2.804772234273319,4,4.776572668112799,7.433839479392625,5,0.0012674331665039062,0.06313753128051758,3,fec_simple_stratified,0.2
