gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5027652086475616,0.0656710291226913,0.3431372549019608,0.6470588235294117,,19,18.76923076923077,4,4.102564102564102,7,6.17948717948718,12.64102564102564,13,0.0,0.02060079574584961,10,fec_simple_farthest_point,0.1
1,176,0.458962346000347,0.059263618821183306,0.3431372549019608,0.6470588235294117,0.3431372549019608,19,20.15929203539823,4,3.915929203539823,7,6.380530973451328,12.013274336283185,13,0.0010526180267333984,0.04898357391357422,10,fec_simple_farthest_point,0.1
2,129,0.43148148148148147,0.06484812677212567,0.3431372549019608,0.6568627450980392,0.3431372549019608,19,20.796296296296298,4,3.537037037037037,7,6.174074074074074,10.607407407407408,13,0.0010242462158203125,0.04689431190490723,10,fec_simple_farthest_point,0.1
3,131,0.422510641267183,0.06563500273544708,0.3137254901960784,0.6372549019607843,0.3137254901960784,25,22.16725978647687,5,3.832740213523132,8,6.462633451957295,11.370106761565836,16,0.0013096332550048828,0.05450725555419922,10,fec_simple_farthest_point,0.1
4,111,0.42240164039471995,0.0775448723547521,0.3137254901960784,0.7254901960784313,0.3137254901960784,25,24.473856209150327,5,4.264705882352941,8,7.026143790849673,12.624183006535947,16,0.0012869834899902344,0.05453848838806152,10,fec_simple_farthest_point,0.1
5,80,0.43065248698349395,0.07822701441588059,0.3137254901960784,0.6470588235294117,0.3137254901960784,25,25.983050847457626,5,4.533898305084746,8,7.4209039548022595,13.669491525423728,16,0.0013799667358398438,0.05994248390197754,10,fec_simple_farthest_point,0.1
6,80,0.4228872835683981,0.07481450272846103,0.3137254901960784,0.6568627450980392,0.3137254901960784,25,27.494152046783626,5,4.909356725146199,8,7.678362573099415,14.728070175438596,16,0.0013704299926757812,0.06204366683959961,10,fec_simple_farthest_point,0.1
7,85,0.42154012767897864,0.07288629892379549,0.3137254901960784,0.6568627450980392,0.3137254901960784,25,28.261627906976745,5,5.058139534883721,8,7.8895348837209305,15.31686046511628,16,0.0014576911926269531,0.06393909454345703,10,fec_simple_farthest_point,0.1
8,73,0.42523809523809525,0.0795818432715631,0.3137254901960784,0.6568627450980392,0.3137254901960784,25,29.82857142857143,5,5.36,8,8.014285714285714,16.12,16,0.0013387203216552734,0.06679916381835938,10,fec_simple_farthest_point,0.1
9,88,0.42828719723183395,0.08101519354116041,0.3137254901960784,0.6862745098039216,0.3137254901960784,25,32.08529411764706,5,5.526470588235294,8,8.197058823529412,16.620588235294118,16,0.0013401508331298828,0.06871461868286133,10,fec_simple_farthest_point,0.1
10,68,0.4308214410024365,0.07720339740541501,0.3137254901960784,0.6470588235294117,0.3137254901960784,25,32.87278106508876,5,5.760355029585799,8,8.310650887573965,17.349112426035504,16,0.0015494823455810547,0.07195091247558594,10,fec_simple_farthest_point,0.1
11,65,0.42237442922374435,0.07371948616864685,0.3137254901960784,0.6372549019607843,0.3137254901960784,25,34.90958904109589,5,5.958904109589041,8,8.41095890410959,17.813698630136987,16,0.0013709068298339844,0.07462358474731445,10,fec_simple_farthest_point,0.1
12,69,0.42524860947244225,0.08376281602646024,0.303921568627451,0.6862745098039216,0.303921568627451,57,36.48424068767908,13,6.180515759312321,12,8.498567335243553,18.435530085959886,40,0.0014443397521972656,0.07528305053710938,10,fec_simple_farthest_point,0.1
13,62,0.4142156862745097,0.07692244978429642,0.303921568627451,0.6372549019607843,0.303921568627451,57,40.620879120879124,13,6.818681318681318,12,8.777472527472527,20.134615384615383,40,0.0013966560363769531,0.0804131031036377,10,fec_simple_farthest_point,0.1
14,42,0.4101928815004263,0.07730357349509374,0.27450980392156865,0.6568627450980392,0.27450980392156865,54,44.38858695652174,13,7.8396739130434785,10,9.192934782608695,22.58695652173913,35,0.001377105712890625,0.08793401718139648,10,fec_simple_farthest_point,0.1
15,60,0.41414222364695197,0.07918478113360587,0.27450980392156865,0.6568627450980392,0.27450980392156865,54,47.71934604904632,13,8.659400544959128,10,9.59400544959128,24.6866485013624,35,0.0014808177947998047,0.10153746604919434,10,fec_simple_farthest_point,0.1
16,63,0.41102115003304696,0.0764810245743813,0.27450980392156865,0.6568627450980392,0.27450980392156865,54,49.18258426966292,13,9.081460674157304,10,9.696629213483146,25.651685393258425,35,0.0014042854309082031,0.14677095413208008,10,fec_simple_farthest_point,0.1
17,42,0.4161010558069382,0.08235285854969007,0.2549019607843137,0.6568627450980392,0.2549019607843137,57,54.30494505494506,11,9.958791208791208,12,10.167582417582418,27.942307692307693,34,0.0014188289642333984,0.10394835472106934,10,fec_simple_farthest_point,0.1
18,42,0.41472543433327747,0.08208887966027202,0.2549019607843137,0.6666666666666667,0.2549019607843137,57,59.35897435897436,11,11.618233618233619,12,10.72934472934473,32.136752136752136,34,0.0015099048614501953,0.1162714958190918,10,fec_simple_farthest_point,0.1
