run,gen,phenotype,hit,phenotype_in_cache,fitness_cached,cache_key,fitness_full_train,fake_hit,fitness_diff
9,0,x[4],False,,,59e0f1645ec457975ce5cea57e97712a,0.3921568627450981,False,0.0
9,0,x[1],False,,,cce74d037a256608c0040eed6974e749,0.5098039215686274,False,0.0
9,0,x[4],True,x[4],0.3921568627450981,59e0f1645ec457975ce5cea57e97712a,0.3921568627450981,False,0.0
9,0,x[1],True,x[1],0.5098039215686274,cce74d037a256608c0040eed6974e749,0.5098039215686274,False,0.0
9,0,x[4],True,x[4],0.3921568627450981,59e0f1645ec457975ce5cea57e97712a,0.3921568627450981,False,0.0
9,0,x[1],True,x[1],0.5098039215686274,cce74d037a256608c0040eed6974e749,0.5098039215686274,False,0.0
9,0,not_(x[1]),False,,,ef0b8f0c87bd3baeee29697251ee4e3d,0.4901960784313726,False,0.0
9,0,"or_(x[1],x[1])",True,x[1],0.5098039215686274,cce74d037a256608c0040eed6974e749,0.5098039215686274,False,0.0
9,0,"and_(x[1],x[1])",True,x[1],0.5098039215686274,cce74d037a256608c0040eed6974e749,0.5098039215686274,False,0.0
9,0,"less_than_or_equal(x[2],x[2])",False,,,4e47194d9345f1ec18872d39cfb645c6,0.5294117647058824,False,0.0
9,0,x[1],True,x[1],0.5098039215686274,cce74d037a256608c0040eed6974e749,0.5098039215686274,False,0.0
9,0,"less_than_or_equal(x[5],x[0])",False,,,dd9268ae704295a1dd7651067f851c40,0.4901960784313726,False,0.0
9,0,"less_than_or_equal(x[3],x[5])",False,,,b56a7319cd6bbee7b1e76c21b2ca9d38,0.5392156862745099,False,0.0
9,0,not_(not_(x[4])),True,x[4],0.3921568627450981,59e0f1645ec457975ce5cea57e97712a,0.3921568627450981,False,0.0
9,0,"greater_than_or_equal(x[0], x[2])",False,,,3302dafbecbd54a6dec2be5ff21cb2e8,0.607843137254902,False,0.0
9,0,"less_than_or_equal(x[5],x[5])",True,"less_than_or_equal(x[2],x[2])",0.5294117647058824,4e47194d9345f1ec18872d39cfb645c6,0.5294117647058824,False,0.0
9,0,"greater_than_or_equal(x[3], x[0])",False,,,c89d2429ec158a1953a2dfc178c0214c,0.5098039215686274,False,0.0
9,0,not_(x[1]),True,not_(x[1]),0.4901960784313726,ef0b8f0c87bd3baeee29697251ee4e3d,0.4901960784313726,False,0.0
9,0,"less_than_or_equal(x[2],x[5])",False,,,a2c91c37fe9b60ec65f739099ed1c3b3,0.5196078431372548,False,0.0
9,0,"greater_than_or_equal(add(x[3],x[3]), pdiv(x[5],x[2]))",False,,,c7f8856c72ea394bd96e3ad1b7e05001,0.3921568627450981,False,0.0
9,0,"greater_than_or_equal(x[3], pdiv(x[3],x[5]))",False,,,ac79a70243c3b6d3fb8d6d9debbe6145,0.3921568627450981,False,0.0
9,0,"or_(greater_than_or_equal(x[3], x[2]),x[4])",False,,,b0f732c1c7f0d75fd0bc6ea1fd9d55a0,0.48039215686274506,False,0.0
9,0,"greater_than_or_equal(pdiv(x[5],x[5]), pdiv(x[3],x[5]))",True,"less_than_or_equal(x[2],x[2])",0.5294117647058824,4e47194d9345f1ec18872d39cfb645c6,0.5294117647058824,False,0.0
9,0,"greater_than_or_equal(sub(x[3],x[2]), add(x[3],x[5]))",False,,,1fdfc4160927c946ef7b9593928ded4f,0.5882352941176471,False,0.0
9,0,"not_(greater_than_or_equal(x[3], x[5]))",False,,,03f37f05f9780af44fb50ee95db528d0,0.5,False,0.0
9,0,"not_(or_(less_than_or_equal(x[3],x[2]),less_than_or_equal(x[5],x[5])))",False,,,ab2fb9b52363cae811a4f61e05b18221,0.47058823529411764,False,0.0
