gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.49254901960784314,0.0610859058152808,0.36274509803921573,0.6470588235294117,,3,17.8,1,3.92,3,5.82,11.96,2,0.0,0.03669261932373047,1,fec_simple_farthest_point,0.4
1,186,0.4514509803921569,0.06860342436554438,0.32352941176470584,0.6372549019607843,0.32352941176470584,32,19.96,4,3.564,7,5.484,10.416,13,0.0008027553558349609,0.0989084243774414,1,fec_simple_farthest_point,0.4
2,140,0.40123314950980393,0.06488038918444872,0.32352941176470584,0.6470588235294117,0.32352941176470584,32,17.484375,4,2.4453125,7,4.7421875,6.94921875,13,0.0008082389831542969,0.09057092666625977,1,fec_simple_farthest_point,0.4
3,69,0.3776758409785933,0.05083459504259391,0.32352941176470584,0.6470588235294117,0.32352941176470584,32,15.837920489296636,4,1.730886850152905,7,4.033639143730887,4.5474006116207955,13,0.0010230541229248047,0.09549522399902344,1,fec_simple_farthest_point,0.4
4,100,0.3853815411514925,0.058408455615547326,0.32352941176470584,0.6470588235294117,0.32352941176470584,32,16.636942675159236,4,1.8121019108280254,7,4.165605095541402,4.812101910828026,13,0.001096963882446289,0.09060335159301758,1,fec_simple_farthest_point,0.4
5,90,0.3877856875234171,0.0611093180237508,0.2647058823529411,0.6568627450980392,0.2647058823529411,9,18.17515923566879,3,2.054140127388535,6,4.535031847133758,5.643312101910828,9,0.004225730895996094,0.1000368595123291,1,fec_simple_farthest_point,0.4
6,111,0.40044763886261897,0.08058597114301741,0.2647058823529411,0.7352941176470589,0.2647058823529411,9,20.659163987138264,3,2.688102893890675,6,5.401929260450161,7.839228295819936,9,0.0010986328125,0.10716605186462402,1,fec_simple_farthest_point,0.4
7,134,0.4172187646389614,0.08592093082015431,0.2647058823529411,0.6764705882352942,0.2647058823529411,9,23.064846416382252,3,2.948805460750853,6,5.812286689419795,8.825938566552901,9,0.0011522769927978516,0.11336278915405273,1,fec_simple_farthest_point,0.4
8,119,0.4184661206254654,0.08438042903046579,0.2647058823529411,0.6568627450980392,0.2647058823529411,9,25.281645569620252,3,3.300632911392405,6,6.246835443037975,9.94620253164557,9,0.0011096000671386719,0.12639260292053223,1,fec_simple_farthest_point,0.4
9,113,0.4222710891210067,0.08731483602559323,0.22549019607843135,0.6764705882352942,0.22549019607843135,46,27.39563862928349,5,3.707165109034268,9,6.682242990654205,11.233644859813085,16,0.00416111946105957,0.13612103462219238,1,fec_simple_farthest_point,0.4
10,98,0.41350140056022405,0.08680290371707573,0.22549019607843135,0.696078431372549,0.22549019607843135,46,28.66,5,3.9771428571428573,9,6.934285714285714,12.191428571428572,16,0.001161813735961914,0.14864206314086914,1,fec_simple_farthest_point,0.4
11,75,0.4113030253652708,0.09681243129237203,0.22549019607843135,0.6764705882352942,0.22549019607843135,46,30.033240997229917,5,4.149584487534626,9,7.124653739612189,12.753462603878116,16,0.0011718273162841797,0.14845585823059082,1,fec_simple_farthest_point,0.4
12,75,0.4111655773420479,0.1013791853013414,0.22549019607843135,0.7352941176470589,0.22549019607843135,46,32.708333333333336,5,4.611111111111111,9,7.455555555555556,13.975,16,0.004178285598754883,0.16229653358459473,1,fec_simple_farthest_point,0.4
13,77,0.40074906367041196,0.09770620049424092,0.22549019607843135,0.6764705882352942,0.22549019607843135,46,36.03651685393258,5,4.870786516853933,9,7.581460674157303,14.67134831460674,16,0.0012590885162353516,0.1621532440185547,1,fec_simple_farthest_point,0.4
14,63,0.3995423102928174,0.10113696833556718,0.22549019607843135,0.7352941176470589,0.22549019607843135,46,40.02917771883289,5,4.909814323607427,9,7.572944297082228,14.923076923076923,16,0.0011904239654541016,0.17554759979248047,1,fec_simple_farthest_point,0.4
15,61,0.4048616706956755,0.10284237848182812,0.22549019607843135,0.6862745098039216,0.22549019607843135,46,41.679452054794524,5,5.161643835616438,9,7.6876712328767125,15.421917808219177,16,0.001234292984008789,0.1747603416442871,1,fec_simple_farthest_point,0.4
16,58,0.38744240865745205,0.10707989721810222,0.22549019607843135,0.7352941176470589,0.22549019607843135,46,43.114754098360656,5,5.4316939890710385,9,7.841530054644808,16.10928961748634,16,0.004262685775756836,0.27530908584594727,1,fec_simple_farthest_point,0.4
17,54,0.3989003008610852,0.11411329665300221,0.22549019607843135,0.7745098039215687,0.22549019607843135,46,46.301587301587304,5,6.208994708994709,9,8.142857142857142,18.16931216931217,16,0.0046308040618896484,0.18841171264648438,1,fec_simple_farthest_point,0.4
18,41,0.3706319161327898,0.10321877867892268,0.22549019607843135,0.7156862745098039,0.22549019607843135,46,46.65594059405941,5,6.26980198019802,9,8.388613861386139,18.58910891089109,16,0.0012450218200683594,0.20421624183654785,1,fec_simple_farthest_point,0.4
19,50,0.381344825848077,0.10569658344683044,0.22549019607843135,0.6568627450980392,0.22549019607843135,46,48.82262210796915,5,6.565552699228792,9,8.54241645244216,19.226221079691516,16,0.001516580581665039,0.21112751960754395,1,fec_simple_farthest_point,0.4
20,43,0.3825729793164148,0.10430194672421494,0.22549019607843135,0.6862745098039216,0.22549019607843135,46,50.770573566084785,5,7.184538653366584,9,8.935162094763092,20.768079800498754,16,0.004251003265380859,0.22585010528564453,1,fec_simple_farthest_point,0.4
21,52,0.36987751398760016,0.10171193620612039,0.22549019607843135,0.6568627450980392,0.22549019607843135,46,53.688946015424165,5,7.80719794344473,9,9.34961439588689,22.34961439588689,16,0.0015096664428710938,0.22341084480285645,1,fec_simple_farthest_point,0.4
