gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5012708787218592,0.07958139928719297,0.3431372549019608,0.6470588235294117,,18,16.48148148148148,4,3.6666666666666665,6,5.703703703703703,11.074074074074074,12,0.0,0.03692936897277832,1,fec_simple_stratified,0.3
1,180,0.43397271952259164,0.07320851186135457,0.3431372549019608,0.6568627450980392,0.3431372549019608,18,19.247826086956522,4,3.747826086956522,6,5.556521739130435,10.543478260869565,12,0.003807544708251953,0.1040487289428711,1,fec_simple_stratified,0.3
2,142,0.4021870286576169,0.07168336620245533,0.32352941176470584,0.6568627450980392,0.32352941176470584,16,18.48076923076923,5,3.3807692307692307,7,4.838461538461538,8.88076923076923,15,0.0008387565612792969,0.10900211334228516,1,fec_simple_stratified,0.3
3,130,0.39250451953831184,0.0714443760915851,0.32352941176470584,0.6568627450980392,0.32352941176470584,16,17.156028368794328,5,2.617021276595745,7,4.24468085106383,6.726950354609929,15,0.004106760025024414,0.10749316215515137,1,fec_simple_stratified,0.3
4,112,0.3790189476463987,0.055151130102581894,0.32352941176470584,0.6568627450980392,0.32352941176470584,16,16.90909090909091,5,2.323232323232323,7,4.026936026936027,5.848484848484849,15,0.00412750244140625,0.09600210189819336,1,fec_simple_stratified,0.3
5,125,0.39514066496163686,0.07714749747232093,0.32352941176470584,0.7745098039215687,0.32352941176470584,16,20.293478260869566,5,2.760869565217391,7,4.336956521739131,7.036231884057971,15,0.0010805130004882812,0.10194945335388184,1,fec_simple_stratified,0.3
6,87,0.383684337932704,0.062234729249965835,0.303921568627451,0.6470588235294117,0.303921568627451,25,20.734567901234566,5,2.6790123456790123,7,4.302469135802469,6.743827160493828,15,0.004092216491699219,0.10806465148925781,1,fec_simple_stratified,0.3
7,115,0.39019607843137255,0.07489152307249058,0.28431372549019607,0.6666666666666667,0.28431372549019607,23,22.69,6,3.3,7,4.78,8.573333333333334,18,0.0011701583862304688,0.11561131477355957,1,fec_simple_stratified,0.3
8,134,0.4064333762702161,0.08527954593681564,0.28431372549019607,0.6568627450980392,0.28431372549019607,23,26.204379562043794,6,3.835766423357664,7,5.200729927007299,10.116788321167883,18,0.004124641418457031,0.12469816207885742,1,fec_simple_stratified,0.3
9,116,0.4065148640101202,0.09275297680906279,0.2450980392156863,0.6764705882352942,0.2450980392156863,35,29.019354838709678,5,3.964516129032258,7,5.493548387096774,10.883870967741936,15,0.0041887760162353516,0.13800358772277832,1,fec_simple_stratified,0.3
10,115,0.4106856579109631,0.09134096039869669,0.2450980392156863,0.7549019607843137,0.2450980392156863,35,31.5125786163522,5,4.7578616352201255,7,6.138364779874214,13.182389937106919,15,0.00417637825012207,0.1549973487854004,1,fec_simple_stratified,0.3
11,110,0.4252993232691306,0.10263383592992179,0.2450980392156863,0.6764705882352942,0.2450980392156863,35,34.825958702064895,5,4.823008849557522,7,6.368731563421829,13.67551622418879,15,0.004170656204223633,0.16593647003173828,1,fec_simple_stratified,0.3
12,76,0.42538584061075413,0.10307399303766679,0.2450980392156863,0.6764705882352942,0.2450980392156863,35,36.938375350140056,5,5.350140056022409,7,6.607843137254902,15.109243697478991,15,0.0011327266693115234,0.17538118362426758,1,fec_simple_stratified,0.3
13,112,0.4184216896635197,0.10475177035908302,0.2450980392156863,0.6862745098039216,0.2450980392156863,35,37.14506172839506,5,5.277777777777778,7,6.719135802469136,15.175925925925926,15,0.001191854476928711,0.17484831809997559,1,fec_simple_stratified,0.3
14,113,0.425,0.10397011444734013,0.2450980392156863,0.6764705882352942,0.2450980392156863,35,39.059375,5,5.6625,7,7.05625,16.315625,15,0.004217624664306641,0.18388605117797852,1,fec_simple_stratified,0.3
15,96,0.42748478701825554,0.1051685415174572,0.21568627450980393,0.6862745098039216,0.21568627450980393,43,41.508620689655174,5,6.379310344827586,7,7.517241379310345,18.25,15,0.0011706352233886719,0.1983034610748291,1,fec_simple_stratified,0.3
16,100,0.41751480650911393,0.097168083565334,0.21568627450980393,0.6862745098039216,0.21568627450980393,43,44.25806451612903,5,6.67741935483871,7,7.686217008797654,19.178885630498534,15,0.004230022430419922,0.310854434967041,1,fec_simple_stratified,0.3
17,98,0.4141233304916169,0.09881341357341895,0.21568627450980393,0.6764705882352942,0.21568627450980393,43,46.72463768115942,5,6.6,7,7.727536231884058,19.220289855072465,15,0.0043108463287353516,0.22038865089416504,1,fec_simple_stratified,0.3
18,81,0.41154623409252283,0.10210560510368072,0.21568627450980393,0.7549019607843137,0.21568627450980393,43,50.420612813370475,5,6.947075208913649,7,7.9805013927576605,20.367688022284124,15,0.0012974739074707031,0.23420071601867676,1,fec_simple_stratified,0.3
19,80,0.4126042682266277,0.1043423188504469,0.21568627450980393,0.7450980392156863,0.21568627450980393,43,55.21823204419889,5,7.867403314917127,7,8.361878453038674,22.831491712707184,15,0.004320383071899414,0.25156497955322266,1,fec_simple_stratified,0.3
20,67,0.41508669583535895,0.10997331742653818,0.21568627450980393,0.7549019607843137,0.21568627450980393,43,57.93939393939394,5,7.56198347107438,7,8.231404958677686,22.068870523415978,15,0.004237174987792969,0.24623417854309082,1,fec_simple_stratified,0.3
