run,gen,phenotype,hit,phenotype_in_cache,fitness_cached,cache_key,fitness_full_train,fake_hit,fitness_diff
7,0,x[6],False,,,26062330563d8eca88b83278f86186b9,0.46875,False,0.0
7,0,x[6],True,x[6],0.46875,26062330563d8eca88b83278f86186b9,,,
7,0,x[6],True,x[6],0.46875,26062330563d8eca88b83278f86186b9,,,
7,0,x[6],True,x[6],0.46875,26062330563d8eca88b83278f86186b9,,,
7,0,x[1],False,,,ef9fe9559f8ef1d41a615a4c3c48d119,0.46875,False,0.0
7,0,x[4],False,,,bf7afb03cbd098ee488c4c23d7feea08,0.46875,False,0.0
7,0,not_(x[1]),False,,,8fc1442b9c2d9bacc7360d4661dff414,0.53125,False,0.0
7,0,"and_(x[1],x[1])",False,,,ba459ce8ebed2ac19c17414b5e5c70fb,0.46875,False,0.0
7,0,not_(x[6]),False,,,c716806777cc99821506d32bbfeff31d,0.53125,False,0.0
7,0,x[1],True,x[1],0.46875,ef9fe9559f8ef1d41a615a4c3c48d119,,,
7,0,x[1],True,x[1],0.46875,ef9fe9559f8ef1d41a615a4c3c48d119,,,
7,0,"greater_than_or_equal(x[0], x[3])",False,,,7336d0d82a82a662b4948e77ac604af9,0.51875,False,0.0
7,0,x[6],True,x[6],0.46875,26062330563d8eca88b83278f86186b9,,,
7,0,"greater_than_or_equal(x[3], x[0])",False,,,00776a47ce15f1b1eae6362dfd38a8ee,0.48750000000000004,False,0.0
7,0,"not_(and_(x[6],x[6]))",True,not_(x[6]),0.53125,c716806777cc99821506d32bbfeff31d,,,
7,0,"greater_than_or_equal(x[3], x[0])",True,"greater_than_or_equal(x[3], x[0])",0.48750000000000004,00776a47ce15f1b1eae6362dfd38a8ee,,,
7,0,"greater_than_or_equal(x[0], x[2])",True,"greater_than_or_equal(x[0], x[3])",0.51875,7336d0d82a82a662b4948e77ac604af9,,,
7,0,"greater_than_or_equal(mul(x[2],x[5]), mul(x[3],x[3]))",False,,,a0682777d5d2f3a7fab2a44c86410847,0.48124999999999996,False,0.0
7,0,x[4],True,x[4],0.46875,bf7afb03cbd098ee488c4c23d7feea08,,,
7,0,"greater_than_or_equal(pdiv(x[2],x[0]), x[5])",False,,,5baa8a4a4ee37eceb80c9521f083ecda,0.25625,False,0.0
7,0,"greater_than_or_equal(add(x[2],x[5]), x[3])",False,,,d9614604156c9f5eae4eb42190bae493,0.475,False,0.0
7,0,"less_than_or_equal(add(x[3],x[5]),add(x[5],x[3]))",True,"greater_than_or_equal(add(x[2],x[5]), x[3])",0.475,d9614604156c9f5eae4eb42190bae493,,,
