gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.514704107009199,0.036682825857669556,0.42168674698795183,0.5963855421686747,,34,23.072144288577153,7,4.965931863727455,7,5.761523046092185,15.51503006012024,23,0.0,0.037233591079711914,7,fec_simple_farthest_point,0.1
1,207,0.4948394259632386,0.03588317056565895,0.42168674698795183,0.5662650602409638,0.42168674698795183,34,27.580204778156997,7,4.563139931740614,7,6.0580204778157,13.955631399317406,23,0.001100301742553711,0.057239532470703125,7,fec_simple_farthest_point,0.1
2,192,0.48308167735878577,0.03238203887373658,0.40963855421686746,0.5783132530120482,0.40963855421686746,32,28.40909090909091,7,4.262987012987013,10,6.3896103896103895,13.198051948051948,22,0.001142740249633789,0.05828094482421875,7,fec_simple_farthest_point,0.1
3,136,0.4822090560042366,0.032929105489106665,0.4036144578313253,0.5542168674698795,0.4036144578313253,48,30.236263736263737,8,3.934065934065934,9,6.357142857142857,11.969780219780219,20,0.0012271404266357422,0.06159853935241699,7,fec_simple_farthest_point,0.1
4,136,0.48363702744863746,0.03608890534745963,0.4036144578313253,0.5602409638554218,0.4036144578313253,48,33.319559228650135,8,3.9807162534435263,9,6.542699724517906,12.264462809917354,20,0.0012309551239013672,0.05992627143859863,7,fec_simple_farthest_point,0.1
5,122,0.4799037419519347,0.035612532342049225,0.3855421686746988,0.5783132530120482,0.3855421686746988,61,35.383597883597886,10,4.468253968253968,11,6.843915343915344,13.261904761904763,31,0.0012784004211425781,0.06306600570678711,7,fec_simple_farthest_point,0.1
6,114,0.4799925088956864,0.03869005353569442,0.37951807228915657,0.6024096385542168,0.37951807228915657,24,36.25388601036269,5,4.738341968911917,9,7.075129533678757,14.082901554404145,16,0.0012760162353515625,0.06646013259887695,7,fec_simple_farthest_point,0.1
7,98,0.48176246131658795,0.04230334004287946,0.3012048192771084,0.572289156626506,0.3012048192771084,59,42.12718204488778,10,5.673316708229426,12,7.571072319201995,16.65586034912718,31,0.0013523101806640625,0.07426738739013672,7,fec_simple_farthest_point,0.1
8,111,0.48290333570787003,0.04369390206399352,0.3012048192771084,0.572289156626506,0.3012048192771084,59,44.03598971722365,10,5.719794344473008,12,7.799485861182519,16.86375321336761,31,0.0013394355773925781,0.0759427547454834,7,fec_simple_farthest_point,0.1
9,73,0.47538162015744473,0.04076348253380304,0.3012048192771084,0.6144578313253012,0.3012048192771084,59,47.42622950819672,10,6.028103044496487,12,8.079625292740047,18.05386416861827,31,0.0013070106506347656,0.08099818229675293,7,fec_simple_farthest_point,0.1
10,92,0.4760217339948027,0.04503267650950275,0.3012048192771084,0.6867469879518072,0.3012048192771084,59,49.681372549019606,10,6.3995098039215685,12,8.306372549019608,19.03676470588235,31,0.001340627670288086,0.08423089981079102,7,fec_simple_farthest_point,0.1
11,64,0.47729910467558306,0.04691647840124846,0.3012048192771084,0.6024096385542168,0.3012048192771084,59,52.18119266055046,10,6.603211009174312,12,8.486238532110091,19.871559633027523,31,0.0014345645904541016,0.08725118637084961,7,fec_simple_farthest_point,0.1
12,78,0.47393364928909953,0.04778138384207307,0.3012048192771084,0.608433734939759,0.3012048192771084,59,54.10663507109005,10,7.457345971563981,12,8.959715639810426,22.040284360189574,31,0.0014033317565917969,0.09647297859191895,7,fec_simple_farthest_point,0.1
13,84,0.47352873030583875,0.049885684143701536,0.3012048192771084,0.6204819277108433,0.3012048192771084,59,56.98798076923077,10,7.9639423076923075,12,9.26923076923077,23.596153846153847,31,0.0014920234680175781,0.10196852684020996,7,fec_simple_farthest_point,0.1
14,61,0.4748469961851963,0.046544932185630536,0.3012048192771084,0.6024096385542168,0.3012048192771084,59,57.608200455580864,10,7.546697038724374,12,9.118451025056947,22.430523917995444,31,0.0013875961303710938,0.10227012634277344,7,fec_simple_farthest_point,0.1
15,74,0.47850557158210305,0.04858055512013289,0.3012048192771084,0.5903614457831325,0.3012048192771084,59,60.997652582159624,10,8.485915492957746,12,9.577464788732394,25.082159624413144,31,0.0016329288482666016,0.11619853973388672,7,fec_simple_farthest_point,0.1
16,89,0.4829683698296837,0.04868560373457314,0.3012048192771084,0.6204819277108433,0.3012048192771084,59,64.90997566909975,10,8.496350364963504,12,9.452554744525548,25.153284671532848,31,0.0015156269073486328,0.16828465461730957,7,fec_simple_farthest_point,0.1
17,72,0.47786003828397694,0.045833642662445655,0.3012048192771084,0.5843373493975903,0.3012048192771084,59,66.63785046728972,10,8.07943925233645,12,9.348130841121495,24.13785046728972,31,0.0015523433685302734,0.1147456169128418,7,fec_simple_farthest_point,0.1
18,71,0.4766759345072598,0.04722999596515823,0.3012048192771084,0.5903614457831325,0.3012048192771084,59,68.23543123543124,10,8.864801864801866,12,9.473193473193474,26.11888111888112,31,0.0015931129455566406,0.11956405639648438,7,fec_simple_farthest_point,0.1
19,75,0.4745712260807937,0.04640482945241851,0.3012048192771084,0.6204819277108433,0.3012048192771084,59,67.56,10,8.875294117647059,12,9.545882352941176,26.31529411764706,31,0.0014715194702148438,0.1209867000579834,7,fec_simple_farthest_point,0.1
20,98,0.4759935263441827,0.05079363773791161,0.3012048192771084,0.6867469879518072,0.3012048192771084,59,68.93532338308458,10,10.154228855721392,12,10.246268656716419,30.04228855721393,31,0.0015175342559814453,0.13217449188232422,7,fec_simple_farthest_point,0.1
21,81,0.4798861316387267,0.046740226320399696,0.3012048192771084,0.6204819277108433,0.3012048192771084,59,73.19809069212411,10,9.992840095465393,12,10.231503579952268,29.54653937947494,31,0.0018374919891357422,0.1406705379486084,7,fec_simple_farthest_point,0.1
