gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5111566265060241,0.057885923022719346,0.37349397590361444,0.5903614457831325,,36,22.448,8,4.802,7,5.754,15.1,24,0.0,0.03755903244018555,5,fec_simple_stratified,0.4
1,222,0.464960561671145,0.050661661278336316,0.37349397590361444,0.5783132530120482,0.37349397590361444,36,29.384892086330936,8,4.571942446043166,7,6.4352517985611515,14.467625899280575,24,0.0010833740234375,0.059627532958984375,5,fec_simple_stratified,0.4
2,162,0.45362515149354815,0.04708074302220167,0.3674698795180723,0.5963855421686747,0.3674698795180723,36,26.88757396449704,11,3.4911242603550297,8,5.902366863905326,10.872781065088757,28,0.0011188983917236328,0.054875850677490234,5,fec_simple_stratified,0.4
3,116,0.44962663152610444,0.046812772093337736,0.3674698795180723,0.5783132530120482,0.3674698795180723,36,26.546875,11,2.7213541666666665,8,5.494791666666667,8.455729166666666,28,0.0012981891632080078,0.050377607345581055,5,fec_simple_stratified,0.4
4,85,0.44604441863840905,0.045213100390955614,0.3674698795180723,0.5843373493975903,0.3674698795180723,36,27.84578313253012,11,2.5012048192771084,8,5.354216867469879,7.653012048192771,28,0.0012793540954589844,0.04812192916870117,5,fec_simple_stratified,0.4
5,72,0.44239105956536423,0.043745062431371634,0.3674698795180723,0.5843373493975903,0.3674698795180723,36,28.343457943925234,11,2.5210280373831777,8,5.418224299065421,7.661214953271028,28,0.0012359619140625,0.05009055137634277,5,fec_simple_stratified,0.4
6,73,0.4479416495019892,0.05083119538844078,0.3674698795180723,0.6024096385542168,0.3674698795180723,36,29.740046838407494,11,2.7072599531615924,8,5.576112412177986,8.072599531615925,28,0.001316070556640625,0.0518186092376709,5,fec_simple_stratified,0.4
7,79,0.43815642617977846,0.04341874675928964,0.3674698795180723,0.5783132530120482,0.3674698795180723,36,29.786223277909738,11,2.776722090261283,8,5.707838479809976,8.387173396674584,28,0.0014004707336425781,0.05161452293395996,5,fec_simple_stratified,0.4
8,73,0.4427075985440591,0.04888847624049119,0.3674698795180723,0.5963855421686747,0.3674698795180723,36,30.295081967213115,11,2.8360655737704916,8,5.758782201405152,8.540983606557377,28,0.001415252685546875,0.05439496040344238,5,fec_simple_stratified,0.4
9,53,0.44424678580092175,0.05141460755465645,0.3674698795180723,0.5843373493975903,0.3674698795180723,36,32.165548098434,11,3.2706935123042506,8,6.040268456375839,9.706935123042506,28,0.001329660415649414,0.05547356605529785,5,fec_simple_stratified,0.4
10,66,0.4367331075453889,0.046378905864488305,0.3674698795180723,0.5903614457831325,0.3674698795180723,36,34.546082949308754,11,3.7235023041474653,8,6.465437788018433,11.108294930875577,28,0.0013623237609863281,0.05637097358703613,5,fec_simple_stratified,0.4
11,80,0.4400465825114299,0.04994985807772877,0.34337349397590367,0.5963855421686747,0.34337349397590367,46,35.63484486873509,11,3.983293556085919,8,6.608591885441528,11.725536992840096,28,0.0014083385467529297,0.06507515907287598,5,fec_simple_stratified,0.4
12,74,0.4441144861134679,0.053926444774533934,0.34337349397590367,0.5903614457831325,0.34337349397590367,46,36.67605633802817,11,4.39906103286385,8,6.847417840375587,12.913145539906104,28,0.0014181137084960938,0.06751656532287598,5,fec_simple_stratified,0.4
13,87,0.4446016511566848,0.05553793234938691,0.34337349397590367,0.608433734939759,0.34337349397590367,46,37.32203389830509,11,4.743341404358354,8,7.070217917675545,13.91041162227603,28,0.0014498233795166016,0.06931161880493164,5,fec_simple_stratified,0.4
14,75,0.44436235508070016,0.054685604061137684,0.34337349397590367,0.6325301204819277,0.34337349397590367,46,38.785377358490564,11,4.813679245283019,8,7.134433962264151,14.181603773584905,28,0.0016510486602783203,0.07051563262939453,5,fec_simple_stratified,0.4
15,66,0.439467547609794,0.05184703414610027,0.34337349397590367,0.608433734939759,0.34337349397590367,46,41.2073732718894,11,5.370967741935484,8,7.444700460829493,15.804147465437788,28,0.001791238784790039,0.07501935958862305,5,fec_simple_stratified,0.4
16,83,0.44886758572752544,0.06035665725502248,0.3313253012048193,0.6144578313253012,0.3313253012048193,41,44.33653846153846,11,5.625,8,7.646634615384615,16.375,28,0.0014710426330566406,0.13090133666992188,5,fec_simple_stratified,0.4
17,64,0.4491958660329391,0.060476129290297484,0.3313253012048193,0.6204819277108433,0.3313253012048193,41,47.48853211009175,11,6.174311926605505,8,7.951834862385321,17.910550458715598,28,0.0015418529510498047,0.08374142646789551,5,fec_simple_stratified,0.4
18,71,0.452116156935434,0.06136154925272376,0.3313253012048193,0.6144578313253012,0.3313253012048193,41,48.16550116550116,11,6.31934731934732,8,8.088578088578089,18.223776223776223,28,0.0015347003936767578,0.08635497093200684,5,fec_simple_stratified,0.4
19,53,0.4493409881135279,0.06058637968408427,0.32530120481927716,0.6626506024096386,0.32530120481927716,44,50.272930648769574,13,6.612975391498882,8,8.078299776286354,19.049217002237135,34,0.001466512680053711,0.08740496635437012,5,fec_simple_stratified,0.4
20,53,0.4470095145683404,0.05841584029929533,0.32530120481927716,0.6144578313253012,0.32530120481927716,44,51.702460850111855,13,6.293064876957494,8,7.919463087248322,18.237136465324383,34,0.0015192031860351562,0.08626794815063477,5,fec_simple_stratified,0.4
21,72,0.45535412678752396,0.06364097977521539,0.32530120481927716,0.6144578313253012,0.32530120481927716,44,53.44392523364486,13,6.7266355140186915,8,7.978971962616822,19.10981308411215,34,0.001497507095336914,0.09044218063354492,5,fec_simple_stratified,0.4
22,54,0.45731806148360254,0.0621835226650453,0.32530120481927716,0.608433734939759,0.32530120481927716,44,54.75112107623318,13,6.757847533632287,8,8.02017937219731,19.217488789237667,34,0.0014667510986328125,0.09044766426086426,5,fec_simple_stratified,0.4
23,53,0.4544082369747446,0.062349339909820625,0.32530120481927716,0.6144578313253012,0.32530120481927716,44,57.48098434004474,13,7.4519015659955254,8,8.3668903803132,21.25503355704698,34,0.0014510154724121094,0.09607386589050293,5,fec_simple_stratified,0.4
24,66,0.4566931319749042,0.06494752368876641,0.32530120481927716,0.6385542168674698,0.32530120481927716,44,60.77188940092166,13,7.7373271889400925,8,8.419354838709678,21.691244239631338,34,0.0015211105346679688,0.09929132461547852,5,fec_simple_stratified,0.4
25,71,0.451175330693403,0.06346331505545509,0.32530120481927716,0.6024096385542168,0.32530120481927716,44,61.955710955710956,13,7.391608391608392,8,8.307692307692308,20.86247086247086,34,0.00148773193359375,0.09672927856445312,5,fec_simple_stratified,0.4
26,61,0.45807832697532724,0.06674129837239917,0.32530120481927716,0.6144578313253012,0.32530120481927716,44,62.15489749430524,13,7.965831435079727,8,8.33257403189066,21.774487471526196,34,0.0014946460723876953,0.10306048393249512,5,fec_simple_stratified,0.4
27,59,0.46034478048247407,0.06891086917105943,0.32530120481927716,0.6265060240963856,0.32530120481927716,44,65.00453514739229,13,8.512471655328799,8,8.428571428571429,23.03174603174603,34,0.0015833377838134766,0.10396623611450195,5,fec_simple_stratified,0.4
28,86,0.4575839590245038,0.06647789125895866,0.32530120481927716,0.6686746987951807,0.32530120481927716,44,66.92028985507247,13,9.070048309178745,8,8.673913043478262,24.42512077294686,34,0.001558542251586914,0.10820245742797852,5,fec_simple_stratified,0.4
29,68,0.45746876394466757,0.0697438557494291,0.32530120481927716,0.6746987951807228,0.32530120481927716,44,66.73148148148148,13,8.993055555555555,8,8.68287037037037,24.430555555555557,34,0.0016169548034667969,0.10843443870544434,5,fec_simple_stratified,0.4
30,63,0.4627915331048967,0.06953757567959437,0.32530120481927716,0.6626506024096386,0.32530120481927716,44,68.3211009174312,13,9.55045871559633,8,8.871559633027523,25.727064220183486,34,0.001514434814453125,0.11609029769897461,5,fec_simple_stratified,0.4
