gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.513156626506024,0.036397779797946055,0.42168674698795183,0.5783132530120482,,36,22.652,8,4.88,7,5.76,15.232,24,0.0,0.059465885162353516,4,fec_simple_farthest_point,0.2
1,222,0.4872583860622345,0.035433907489234674,0.40963855421686746,0.5963855421686747,0.40963855421686746,69,27.068345323741006,15,4.176258992805756,11,5.845323741007194,12.820143884892087,35,0.0008897781372070312,0.06215667724609375,4,fec_simple_farthest_point,0.2
2,152,0.47536698518210774,0.03023147826040808,0.40963855421686746,0.5542168674698795,0.40963855421686746,69,28.382183908045977,15,3.4827586206896552,11,5.626436781609195,10.485632183908047,35,0.0009217262268066406,0.06767463684082031,4,fec_simple_farthest_point,0.2
3,106,0.4742982080606691,0.03128301720365504,0.40963855421686746,0.5963855421686747,0.40963855421686746,69,29.205583756345177,15,2.9923857868020303,11,5.383248730964467,8.774111675126903,35,0.0009779930114746094,0.06665873527526855,4,fec_simple_farthest_point,0.2
4,71,0.46864380599320365,0.026490874503718738,0.40963855421686746,0.5481927710843373,0.40963855421686746,69,29.093240093240095,15,2.277389277389277,11,4.89044289044289,6.638694638694639,35,0.001001596450805664,0.060399770736694336,4,fec_simple_farthest_point,0.2
5,69,0.46864954015598353,0.027136811621258417,0.40963855421686746,0.5602409638554218,0.40963855421686746,69,28.396751740139212,15,2.245939675174014,11,4.8839907192575405,6.464037122969837,35,0.001035451889038086,0.06046795845031738,4,fec_simple_farthest_point,0.2
6,64,0.4651541947606942,0.023451733018334895,0.40963855421686746,0.572289156626506,0.40963855421686746,69,30.639908256880734,15,2.2362385321100917,11,4.83256880733945,6.3692660550458715,35,0.0010809898376464844,0.06020665168762207,4,fec_simple_farthest_point,0.2
7,55,0.4643969134966834,0.023625431014107367,0.3975903614457831,0.5542168674698795,0.3975903614457831,20,32.33932584269663,7,2.350561797752809,8,4.928089887640449,6.6359550561797755,16,0.0010693073272705078,0.06358623504638672,4,fec_simple_farthest_point,0.2
8,80,0.4706110154905336,0.03371906532553354,0.3975903614457831,0.6024096385542168,0.3975903614457831,20,36.65714285714286,7,3.257142857142857,8,5.504761904761905,8.90952380952381,16,0.0010509490966796875,0.06882667541503906,4,fec_simple_farthest_point,0.2
9,58,0.47083356048628905,0.03412909291610731,0.3975903614457831,0.5843373493975903,0.3975903614457831,20,36.418552036199095,7,3.3438914027149322,8,5.536199095022624,9.049773755656108,16,0.001071929931640625,0.07182002067565918,4,fec_simple_farthest_point,0.2
10,62,0.4697282279804148,0.035883143087924486,0.37951807228915657,0.6445783132530121,0.37951807228915657,67,36.97488584474886,18,3.5639269406392695,11,5.646118721461187,9.58904109589041,44,0.0011527538299560547,0.06992268562316895,4,fec_simple_farthest_point,0.2
11,61,0.4722451449634153,0.03907715200898849,0.34337349397590367,0.6325301204819277,0.34337349397590367,77,36.22374429223744,26,3.6506849315068495,15,5.687214611872146,9.82420091324201,68,0.0011265277862548828,0.0713810920715332,4,fec_simple_farthest_point,0.2
12,78,0.476232721861317,0.04271172467872314,0.34337349397590367,0.572289156626506,0.34337349397590367,77,35.94536817102138,26,4.128266033254157,15,6.064133016627078,11.125890736342043,68,0.0012054443359375,0.07341337203979492,4,fec_simple_farthest_point,0.2
13,55,0.4789970693585151,0.04512634569077631,0.34337349397590367,0.6265060240963856,0.34337349397590367,77,39.560810810810814,26,4.292792792792793,15,6.268018018018018,11.50900900900901,68,0.0014808177947998047,0.07741618156433105,4,fec_simple_farthest_point,0.2
14,52,0.47430979523475064,0.043413002800677884,0.34337349397590367,0.5783132530120482,0.34337349397590367,77,42.506726457399104,26,4.632286995515695,15,6.475336322869955,12.304932735426009,68,0.0011703968048095703,0.08001995086669922,4,fec_simple_farthest_point,0.2
15,52,0.4745424651626641,0.048034309787728074,0.34337349397590367,0.5963855421686747,0.34337349397590367,77,46.651006711409394,26,5.45413870246085,15,6.9284116331096195,14.230425055928412,68,0.0013728141784667969,0.08448243141174316,4,fec_simple_farthest_point,0.2
16,46,0.47478656347243275,0.052425574010417496,0.34337349397590367,0.6265060240963856,0.34337349397590367,77,49.47902869757174,26,6.086092715231788,15,7.300220750551876,15.62251655629139,68,0.001165151596069336,0.13703227043151855,4,fec_simple_farthest_point,0.2
17,40,0.4746333158721843,0.05494429763610171,0.34337349397590367,0.6445783132530121,0.34337349397590367,77,55.082608695652176,26,7.5978260869565215,15,8.043478260869565,18.993478260869566,68,0.0011348724365234375,0.10060930252075195,4,fec_simple_farthest_point,0.2
18,51,0.47171235276677176,0.05468920710750973,0.34337349397590367,0.6506024096385542,0.34337349397590367,77,59.308724832214764,26,8.610738255033556,15,8.516778523489933,21.404921700223714,68,0.0011587142944335938,0.10416269302368164,4,fec_simple_farthest_point,0.2
19,64,0.469297881179892,0.056385371153961285,0.34337349397590367,0.6566265060240963,0.34337349397590367,77,65.86666666666666,26,9.777011494252873,15,8.86896551724138,24.133333333333333,68,0.0012035369873046875,0.11364984512329102,4,fec_simple_farthest_point,0.2
20,61,0.46963251639816667,0.05603896170014276,0.3313253012048193,0.6506024096385542,0.3313253012048193,185,74.40318906605923,36,10.555808656036447,15,9.239179954441914,26.250569476082006,83,0.0012021064758300781,0.12289571762084961,4,fec_simple_farthest_point,0.2
21,45,0.470223752151463,0.05708991340599198,0.3313253012048193,0.6385542168674698,0.3313253012048193,185,79.91648351648351,36,11.265934065934067,15,9.514285714285714,27.98901098901099,83,0.0012271404266357422,0.13113093376159668,4,fec_simple_farthest_point,0.2
22,55,0.4696352979485509,0.05956232737337936,0.3313253012048193,0.6024096385542168,0.3313253012048193,185,89.26351351351352,36,12.5,15,9.842342342342342,30.734234234234233,83,0.0012645721435546875,0.14159131050109863,4,fec_simple_farthest_point,0.2
23,45,0.4727190701130513,0.05651748836341737,0.3313253012048193,0.6506024096385542,0.3313253012048193,185,91.27973568281938,36,13.82819383259912,15,10.22907488986784,33.715859030837,83,0.0013146400451660156,0.1525111198425293,4,fec_simple_farthest_point,0.2
24,61,0.474105991162829,0.05851177191826329,0.3313253012048193,0.6385542168674698,0.3313253012048193,185,95.19134396355354,36,14.353075170842825,15,10.460136674259681,35.09339407744875,83,0.0012881755828857422,0.1530470848083496,4,fec_simple_farthest_point,0.2
25,57,0.4731442777914379,0.05540626795398794,0.3313253012048193,0.6265060240963856,0.3313253012048193,185,102.7233560090703,36,15.070294784580499,15,10.498866213151928,36.65079365079365,83,0.0012784004211425781,0.15972161293029785,4,fec_simple_farthest_point,0.2
26,52,0.4764426834856203,0.056220389947484864,0.3313253012048193,0.6626506024096386,0.3313253012048193,185,105.38031319910515,36,16.861297539149888,15,11.04026845637584,41.25279642058165,83,0.001312255859375,0.17295169830322266,4,fec_simple_farthest_point,0.2
27,62,0.47469329372283653,0.058938384433505575,0.30722891566265065,0.6445783132530121,0.30722891566265065,115,107.31050228310502,32,17.134703196347033,13,11.319634703196346,42.28538812785388,76,0.0014085769653320312,0.17652535438537598,4,fec_simple_farthest_point,0.2
28,75,0.4701488306165839,0.057530927959895714,0.28915662650602414,0.6445783132530121,0.28915662650602414,131,113.85176470588236,16,19.43764705882353,13,11.957647058823529,47.411764705882355,38,0.0012726783752441406,0.19105744361877441,4,fec_simple_farthest_point,0.2
29,78,0.46665334323074287,0.057477414325435267,0.28915662650602414,0.6265060240963856,0.28915662650602414,131,117.44312796208531,16,19.360189573459717,13,11.850710900473933,47.464454976303315,38,0.0013782978057861328,0.1953442096710205,4,fec_simple_farthest_point,0.2
30,74,0.4668391877368629,0.05916403369585391,0.28915662650602414,0.6506024096385542,0.28915662650602414,131,120.72065727699531,16,20.380281690140844,13,12.262910798122066,49.791079812206576,38,0.0014123916625976562,0.19954943656921387,4,fec_simple_farthest_point,0.2
