gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5122048192771084,0.043851666395554524,0.4036144578313253,0.572289156626506,,36,21.914,8,4.69,7,5.758,14.746,24,0.0,0.0346071720123291,3,baseline_simple,1.0
1,218,0.4807955225155943,0.04378419156546446,0.4036144578313253,0.572289156626506,0.47619047619047616,36,24.54255319148936,8,3.904255319148936,7,6.070921985815603,12.368794326241135,24,0.001535177230834961,0.08083295822143555,3,baseline_simple,1.0
2,138,0.46190301371691755,0.03596485529034786,0.4036144578313253,0.5783132530120482,0.47619047619047616,36,22.094182825484765,8,2.6066481994459836,7,5.5484764542936285,8.421052631578947,24,0.0015881061553955078,0.0666050910949707,3,baseline_simple,1.0
3,92,0.4604742499409403,0.03719541539440491,0.4036144578313253,0.5662650602409638,0.47619047619047616,36,23.431372549019606,8,2.502450980392157,7,5.404411764705882,8.088235294117647,24,0.0016167163848876953,0.06323719024658203,3,baseline_simple,1.0
4,96,0.46196170821901467,0.039519779681944193,0.4036144578313253,0.572289156626506,0.47619047619047616,36,25.14851485148515,8,2.660891089108911,7,5.660891089108911,8.663366336633663,24,0.0016131401062011719,0.06850004196166992,3,baseline_simple,1.0
5,99,0.4610011116786348,0.04132647876320407,0.4036144578313253,0.572289156626506,0.47619047619047616,36,28.600997506234414,8,3.109725685785536,7,6.014962593516209,9.967581047381547,24,0.0017256736755371094,0.07723832130432129,3,baseline_simple,1.0
6,94,0.4641670128791026,0.04498087618394605,0.4036144578313253,0.6024096385542168,0.47619047619047616,36,35.22660098522167,8,4.248768472906404,7,6.733990147783251,13.38423645320197,24,0.0018639564514160156,0.09079813957214355,3,baseline_simple,1.0
7,109,0.46103595969555977,0.043433272606082096,0.4036144578313253,0.572289156626506,0.47619047619047616,36,39.43222506393862,8,4.907928388746803,7,7.253196930946292,15.42455242966752,24,0.0017800331115722656,0.10247159004211426,3,baseline_simple,1.0
8,111,0.45803264471768823,0.041499189251564636,0.4036144578313253,0.5783132530120482,0.47619047619047616,36,42.80976863753213,8,5.02827763496144,7,7.318766066838046,15.881748071979434,24,0.0019130706787109375,0.10523509979248047,3,baseline_simple,1.0
9,98,0.4623080852086651,0.0455659583542457,0.4036144578313253,0.572289156626506,0.47619047619047616,36,44.46633416458853,8,5.72568578553616,7,7.793017456359102,18.08229426433915,24,0.0018336772918701172,0.11517167091369629,3,baseline_simple,1.0
10,93,0.4597157101311651,0.04455696735285373,0.4036144578313253,0.5662650602409638,0.47619047619047616,36,46.6256157635468,8,6.539408866995074,7,8.261083743842365,20.492610837438423,24,0.0019464492797851562,0.12412142753601074,3,baseline_simple,1.0
11,122,0.4635685599541021,0.04772549374736071,0.4036144578313253,0.5903614457831325,0.47619047619047616,36,51.592592592592595,8,7.7063492063492065,7,8.828042328042327,24.134920634920636,24,0.001828908920288086,0.14472055435180664,3,baseline_simple,1.0
12,101,0.4595675936830027,0.04709496239412192,0.4036144578313253,0.6566265060240963,0.47619047619047616,36,50.734335839599,8,7.977443609022556,7,8.959899749373433,24.984962406015036,24,0.001970529556274414,0.13828635215759277,3,baseline_simple,1.0
13,115,0.45855108746675016,0.04746209498804081,0.4036144578313253,0.5843373493975903,0.47619047619047616,36,55.66233766233766,8,8.537662337662338,7,9.158441558441558,26.574025974025975,24,0.0023026466369628906,0.1476285457611084,3,baseline_simple,1.0
14,122,0.4578313253012048,0.045924165353706074,0.3674698795180723,0.5783132530120482,0.40476190476190477,36,61.36772486772487,8,8.846560846560847,7,9.357142857142858,27.402116402116402,24,0.0021600723266601562,0.1526503562927246,3,baseline_simple,1.0
15,105,0.4624065883788318,0.05037581886822503,0.3674698795180723,0.5843373493975903,0.40476190476190477,36,62.88354430379747,8,9.39493670886076,7,9.69367088607595,29.09873417721519,24,0.0019488334655761719,0.17196917533874512,3,baseline_simple,1.0
16,96,0.46488428963378264,0.05064053878311457,0.3674698795180723,0.5783132530120482,0.40476190476190477,36,63.475247524752476,8,9.905940594059405,7,9.821782178217822,30.42079207920792,24,0.0018413066864013672,0.20644783973693848,3,baseline_simple,1.0
17,97,0.45999880414960087,0.046649739348012774,0.3674698795180723,0.5602409638554218,0.40476190476190477,36,67.85856079404466,8,10.818858560794045,7,10.377171215880892,33.21091811414392,24,0.0020318031311035156,0.17662429809570312,3,baseline_simple,1.0
18,116,0.4627729668674699,0.04925048189060249,0.3674698795180723,0.5843373493975903,0.40476190476190477,36,74.44791666666667,8,11.846354166666666,7,10.697916666666666,36.059895833333336,24,0.0020618438720703125,0.1934494972229004,3,baseline_simple,1.0
19,97,0.4630033782773775,0.04977099245679836,0.3674698795180723,0.5903614457831325,0.40476190476190477,36,79.98511166253101,8,11.935483870967742,7,10.746898263027296,36.411910669975185,24,0.0020673274993896484,0.2105398178100586,3,baseline_simple,1.0
20,107,0.46462184616327906,0.050938482699387846,0.3674698795180723,0.5662650602409638,0.40476190476190477,36,78.32315521628499,8,12.071246819338423,7,10.872773536895675,36.69974554707379,24,0.0018846988677978516,0.20364689826965332,3,baseline_simple,1.0
21,89,0.466728226775716,0.05249375745653176,0.3674698795180723,0.6445783132530121,0.40476190476190477,36,84.17761557177616,8,12.817518248175183,7,11.043795620437956,38.858880778588805,24,0.0019235610961914062,0.2250978946685791,3,baseline_simple,1.0
22,103,0.4599708658310825,0.04721834559628067,0.3674698795180723,0.5662650602409638,0.40476190476190477,36,82.80604534005037,8,12.987405541561714,7,11.065491183879093,39.4080604534005,24,0.0020804405212402344,0.21343684196472168,3,baseline_simple,1.0
23,138,0.4688976902083472,0.05449110785660292,0.34337349397590367,0.5783132530120482,0.5952380952380952,174,89.75690607734806,63,14.823204419889503,29,12.01657458563536,44.511049723756905,166,0.002115011215209961,0.2595174312591553,3,baseline_simple,1.0
24,112,0.4609054775804247,0.05058547490464168,0.34337349397590367,0.6204819277108433,0.5952380952380952,174,93.0798969072165,63,15.208762886597938,29,12.056701030927835,45.31701030927835,166,0.0022063255310058594,0.22979235649108887,3,baseline_simple,1.0
25,112,0.4635293752328903,0.05331915906603754,0.34337349397590367,0.5783132530120482,0.5952380952380952,174,96.3917525773196,63,15.306701030927835,29,12.13659793814433,46.0360824742268,166,0.002183675765991211,0.25466227531433105,3,baseline_simple,1.0
26,120,0.47141724793912493,0.05715480923798081,0.34337349397590367,0.5963855421686747,0.5952380952380952,174,100.6421052631579,63,16.063157894736843,29,12.294736842105262,47.91315789473684,166,0.0021545886993408203,0.21982383728027344,3,baseline_simple,1.0
27,123,0.4709660924866575,0.05564395298315953,0.34337349397590367,0.5963855421686747,0.5952380952380952,174,106.3023872679045,63,16.75862068965517,29,12.572944297082229,49.84084880636605,166,0.0011932849884033203,0.17302417755126953,3,baseline_simple,1.0
28,111,0.4659305602874222,0.0533380846005018,0.34337349397590367,0.5903614457831325,0.5952380952380952,174,111.56555269922879,63,17.118251928020566,29,12.7866323907455,50.89203084832905,166,0.0011820793151855469,0.27045536041259766,3,baseline_simple,1.0
29,125,0.46759839357429717,0.05428396502549692,0.34337349397590367,0.5963855421686747,0.5952380952380952,174,112.07466666666667,63,17.56,29,12.904,52.370666666666665,166,0.004197359085083008,0.3508744239807129,3,baseline_simple,1.0
30,117,0.4632420019503601,0.052092076235999665,0.34337349397590367,0.5903614457831325,0.5952380952380952,174,115.87467362924282,63,16.496083550913838,29,12.347258485639687,49.297650130548305,166,0.004163026809692383,0.34262728691101074,3,baseline_simple,1.0
