gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5643076923076922,0.11474763791975527,0.36483516483516487,0.6351648351648351,,13,21.7,3,4.7,5,5.58,14.54,9,0.0,0.0040547847747802734,8,fec_simple_farthest_point,0.1
1,22,0.5152276295133438,0.128675947495951,0.36483516483516487,0.6351648351648351,0.36483516483516487,13,18.785714285714285,3,2.892857142857143,5,5.178571428571429,9.107142857142858,9,0.00011920928955078125,0.005016326904296875,8,fec_simple_farthest_point,0.1
2,21,0.42910193255020845,0.1119305155774816,0.36483516483516487,0.6351648351648351,0.36483516483516487,13,18.20689655172414,3,2.689655172413793,5,5.862068965517241,9.172413793103448,9,0.00010037422180175781,0.00483393669128418,8,fec_simple_farthest_point,0.1
3,12,0.4217466743782533,0.10854678008152088,0.36483516483516487,0.6351648351648351,0.36483516483516487,13,17.0,3,2.8684210526315788,5,5.973684210526316,9.710526315789474,9,0.00010824203491210938,0.004721403121948242,8,fec_simple_farthest_point,0.1
4,15,0.38191522762951335,0.06269618701216659,0.36483516483516487,0.6351648351648351,0.36483516483516487,13,20.742857142857144,3,3.4285714285714284,5,6.0285714285714285,11.085714285714285,9,0.0001590251922607422,0.0046236515045166016,8,fec_simple_farthest_point,0.1
5,12,0.4215153267784847,0.12557993311655175,0.36483516483516487,0.8967032967032967,0.36483516483516487,13,21.236842105263158,3,3.1052631578947367,5,6.026315789473684,10.105263157894736,9,0.00011754035949707031,0.0050907135009765625,8,fec_simple_farthest_point,0.1
6,11,0.4009580163426318,0.09003329166648272,0.36483516483516487,0.6351648351648351,0.36483516483516487,13,22.58974358974359,3,3.3333333333333335,5,6.076923076923077,10.948717948717949,9,0.00012350082397460938,0.004960775375366211,8,fec_simple_farthest_point,0.1
7,6,0.40234765234765235,0.09260974998265843,0.36483516483516487,0.6351648351648351,0.36483516483516487,13,25.704545454545453,3,4.2272727272727275,5,6.386363636363637,13.022727272727273,9,0.00011539459228515625,0.005483388900756836,8,fec_simple_farthest_point,0.1
8,18,0.42396978021978027,0.10980540605685893,0.36483516483516487,0.6351648351648351,0.36483516483516487,13,26.375,3,3.84375,5,6.125,11.5625,9,0.00011038780212402344,0.00543665885925293,8,fec_simple_farthest_point,0.1
9,8,0.41193092621664046,0.09844320171206497,0.36483516483516487,0.6351648351648351,0.36483516483516487,13,25.023809523809526,3,3.4285714285714284,5,6.119047619047619,10.547619047619047,9,0.00013875961303710938,0.005155324935913086,8,fec_simple_farthest_point,0.1
10,7,0.3841553795042167,0.08503146364346577,0.1428571428571429,0.6351648351648351,0.1428571428571429,18,23.697674418604652,5,2.953488372093023,6,5.558139534883721,8.976744186046512,10,0.00010848045349121094,0.004666328430175781,8,fec_simple_farthest_point,0.1
