gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.48242251670134706,0.0799936537785295,0.3765743073047859,0.5969773299748111,,36,18.73913043478261,8,4.130434782608695,7,5.826086956521739,12.652173913043478,24,0.0,0.003935575485229492,8,fec_simple_stratified,0.1
1,18,0.45321391920888143,0.08196614557075664,0.3589420654911839,0.6397984886649875,0.3589420654911839,38,30.0,8,5.962962962962963,7,6.62962962962963,17.37037037037037,24,0.00010538101196289062,0.0065882205963134766,8,fec_simple_stratified,0.1
2,25,0.4273628299200527,0.0686506259289795,0.3589420654911839,0.6190176322418136,0.3589420654911839,38,44.21739130434783,8,7.521739130434782,7,7.434782608695652,22.0,24,9.489059448242188e-05,0.007301807403564453,8,fec_simple_stratified,0.1
3,20,0.4230688497061293,0.08090442012408336,0.34571788413098237,0.603904282115869,0.34571788413098237,48,41.333333333333336,12,6.566666666666666,9,7.3,19.566666666666666,36,0.00010943412780761719,0.00890493392944336,8,fec_simple_stratified,0.1
4,17,0.4204450041981529,0.08571674425682028,0.34571788413098237,0.6505037783375315,0.34571788413098237,48,41.878787878787875,12,7.03030303030303,9,7.606060606060606,20.727272727272727,36,0.0001087188720703125,0.008646726608276367,8,fec_simple_stratified,0.1
5,14,0.4086002159050019,0.07383344724468067,0.34571788413098237,0.6057934508816121,0.34571788413098237,48,43.142857142857146,12,7.8,9,7.857142857142857,23.514285714285716,36,0.00012063980102539062,0.010154485702514648,8,fec_simple_stratified,0.1
6,20,0.43956759026028547,0.09254763127404017,0.3444584382871536,0.6523929471032746,0.3444584382871536,48,46.8,12,8.433333333333334,9,7.866666666666666,24.9,36,0.00012373924255371094,0.01073312759399414,8,fec_simple_stratified,0.1
7,21,0.44498920474991005,0.09922000913171101,0.3444584382871536,0.6429471032745592,0.3444584382871536,48,48.607142857142854,12,9.035714285714286,9,8.214285714285714,26.714285714285715,36,0.00011539459228515625,0.010244607925415039,8,fec_simple_stratified,0.1
8,19,0.43777931258633296,0.0992837840777735,0.3444584382871536,0.6435768261964736,0.3444584382871536,48,48.45161290322581,12,10.774193548387096,9,9.064516129032258,32.064516129032256,36,0.0001285076141357422,0.01342463493347168,8,fec_simple_stratified,0.1
9,21,0.43945974116216446,0.10192724191052488,0.3444584382871536,0.6505037783375315,0.3444584382871536,48,48.58620689655172,12,9.517241379310345,9,8.448275862068966,28.137931034482758,36,0.0001404285430908203,0.01227569580078125,8,fec_simple_stratified,0.1
10,22,0.43833213386110115,0.09213127178650021,0.3444584382871536,0.6309823677581864,0.3444584382871536,48,46.785714285714285,12,8.892857142857142,9,8.678571428571429,26.392857142857142,36,0.000110626220703125,0.012570381164550781,8,fec_simple_stratified,0.1
