gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5426412378553437,0.08055810969516695,0.39546599496221657,0.6555415617128464,,10,20.214285714285715,2,4.428571428571429,6,5.714285714285714,13.571428571428571,7,0.0,0.005919694900512695,2,fec_simple_stratified,0.3
1,15,0.44480152870667944,0.055914601390105775,0.353904282115869,0.5875314861460957,0.353904282115869,14,15.689655172413794,2,2.793103448275862,6,5.241379310344827,8.482758620689655,7,0.0001087188720703125,0.005603790283203125,2,fec_simple_stratified,0.3
2,14,0.41569121351311306,0.058375881226906595,0.353904282115869,0.6045340050377834,0.353904282115869,14,15.235294117647058,2,2.6470588235294117,6,5.882352941176471,8.441176470588236,7,9.632110595703125e-05,0.005087852478027344,2,fec_simple_stratified,0.3
3,18,0.42274721703095797,0.08016634365304887,0.353904282115869,0.6045340050377834,0.353904282115869,14,22.161290322580644,2,3.2580645161290325,6,6.580645161290323,10.387096774193548,7,0.00011372566223144531,0.0062220096588134766,2,fec_simple_stratified,0.3
4,9,0.3905735322611896,0.05403934969313627,0.353904282115869,0.5976070528967254,0.353904282115869,14,25.05128205128205,2,3.0256410256410255,6,6.641025641025641,9.923076923076923,7,0.00010061264038085938,0.0052797794342041016,2,fec_simple_stratified,0.3
5,10,0.40528626863639455,0.07789001013297625,0.353904282115869,0.6083123425692696,0.353904282115869,14,22.783783783783782,2,2.810810810810811,6,6.486486486486487,9.135135135135135,7,0.000110626220703125,0.006657600402832031,2,fec_simple_stratified,0.3
6,6,0.4114984001633875,0.07601524533780571,0.353904282115869,0.6045340050377834,0.353904282115869,14,22.43243243243243,2,3.0,6,6.621621621621622,9.432432432432432,7,0.0001246929168701172,0.007188320159912109,2,fec_simple_stratified,0.3
7,10,0.43045816597453873,0.0942067289315216,0.34319899244332497,0.6045340050377834,0.34319899244332497,46,25.945945945945947,3,2.5675675675675675,7,6.378378378378378,8.45945945945946,10,0.00013136863708496094,0.0071868896484375,2,fec_simple_stratified,0.3
8,11,0.3850405821438567,0.03574642824591122,0.34319899244332497,0.5566750629722922,0.34319899244332497,46,33.111111111111114,3,2.861111111111111,7,6.666666666666667,9.444444444444445,10,0.00013113021850585938,0.0069599151611328125,2,fec_simple_stratified,0.3
9,9,0.3885390428211587,0.06463493686987451,0.34319899244332497,0.6045340050377834,0.34319899244332497,46,39.32432432432432,3,3.189189189189189,7,6.864864864864865,10.405405405405405,10,0.00013494491577148438,0.008125543594360352,2,fec_simple_stratified,0.3
10,4,0.39868957658630205,0.06574115466580652,0.34319899244332497,0.6045340050377834,0.34319899244332497,46,45.214285714285715,3,4.333333333333333,7,7.690476190476191,13.357142857142858,10,0.00012159347534179688,0.009607553482055664,2,fec_simple_stratified,0.3
