gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5042197802197802,0.11612725115810872,0.3802197802197802,0.6197802197802198,,13,24.6,3,5.32,5,5.74,16.52,9,0.0,0.006818294525146484,9,fec_simple_stratified,0.1
1,25,0.4856263736263736,0.11478753731297021,0.3802197802197802,0.6197802197802198,0.3802197802197802,13,26.32,3,3.8,5,5.68,11.04,9,0.00011205673217773438,0.0076372623443603516,9,fec_simple_stratified,0.1
2,15,0.4273155416012559,0.08864885259558196,0.3802197802197802,0.6197802197802198,0.3802197802197802,13,31.285714285714285,3,3.5428571428571427,5,5.685714285714286,10.457142857142857,9,0.000102996826171875,0.0071604251861572266,9,fec_simple_stratified,0.1
3,13,0.4118206118206118,0.07587533963580377,0.3802197802197802,0.6197802197802198,0.3802197802197802,13,29.216216216216218,3,3.027027027027027,5,5.4324324324324325,8.972972972972974,9,0.0001220703125,0.007182598114013672,9,fec_simple_stratified,0.1
4,11,0.4055226824457594,0.07041040694591369,0.3802197802197802,0.6197802197802198,0.3802197802197802,13,28.53846153846154,3,2.4615384615384617,5,5.051282051282051,7.3076923076923075,9,0.0001277923583984375,0.0065953731536865234,9,fec_simple_stratified,0.1
5,6,0.42312687312687297,0.0911088226466259,0.3802197802197802,0.6197802197802198,0.3802197802197802,13,28.113636363636363,3,2.090909090909091,5,4.863636363636363,6.318181818181818,9,0.00014328956604003906,0.006833791732788086,9,fec_simple_stratified,0.1
6,6,0.4026473526473526,0.06879503799502747,0.3802197802197802,0.6197802197802198,0.3802197802197802,13,25.977272727272727,3,2.2954545454545454,5,4.931818181818182,6.613636363636363,9,0.0001239776611328125,0.006168365478515625,9,fec_simple_stratified,0.1
7,8,0.39230769230769225,0.051050347452831046,0.3802197802197802,0.6197802197802198,0.3802197802197802,13,27.38095238095238,3,2.0,5,4.857142857142857,6.071428571428571,9,0.0001347064971923828,0.00578618049621582,9,fec_simple_stratified,0.1
8,6,0.41133866133866126,0.07526242734344792,0.3802197802197802,0.6197802197802198,0.3802197802197802,13,27.704545454545453,3,2.227272727272727,5,5.090909090909091,6.840909090909091,9,0.00011873245239257812,0.006196737289428711,9,fec_simple_stratified,0.1
9,11,0.4062552831783601,0.07245748898896369,0.3802197802197802,0.6197802197802198,0.3802197802197802,13,28.153846153846153,3,2.4358974358974357,5,5.487179487179487,7.897435897435898,9,0.0001316070556640625,0.006258964538574219,9,fec_simple_stratified,0.1
10,11,0.40873485488870104,0.07452692282891826,0.3802197802197802,0.6197802197802198,0.3802197802197802,13,28.974358974358974,3,2.230769230769231,5,5.256410256410256,7.0256410256410255,9,0.00011849403381347656,0.0065174102783203125,9,fec_simple_stratified,0.1
