gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.5376703296703296,0.12195307932288456,0.34065934065934067,0.6285714285714286,,36,22.42,8,4.82,7,5.74,15.06,24,0.0,0.0037581920623779297,4,baseline_simple,1.0
1,19,0.5061325771003191,0.12467588676038775,0.34065934065934067,0.6329670329670329,0.3508771929824561,36,27.64516129032258,8,5.064516129032258,7,6.516129032258065,15.774193548387096,24,0.00012445449829101562,0.006023406982421875,4,baseline_simple,1.0
2,17,0.42617382617382615,0.11309526720365506,0.21098901098901102,0.6285714285714286,0.22807017543859653,36,26.818181818181817,8,4.666666666666667,7,7.0,14.878787878787879,24,0.00011897087097167969,0.004674673080444336,4,baseline_simple,1.0
3,20,0.38864468864468865,0.10561666207907473,0.21098901098901102,0.6285714285714286,0.22807017543859653,36,28.566666666666666,8,5.5,7,6.833333333333333,16.433333333333334,24,8.96453857421875e-05,0.0040509700775146484,4,baseline_simple,1.0
4,21,0.38499431602879874,0.15758681879665665,0.10109890109890107,0.6285714285714286,0.11403508771929827,37,29.551724137931036,11,5.655172413793103,10,6.620689655172414,16.344827586206897,28,7.343292236328125e-05,0.004269123077392578,4,baseline_simple,1.0
5,19,0.41361219425735557,0.18113773477323528,0.10109890109890107,0.6373626373626373,0.11403508771929827,37,37.54838709677419,11,7.064516129032258,10,7.258064516129032,19.322580645161292,28,8.606910705566406e-05,0.004846334457397461,4,baseline_simple,1.0
6,16,0.46948933419521655,0.20061776538312404,0.10109890109890107,0.8791208791208791,0.11403508771929827,37,42.294117647058826,11,9.235294117647058,10,8.529411764705882,25.176470588235293,28,0.00010156631469726562,0.006563425064086914,4,baseline_simple,1.0
7,19,0.4398440269408011,0.18421467115707407,0.10109890109890107,0.6285714285714286,0.11403508771929827,37,44.54838709677419,11,8.67741935483871,10,8.129032258064516,23.548387096774192,28,0.00010085105895996094,0.005614042282104492,4,baseline_simple,1.0
8,16,0.4343891402714932,0.19811214841912386,0.10109890109890107,0.9274725274725275,0.11403508771929827,37,46.088235294117645,11,8.676470588235293,10,8.029411764705882,23.676470588235293,28,8.177757263183594e-05,0.005923271179199219,4,baseline_simple,1.0
9,12,0.44216310005783693,0.17789544536998417,0.08571428571428574,0.6329670329670329,0.13157894736842102,49,47.31578947368421,13,9.5,10,8.473684210526315,25.105263157894736,39,8.797645568847656e-05,0.005860805511474609,4,baseline_simple,1.0
10,14,0.3941391941391941,0.20253396168393648,0.08571428571428574,0.6285714285714286,0.13157894736842102,49,55.333333333333336,13,10.055555555555555,10,8.61111111111111,26.61111111111111,39,0.00013399124145507812,0.00790262222290039,4,baseline_simple,1.0
