gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.7771830985915493,0.13895749236935107,0.6901408450704225,1.0,,3,21.48,1,4.84,3,5.8,14.36,2,0.0,0.0028514862060546875,5,fec_simple_stratified,0.1
1,15,0.6998239436619719,0.053913211259797755,0.6901408450704225,1.0,0.6901408450704225,3,15.625,1,2.875,3,4.8125,8.1875,2,7.843971252441406e-05,0.0031774044036865234,5,fec_simple_stratified,0.1
2,8,0.6998239436619719,0.053913211259797755,0.6901408450704225,1.0,0.6901408450704225,3,14.96875,1,1.65625,3,3.9375,4.125,2,8.153915405273438e-05,0.00220489501953125,5,fec_simple_stratified,0.1
3,9,0.715962441314554,0.08564054622983426,0.6901408450704225,1.0,0.6901408450704225,3,14.63888888888889,1,1.5277777777777777,3,3.861111111111111,3.888888888888889,2,8.273124694824219e-05,0.002279520034790039,5,fec_simple_stratified,0.1
4,5,0.6987480438184663,0.050920874502422366,0.6901408450704225,1.0,0.6901408450704225,3,12.194444444444445,1,1.2222222222222223,3,3.4444444444444446,2.888888888888889,2,7.653236389160156e-05,0.0024118423461914062,5,fec_simple_stratified,0.1
5,7,0.697887323943662,0.04837674505801577,0.6901408450704225,1.0,0.6901408450704225,3,12.825,1,1.225,3,3.325,2.7,2,8.559226989746094e-05,0.0021877288818359375,5,fec_simple_stratified,0.1
6,4,0.6969977761304671,0.04170908332487659,0.6901408450704225,0.9507042253521126,0.6901408450704225,3,13.394736842105264,1,1.0526315789473684,3,3.1052631578947367,2.210526315789474,2,7.62939453125e-05,0.0020008087158203125,5,fec_simple_stratified,0.1
7,1,0.6901408450704226,1.1102230246251565e-16,0.6901408450704225,0.6901408450704225,0.6901408450704225,3,14.166666666666666,1,1.0,3,3.0,2.0,2,8.177757263183594e-05,0.002282857894897461,5,fec_simple_stratified,0.1
8,1,0.6901408450704226,1.1102230246251565e-16,0.6901408450704225,0.6901408450704225,0.6901408450704225,3,13.88888888888889,1,1.0,3,3.0,2.0,2,7.82012939453125e-05,0.0021255016326904297,5,fec_simple_stratified,0.1
9,2,0.6901408450704225,0.0,0.6901408450704225,0.6901408450704225,0.6901408450704225,3,15.590909090909092,1,1.0454545454545454,3,3.0681818181818183,2.159090909090909,2,7.486343383789062e-05,0.00217437744140625,5,fec_simple_stratified,0.1
10,1,0.6901408450704226,1.1102230246251565e-16,0.6901408450704225,0.6901408450704225,0.6901408450704225,3,17.282608695652176,1,1.0434782608695652,3,3.0652173913043477,2.152173913043478,2,7.05718994140625e-05,0.0020470619201660156,5,fec_simple_stratified,0.1
