gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.8465530022238695,0.1617473376957881,0.676056338028169,1.0,,3,24.894736842105264,1,5.421052631578948,3,6.315789473684211,16.68421052631579,2,0.0,0.0020592212677001953,5,baseline_simple,1.0
1,20,0.7327005511328842,0.1130481887002016,0.676056338028169,1.0,0.6388888888888888,3,23.47826086956522,1,4.173913043478261,3,6.0,12.652173913043478,2,8.392333984375e-05,0.003972768783569336,5,baseline_simple,1.0
2,19,0.7140845070422535,0.10303854173617963,0.676056338028169,1.0,0.6388888888888888,3,19.12,1,3.04,3,5.68,9.32,2,8.511543273925781e-05,0.0039081573486328125,5,baseline_simple,1.0
3,16,0.738353196099675,0.12767056750653888,0.676056338028169,1.0,0.6388888888888888,3,21.26923076923077,1,2.1538461538461537,3,4.461538461538462,6.038461538461538,2,0.00011038780212402344,0.0029103755950927734,5,baseline_simple,1.0
4,12,0.7501006036217303,0.1360280018125065,0.676056338028169,1.0,0.6388888888888888,3,25.685714285714287,1,3.2285714285714286,3,5.057142857142857,8.771428571428572,2,9.799003601074219e-05,0.003027677536010742,5,baseline_simple,1.0
5,10,0.6848115721355158,0.052531404644080695,0.676056338028169,1.0,0.6388888888888888,3,22.864864864864863,1,2.2972972972972974,3,4.594594594594595,6.27027027027027,2,8.344650268554688e-05,0.0028624534606933594,5,baseline_simple,1.0
6,10,0.6923541247484909,0.06684624281903821,0.676056338028169,1.0,0.6388888888888888,3,23.285714285714285,1,1.8,3,4.0,4.771428571428571,2,0.00012445449829101562,0.0026307106018066406,5,baseline_simple,1.0
7,5,0.676627331556909,0.003425961172440041,0.676056338028169,0.6971830985915493,0.6388888888888888,3,25.783783783783782,1,1.5405405405405406,3,3.7567567567567566,3.810810810810811,2,8.7738037109375e-05,0.002487659454345703,5,baseline_simple,1.0
8,3,0.6911234850966262,0.0682194098189193,0.676056338028169,1.0,0.6388888888888888,3,25.41860465116279,1,1.4651162790697674,3,3.604651162790698,3.604651162790698,2,8.296966552734375e-05,0.0024995803833007812,5,baseline_simple,1.0
9,0,0.6906209987195902,0.06674788178513195,0.676056338028169,1.0,0.6388888888888888,3,25.5,1,1.5,3,3.477272727272727,3.5,2,8.940696716308594e-05,0.002457141876220703,5,baseline_simple,1.0
10,1,0.6760563380281689,1.1102230246251565e-16,0.676056338028169,0.676056338028169,0.6388888888888888,3,25.431818181818183,1,1.2045454545454546,3,3.1363636363636362,2.6363636363636362,2,7.796287536621094e-05,0.0022869110107421875,5,baseline_simple,1.0
