gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.7270091135045567,0.1252913430740198,0.6690140845070423,1.0,,3,27.176470588235293,1,5.882352941176471,3,6.411764705882353,18.235294117647058,2,0.0,0.004130125045776367,5,fec_simple_farthest_point,0.3
1,19,0.6994238156209988,0.09506179985643064,0.6690140845070423,1.0,0.6690140845070423,3,25.636363636363637,1,4.954545454545454,3,6.181818181818182,14.318181818181818,2,0.00011086463928222656,0.006647348403930664,5,fec_simple_farthest_point,0.3
2,19,0.6945422535211269,0.08496580532459,0.6690140845070423,1.0,0.6690140845070423,3,27.875,1,3.7083333333333335,3,5.583333333333333,11.333333333333334,2,9.989738464355469e-05,0.0050814151763916016,5,fec_simple_farthest_point,0.3
3,10,0.7138758476786647,0.10920158439139865,0.6690140845070423,1.0,0.6690140845070423,3,32.888888888888886,1,3.7777777777777777,3,5.814814814814815,11.777777777777779,2,0.00011348724365234375,0.004935741424560547,5,fec_simple_farthest_point,0.3
4,9,0.7212630622444345,0.11928019620922378,0.6690140845070423,1.0,0.6690140845070423,3,32.096774193548384,1,3.6129032258064515,3,5.096774193548387,9.96774193548387,2,0.00011420249938964844,0.005816459655761719,5,fec_simple_farthest_point,0.3
5,8,0.6784708249496982,0.05514179860316482,0.6690140845070423,1.0,0.6690140845070423,3,36.05714285714286,1,2.5142857142857142,3,4.371428571428571,6.714285714285714,2,0.00011277198791503906,0.005011081695556641,5,fec_simple_farthest_point,0.3
6,3,0.7029280948851002,0.09899914769701305,0.6690140845070423,1.0,0.6690140845070423,3,31.263157894736842,1,2.4473684210526314,3,4.184210526315789,6.2631578947368425,2,0.0001308917999267578,0.00458073616027832,5,fec_simple_farthest_point,0.3
7,4,0.6921061251228301,0.08432021029394958,0.6690140845070423,1.0,0.6690140845070423,3,30.906976744186046,1,2.4186046511627906,3,4.046511627906977,5.790697674418604,2,0.00011968612670898438,0.0038115978240966797,5,fec_simple_farthest_point,0.3
8,6,0.6710526315789473,0.012399997745233586,0.6690140845070423,0.7464788732394366,0.6690140845070423,3,26.0,1,1.605263157894737,3,3.5,3.8684210526315788,2,9.107589721679688e-05,0.0027005672454833984,5,fec_simple_farthest_point,0.3
9,2,0.6710003611412062,0.01224423149741039,0.6690140845070423,0.7464788732394366,0.6690140845070423,3,22.46153846153846,1,1.4615384615384615,3,3.4358974358974357,3.3846153846153846,2,7.748603820800781e-05,0.0022478103637695312,5,fec_simple_farthest_point,0.3
10,1,0.6763693270735525,0.048789159670329825,0.6690140845070423,1.0,0.6690140845070423,3,23.2,1,1.4666666666666666,3,3.4,3.488888888888889,2,0.00010585784912109375,0.0021696090698242188,5,fec_simple_farthest_point,0.3
