gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.8556338028169014,0.15671981045259076,0.676056338028169,1.0,,3,25.071428571428573,1,5.642857142857143,3,6.285714285714286,16.785714285714285,2,0.0,0.0020449161529541016,10,fec_simple_stratified,0.3
1,22,0.7570422535211268,0.14027172033128232,0.676056338028169,1.0,0.676056338028169,3,18.05,1,3.25,3,5.35,9.0,2,8.249282836914062e-05,0.003548860549926758,10,fec_simple_stratified,0.3
2,11,0.6876257545271629,0.06011645157054956,0.676056338028169,1.0,0.676056338028169,3,13.214285714285714,1,2.2857142857142856,3,4.142857142857143,5.5,2,7.486343383789062e-05,0.0021431446075439453,10,fec_simple_stratified,0.3
3,5,0.7023220403502093,0.08842353010366492,0.676056338028169,1.0,0.676056338028169,3,13.08108108108108,1,2.2162162162162162,3,4.135135135135135,5.324324324324325,2,7.343292236328125e-05,0.0021419525146484375,10,fec_simple_stratified,0.3
4,7,0.6845811712379539,0.051854536025522265,0.676056338028169,1.0,0.676056338028169,3,10.578947368421053,1,1.605263157894737,3,3.526315789473684,3.5526315789473686,2,7.700920104980469e-05,0.0017123222351074219,10,fec_simple_stratified,0.3
5,7,0.676056338028169,0.0,0.676056338028169,0.676056338028169,0.676056338028169,3,13.567567567567568,1,1.837837837837838,3,3.6216216216216215,3.864864864864865,2,7.581710815429688e-05,0.0018219947814941406,10,fec_simple_stratified,0.3
6,5,0.6839574029543112,0.04997072221495892,0.676056338028169,1.0,0.676056338028169,3,15.146341463414634,1,1.9268292682926829,3,3.6097560975609757,4.073170731707317,2,7.510185241699219e-05,0.0018188953399658203,10,fec_simple_stratified,0.3
7,9,0.6865061335756474,0.05723588742670978,0.676056338028169,1.0,0.676056338028169,3,18.258064516129032,1,1.6451612903225807,3,3.4193548387096775,3.3870967741935485,2,6.604194641113281e-05,0.0019466876983642578,10,fec_simple_stratified,0.3
8,4,0.6834186939820742,0.048278196561762486,0.676056338028169,1.0,0.676056338028169,3,20.295454545454547,1,1.5454545454545454,3,3.3863636363636362,3.272727272727273,2,6.699562072753906e-05,0.0019578933715820312,10,fec_simple_stratified,0.3
9,2,0.676056338028169,0.0,0.676056338028169,0.676056338028169,0.676056338028169,3,21.666666666666668,1,1.3333333333333333,3,3.238095238095238,2.8095238095238093,2,6.985664367675781e-05,0.001619100570678711,10,fec_simple_stratified,0.3
10,4,0.6841549295774648,0.050575688015198295,0.676056338028169,1.0,0.676056338028169,3,21.975,1,1.1,3,3.125,2.325,2,6.937980651855469e-05,0.001668691635131836,10,fec_simple_stratified,0.3
