gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.8583264291632146,0.15694780863748456,0.6549295774647887,1.0,,9,22.823529411764707,2,4.9411764705882355,5,6.529411764705882,15.294117647058824,6,0.0,0.004285573959350586,7,fec_simple_stratified,0.2
1,21,0.767102615694165,0.15466559469424,0.6549295774647887,1.0,0.6549295774647887,9,24.5,2,4.571428571428571,5,6.535714285714286,13.5,6,0.00011944770812988281,0.007957696914672852,7,fec_simple_stratified,0.2
2,21,0.7268192488262911,0.1401387684552932,0.6549295774647887,1.0,0.6549295774647887,9,23.833333333333332,2,4.5,5,6.5,12.041666666666666,6,0.00010371208190917969,0.006499528884887695,7,fec_simple_stratified,0.2
3,14,0.7072129748186086,0.12372510003067912,0.6549295774647887,1.0,0.6549295774647887,9,25.12121212121212,2,3.8484848484848486,5,6.242424242424242,10.909090909090908,6,0.00011134147644042969,0.006616115570068359,7,fec_simple_stratified,0.2
4,14,0.673385138416707,0.06497675783144057,0.6549295774647887,1.0,0.6549295774647887,9,24.655172413793103,2,4.103448275862069,5,6.275862068965517,11.137931034482758,6,0.00011348724365234375,0.005370616912841797,7,fec_simple_stratified,0.2
5,13,0.75329395729214,0.15172097613474095,0.6549295774647887,1.0,0.6549295774647887,9,27.93548387096774,2,4.32258064516129,5,6.516129032258065,11.838709677419354,6,0.00011086463928222656,0.006234169006347656,7,fec_simple_stratified,0.2
6,8,0.7484154929577465,0.1503730359488961,0.6549295774647887,1.0,0.6549295774647887,9,28.5,2,4.675,5,6.7,12.45,6,0.00010728836059570312,0.007130622863769531,7,fec_simple_stratified,0.2
7,10,0.7327555074033947,0.135036873641185,0.6549295774647887,1.0,0.6549295774647887,9,26.17948717948718,2,4.384615384615385,5,6.358974358974359,11.512820512820513,6,0.0001163482666015625,0.0067365169525146484,7,fec_simple_stratified,0.2
8,8,0.7287055667337358,0.13540149553756095,0.6549295774647887,1.0,0.6549295774647887,9,27.428571428571427,2,5.238095238095238,5,6.738095238095238,13.595238095238095,6,0.00012063980102539062,0.007743120193481445,7,fec_simple_stratified,0.2
9,5,0.7446773665247298,0.1464578727108048,0.6549295774647887,1.0,0.6549295774647887,9,26.953488372093023,2,4.6976744186046515,5,6.534883720930233,12.093023255813954,6,0.00012445449829101562,0.007967710494995117,7,fec_simple_stratified,0.2
10,2,0.7560819462227915,0.1531742821373992,0.6549295774647887,1.0,0.6549295774647887,9,27.068181818181817,2,4.75,5,6.795454545454546,13.090909090909092,6,0.00012421607971191406,0.007876396179199219,7,fec_simple_stratified,0.2
