gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,0.7874896437448219,0.16811822943908256,0.647887323943662,1.0,,3,25.41176470588235,1,5.411764705882353,3,6.176470588235294,17.058823529411764,2,0.0,0.0029091835021972656,2,baseline_simple,1.0
1,18,0.6958288190682557,0.11505511220336552,0.647887323943662,1.0,0.75,3,22.46153846153846,1,3.0,3,4.6923076923076925,8.653846153846153,2,0.00010919570922851562,0.005185842514038086,2,baseline_simple,1.0
2,10,0.6478873239436621,1.1102230246251565e-16,0.647887323943662,0.647887323943662,0.75,3,18.205882352941178,1,1.7058823529411764,3,3.6470588235294117,4.4411764705882355,2,0.0001087188720703125,0.003045320510864258,2,baseline_simple,1.0
3,3,0.6478873239436621,1.1102230246251565e-16,0.647887323943662,0.647887323943662,0.75,3,18.61904761904762,1,1.3095238095238095,3,3.357142857142857,3.1666666666666665,2,0.00010538101196289062,0.00311279296875,2,baseline_simple,1.0
4,3,0.6562709590878606,0.05368145738961141,0.647887323943662,1.0,0.75,3,19.452380952380953,1,1.1666666666666667,3,3.238095238095238,2.5952380952380953,2,0.00010585784912109375,0.0028252601623535156,2,baseline_simple,1.0
5,6,0.6562709590878606,0.0536814573896114,0.647887323943662,1.0,0.75,3,21.595238095238095,1,1.1428571428571428,3,3.2142857142857144,2.5,2,9.34600830078125e-05,0.002591371536254883,2,baseline_simple,1.0
6,3,0.6560759908286932,0.05306862674752587,0.647887323943662,1.0,0.75,3,20.046511627906977,1,1.069767441860465,3,3.1627906976744184,2.302325581395349,2,9.608268737792969e-05,0.0025725364685058594,2,baseline_simple,1.0
7,4,0.6478873239436621,1.1102230246251565e-16,0.647887323943662,0.647887323943662,0.75,3,19.657894736842106,1,1.0,3,3.0,2.0,2,0.00011801719665527344,0.002604961395263672,2,baseline_simple,1.0
8,3,0.6478873239436621,1.1102230246251565e-16,0.647887323943662,0.647887323943662,0.75,3,21.97826086956522,1,1.0,3,3.0,2.0,2,0.00010204315185546875,0.002378702163696289,2,baseline_simple,1.0
9,1,0.6478873239436621,1.1102230246251565e-16,0.647887323943662,0.647887323943662,0.75,3,20.456521739130434,1,1.0,3,3.0,2.0,2,0.00010061264038085938,0.002583742141723633,2,baseline_simple,1.0
10,0,0.6478873239436621,1.1102230246251565e-16,0.647887323943662,0.647887323943662,0.75,3,22.404255319148938,1,1.0,3,3.0,2.0,2,0.00010943412780761719,0.0024971961975097656,2,baseline_simple,1.0
