run,gen,phenotype,hit,phenotype_in_cache,fitness_cached,cache_key,fitness_full_train,fake_hit,fitness_diff
4,0,x[4],False,,,6ecf037e677b42daf3378d739769c917,1.0,False,0.0
4,0,x[6],False,,,bd2bc0d9792c1153a4610e69959b2266,1.0,False,0.0
4,0,x[6],True,x[6],1.0,bd2bc0d9792c1153a4610e69959b2266,,,
4,0,x[9],False,,,301eaf40e1de30a15f1446c0d97dc45c,1.0,False,0.0
4,0,x[8],False,,,0d2e6227e04bf87ebb7c661d47ab91e3,1.0,False,0.0
4,0,x[12],False,,,e411ade5e065c9c93d56cbe8b7a81ca0,1.0,False,0.0
4,0,x[10],False,,,ec4101d4bc2485cb308155b3984f1145,1.0,False,0.0
4,0,x[11],False,,,68872f5409dd8ade6b518cbbcad41f22,1.0,False,0.0
4,0,x[9],True,x[9],1.0,301eaf40e1de30a15f1446c0d97dc45c,,,
4,0,x[1],False,,,c932e831c257a3a9baeeab9d6be3e697,1.0,False,0.0
4,0,x[4],True,x[4],1.0,6ecf037e677b42daf3378d739769c917,,,
4,0,x[1],True,x[1],1.0,c932e831c257a3a9baeeab9d6be3e697,,,
4,0,x[11],True,x[11],1.0,68872f5409dd8ade6b518cbbcad41f22,,,
4,0,x[11],True,x[11],1.0,68872f5409dd8ade6b518cbbcad41f22,,,
4,0,x[6],True,x[6],1.0,bd2bc0d9792c1153a4610e69959b2266,,,
4,0,x[8],True,x[8],1.0,0d2e6227e04bf87ebb7c661d47ab91e3,,,
4,0,not_(x[1]),False,,,0973abcae93a0c7945269c99642cf424,1.0,False,0.0
4,0,not_(x[8]),True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,not_(x[11]),True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,x[8],True,x[8],1.0,0d2e6227e04bf87ebb7c661d47ab91e3,,,
4,0,x[10],True,x[10],1.0,ec4101d4bc2485cb308155b3984f1145,,,
4,0,not_(x[4]),True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,x[10],True,x[10],1.0,ec4101d4bc2485cb308155b3984f1145,,,
4,0,not_(x[12]),True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,not_(x[1]),True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,not_(x[10]),True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,"and_(x[1],x[12])",False,,,1454ba2618f8562d2dcde7583c2393d1,1.0,False,0.0
4,0,not_(x[4]),True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,x[11],True,x[11],1.0,68872f5409dd8ade6b518cbbcad41f22,,,
4,0,not_(x[6]),True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,not_(x[4]),True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,"less_than_or_equal(x[2],x[3])",False,,,2956cd46cc489ac3a8683e86b65336e3,1.0,False,0.0
4,0,"less_than_or_equal(x[0],x[2])",False,,,b1dda62e68e1a8d01d91e5e6c66a16a5,1.0,False,0.0
4,0,"and_(x[10],not_(x[4]))",True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,"less_than_or_equal(x[7],x[7])",True,"and_(x[1],x[12])",1.0,1454ba2618f8562d2dcde7583c2393d1,,,
4,0,x[9],True,x[9],1.0,301eaf40e1de30a15f1446c0d97dc45c,,,
4,0,"or_(not_(x[9]),not_(x[6]))",True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,x[11],True,x[11],1.0,68872f5409dd8ade6b518cbbcad41f22,,,
4,0,x[6],True,x[6],1.0,bd2bc0d9792c1153a4610e69959b2266,,,
4,0,"less_than_or_equal(x[3],x[3])",True,"and_(x[1],x[12])",1.0,1454ba2618f8562d2dcde7583c2393d1,,,
4,0,"less_than_or_equal(x[0],x[2])",True,"less_than_or_equal(x[0],x[2])",1.0,b1dda62e68e1a8d01d91e5e6c66a16a5,,,
4,0,"not_(or_(x[10],x[10]))",True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,"greater_than_or_equal(x[7], x[7])",True,"and_(x[1],x[12])",1.0,1454ba2618f8562d2dcde7583c2393d1,,,
4,0,x[1],True,x[1],1.0,c932e831c257a3a9baeeab9d6be3e697,,,
4,0,"less_than_or_equal(x[7],x[7])",True,"and_(x[1],x[12])",1.0,1454ba2618f8562d2dcde7583c2393d1,,,
4,0,not_(not_(x[6])),True,"and_(x[1],x[12])",1.0,1454ba2618f8562d2dcde7583c2393d1,,,
4,0,x[11],True,x[11],1.0,68872f5409dd8ade6b518cbbcad41f22,,,
4,0,"less_than_or_equal(x[0],x[5])",True,"and_(x[1],x[12])",1.0,1454ba2618f8562d2dcde7583c2393d1,,,
4,0,not_(not_(x[9])),True,"and_(x[1],x[12])",1.0,1454ba2618f8562d2dcde7583c2393d1,,,
4,0,"not_(greater_than_or_equal(x[0], x[5]))",True,"and_(x[1],x[12])",1.0,1454ba2618f8562d2dcde7583c2393d1,,,
4,0,"and_(less_than_or_equal(x[3],x[2]),x[9])",False,,,71a7e704a83a353b44d7f19723987324,1.0,False,0.0
4,0,"less_than_or_equal(mul(x[2],x[0]),pdiv(x[3],x[3]))",True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,"less_than_or_equal(mul(x[3],x[7]),x[7])",True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,"less_than_or_equal(pdiv(x[3],x[0]),pdiv(x[5],x[0]))",True,"and_(x[1],x[12])",1.0,1454ba2618f8562d2dcde7583c2393d1,,,
4,0,"less_than_or_equal(x[5],pdiv(x[3],x[2]))",True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,"less_than_or_equal(mul(x[2],x[3]),x[7])",False,,,88980cdd7170106eb0f0541140dcea22,1.0,False,0.0
4,0,not_(not_(x[1])),True,"and_(x[1],x[12])",1.0,1454ba2618f8562d2dcde7583c2393d1,,,
4,0,"greater_than_or_equal(mul(x[3],x[2]), mul(x[0],x[7]))",False,,,a724e774870d5f777c24e5cba87f397a,1.0,False,0.0
4,0,"greater_than_or_equal(mul(x[7],x[5]), add(x[0],x[0]))",True,"and_(x[1],x[12])",1.0,1454ba2618f8562d2dcde7583c2393d1,,,
4,0,not_(not_(not_(x[4]))),True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
4,0,"less_than_or_equal(mul(x[7],x[2]),pdiv(x[7],x[5]))",True,not_(x[1]),1.0,0973abcae93a0c7945269c99642cf424,,,
