gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,1.0,0.0,1.0,1.0,,3,21.480392156862745,1,4.745098039215686,3,5.8431372549019605,14.411764705882353,2,0.0,0.027134180068969727,3,fec_simple_farthest_point,0.4
1,207,1.0,0.0,1.0,1.0,1.0,3,22.090534979423868,1,3.691358024691358,3,5.378600823045267,10.88888888888889,2,0.0009865760803222656,0.04810142517089844,3,fec_simple_farthest_point,0.4
2,146,1.0,0.0,1.0,1.0,1.0,3,22.976271186440677,1,3.077966101694915,3,4.969491525423729,8.633898305084745,2,0.000978231430053711,0.045143842697143555,3,fec_simple_farthest_point,0.4
3,100,1.0,0.0,1.0,1.0,1.0,3,23.395209580838323,1,2.904191616766467,3,4.81437125748503,7.823353293413174,2,0.0012388229370117188,0.045411109924316406,3,fec_simple_farthest_point,0.4
4,109,1.0,0.0,1.0,1.0,1.0,3,24.43125,1,2.7,3,4.690625,7.215625,2,0.0012009143829345703,0.04416680335998535,3,fec_simple_farthest_point,0.4
5,75,1.0,0.0,1.0,1.0,1.0,3,26.278735632183906,1,2.5919540229885056,3,4.540229885057471,6.833333333333333,2,0.0012543201446533203,0.04130244255065918,3,fec_simple_farthest_point,0.4
6,59,1.0,0.0,1.0,1.0,1.0,3,27.01876675603217,1,2.4638069705093835,3,4.394101876675603,6.369973190348525,2,0.001241922378540039,0.04422903060913086,3,fec_simple_farthest_point,0.4
7,51,1.0,0.0,1.0,1.0,1.0,3,28.716145833333332,1,2.5182291666666665,3,4.4609375,6.575520833333333,2,0.0012307167053222656,0.04350852966308594,3,fec_simple_farthest_point,0.4
8,65,1.0,0.0,1.0,1.0,1.0,3,28.24867724867725,1,2.394179894179894,3,4.338624338624339,6.108465608465608,2,0.0012898445129394531,0.0456082820892334,3,fec_simple_farthest_point,0.4
9,44,1.0,0.0,1.0,1.0,1.0,3,28.45618556701031,1,2.2963917525773194,3,4.211340206185567,5.742268041237113,2,0.0013022422790527344,0.044043779373168945,3,fec_simple_farthest_point,0.4
