gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,1.0,0.0,1.0,1.0,,3,22.215311004784688,1,4.937799043062201,3,5.794258373205742,14.913875598086124,2,0.0,0.025016069412231445,2,fec_simple_stratified,0.2
1,204,1.0,0.0,1.0,1.0,1.0,3,23.55823293172691,1,4.040160642570281,3,5.429718875502008,11.855421686746988,2,0.0009593963623046875,0.04888343811035156,2,fec_simple_stratified,0.2
2,161,1.0,0.0,1.0,1.0,1.0,3,24.12962962962963,1,3.22962962962963,3,4.948148148148148,9.085185185185185,2,0.0009264945983886719,0.045868635177612305,2,fec_simple_stratified,0.2
3,101,1.0,0.0,1.0,1.0,1.0,3,22.62111801242236,1,2.5372670807453415,3,4.428571428571429,6.77639751552795,2,0.0012257099151611328,0.04433321952819824,2,fec_simple_stratified,0.2
4,83,1.0,0.0,1.0,1.0,1.0,3,22.687116564417177,1,2.1595092024539877,3,4.153374233128834,5.677914110429448,2,0.0012581348419189453,0.04017305374145508,2,fec_simple_stratified,0.2
5,63,1.0,0.0,1.0,1.0,1.0,3,22.627397260273973,1,1.7835616438356163,3,3.8767123287671232,4.473972602739726,2,0.0012898445129394531,0.03726363182067871,2,fec_simple_stratified,0.2
6,51,1.0,0.0,1.0,1.0,1.0,3,23.065274151436032,1,1.6266318537859008,3,3.720626631853786,3.9738903394255876,2,0.0012345314025878906,0.036792755126953125,2,fec_simple_stratified,0.2
7,43,1.0,0.0,1.0,1.0,1.0,3,22.135064935064936,1,1.4025974025974026,3,3.5116883116883115,3.303896103896104,2,0.0013267993927001953,0.03423738479614258,2,fec_simple_stratified,0.2
8,29,1.0,0.0,1.0,1.0,1.0,3,22.860189573459717,1,1.3056872037914693,3,3.424170616113744,3.042654028436019,2,0.0012764930725097656,0.034319162368774414,2,fec_simple_stratified,0.2
9,35,1.0,0.0,1.0,1.0,1.0,3,22.929268292682927,1,1.2829268292682927,3,3.346341463414634,2.8804878048780487,2,0.0012903213500976562,0.033907175064086914,2,fec_simple_stratified,0.2
10,21,1.0,0.0,1.0,1.0,1.0,3,22.39808153477218,1,1.2182254196642686,3,3.287769784172662,2.707434052757794,2,0.0013859272003173828,0.03167557716369629,2,fec_simple_stratified,0.2
11,19,1.0,0.0,1.0,1.0,1.0,3,22.002309468822173,1,1.1108545034642032,3,3.168591224018476,2.394919168591224,2,0.0012912750244140625,0.03163647651672363,2,fec_simple_stratified,0.2
12,20,1.0,0.0,1.0,1.0,1.0,3,22.391402714932127,1,1.1018099547511313,3,3.1085972850678734,2.2963800904977374,2,0.001325845718383789,0.031557559967041016,2,fec_simple_stratified,0.2
13,10,1.0,0.0,1.0,1.0,1.0,3,21.83295711060948,1,1.1196388261851016,3,3.1376975169300225,2.36568848758465,2,0.0012993812561035156,0.03186964988708496,2,fec_simple_stratified,0.2
14,22,1.0,0.0,1.0,1.0,1.0,3,21.970786516853934,1,1.1730337078651685,3,3.1797752808988764,2.507865168539326,2,0.0013804435729980469,0.03197121620178223,2,fec_simple_stratified,0.2
