run,gen,phenotype,hit,phenotype_in_cache,fitness_cached,cache_key,fitness_full_train,fake_hit,fitness_diff
1,0,x[8],False,,,f0d141d0f03b7500df4447cfc0dc9317,1.0,False,0.0
1,0,x[9],False,,,55ad45d489bacb4d28e36cb12925c4e3,1.0,False,0.0
1,0,x[1],False,,,d92b75fbdfd6910d7df2dfdf2b5f768f,1.0,False,0.0
1,0,x[12],False,,,3a2cda937147f39db92b85688b36d29c,1.0,False,0.0
1,0,x[1],True,x[1],1.0,d92b75fbdfd6910d7df2dfdf2b5f768f,1.0,False,0.0
1,0,x[6],False,,,9bfd767a17b6164a91a9dc2bf5ed1cfe,1.0,False,0.0
1,0,x[11],False,,,ff57c68f1ad03bd5ab1b3bac0d5a472f,1.0,False,0.0
1,0,x[1],True,x[1],1.0,d92b75fbdfd6910d7df2dfdf2b5f768f,1.0,False,0.0
1,0,x[10],False,,,96f4ae44013522073052ff80f3d5d76d,1.0,False,0.0
1,0,x[4],False,,,2328b79d9330d445fa9d712e80bdad0f,1.0,False,0.0
1,0,x[6],True,x[6],1.0,9bfd767a17b6164a91a9dc2bf5ed1cfe,1.0,False,0.0
1,0,x[9],True,x[9],1.0,55ad45d489bacb4d28e36cb12925c4e3,1.0,False,0.0
1,0,x[11],True,x[11],1.0,ff57c68f1ad03bd5ab1b3bac0d5a472f,1.0,False,0.0
1,0,x[12],True,x[12],1.0,3a2cda937147f39db92b85688b36d29c,1.0,False,0.0
1,0,x[12],True,x[12],1.0,3a2cda937147f39db92b85688b36d29c,1.0,False,0.0
1,0,x[12],True,x[12],1.0,3a2cda937147f39db92b85688b36d29c,1.0,False,0.0
1,0,"and_(x[6],x[9])",False,,,e36c9638ce856f140d8996cc0fc36b9e,1.0,False,0.0
1,0,not_(x[1]),False,,,c0d35f5942a5f4a9e46e07c0d9d59153,1.0,False,0.0
1,0,"and_(x[9],x[11])",True,"and_(x[6],x[9])",1.0,e36c9638ce856f140d8996cc0fc36b9e,1.0,False,0.0
1,0,"or_(x[1],x[12])",True,"and_(x[6],x[9])",1.0,e36c9638ce856f140d8996cc0fc36b9e,1.0,False,0.0
1,0,"or_(x[1],x[1])",True,"and_(x[6],x[9])",1.0,e36c9638ce856f140d8996cc0fc36b9e,1.0,False,0.0
1,0,x[4],True,x[4],1.0,2328b79d9330d445fa9d712e80bdad0f,1.0,False,0.0
1,0,"and_(x[4],x[11])",True,"and_(x[6],x[9])",1.0,e36c9638ce856f140d8996cc0fc36b9e,1.0,False,0.0
1,0,not_(x[9]),True,not_(x[1]),1.0,c0d35f5942a5f4a9e46e07c0d9d59153,1.0,False,0.0
1,0,x[1],True,x[1],1.0,d92b75fbdfd6910d7df2dfdf2b5f768f,1.0,False,0.0
1,0,not_(x[10]),True,not_(x[1]),1.0,c0d35f5942a5f4a9e46e07c0d9d59153,1.0,False,0.0
1,0,not_(x[1]),True,not_(x[1]),1.0,c0d35f5942a5f4a9e46e07c0d9d59153,1.0,False,0.0
1,0,not_(x[10]),True,not_(x[1]),1.0,c0d35f5942a5f4a9e46e07c0d9d59153,1.0,False,0.0
1,0,"and_(x[11],x[6])",True,"and_(x[6],x[9])",1.0,e36c9638ce856f140d8996cc0fc36b9e,1.0,False,0.0
1,0,"less_than_or_equal(x[0],x[3])",False,,,212e47f287823022da7cb9fe5a935306,1.0,False,0.0
1,0,"less_than_or_equal(x[3],x[0])",False,,,c5654ee8d6d44a6f9e98792538052e51,1.0,False,0.0
1,0,"and_(x[12],and_(x[8],x[11]))",True,"and_(x[6],x[9])",1.0,e36c9638ce856f140d8996cc0fc36b9e,1.0,False,0.0
1,0,x[11],True,x[11],1.0,ff57c68f1ad03bd5ab1b3bac0d5a472f,1.0,False,0.0
1,0,"less_than_or_equal(x[3],x[2])",False,,,8c07a580b88113e3ea8fe33e2a72f452,1.0,False,0.0
1,0,not_(not_(x[6])),True,"and_(x[6],x[9])",1.0,e36c9638ce856f140d8996cc0fc36b9e,1.0,False,0.0
1,0,"less_than_or_equal(x[3],x[5])",True,"and_(x[6],x[9])",1.0,e36c9638ce856f140d8996cc0fc36b9e,1.0,False,0.0
1,0,x[6],True,x[6],1.0,9bfd767a17b6164a91a9dc2bf5ed1cfe,1.0,False,0.0
1,0,"greater_than_or_equal(x[5], x[3])",True,"and_(x[6],x[9])",1.0,e36c9638ce856f140d8996cc0fc36b9e,1.0,False,0.0
1,0,"less_than_or_equal(x[3],x[2])",True,"less_than_or_equal(x[3],x[2])",1.0,8c07a580b88113e3ea8fe33e2a72f452,1.0,False,0.0
1,0,not_(not_(x[1])),True,"and_(x[6],x[9])",1.0,e36c9638ce856f140d8996cc0fc36b9e,1.0,False,0.0
