gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,1.0,0.0,1.0,1.0,,3,21.0,1,4.64321608040201,3,5.8291457286432165,14.110552763819095,2,0.0,0.09540414810180664,6,fec_simple_farthest_point,0.4
1,198,1.0,0.0,1.0,1.0,1.0,3,21.788235294117648,1,3.8705882352941177,3,5.411764705882353,11.2,2,0.004091501235961914,0.14897489547729492,6,fec_simple_farthest_point,0.4
2,158,1.0,0.0,1.0,1.0,1.0,3,22.901360544217688,1,3.1258503401360542,3,4.948979591836735,8.846938775510203,2,0.004044771194458008,0.1487741470336914,6,fec_simple_farthest_point,0.4
3,92,1.0,0.0,1.0,1.0,1.0,3,24.523668639053255,1,2.7544378698224854,3,4.846153846153846,7.65680473372781,2,0.0045337677001953125,0.15645170211791992,6,fec_simple_farthest_point,0.4
4,78,1.0,0.0,1.0,1.0,1.0,3,25.669540229885058,1,2.8045977011494254,3,4.761494252873563,7.60632183908046,2,0.004352569580078125,0.1507580280303955,6,fec_simple_farthest_point,0.4
5,68,1.0,0.0,1.0,1.0,1.0,3,27.335211267605633,1,2.870422535211268,3,4.783098591549296,7.650704225352112,2,0.0013511180877685547,0.15793609619140625,6,fec_simple_farthest_point,0.4
6,71,1.0,0.0,1.0,1.0,1.0,3,28.62674094707521,1,2.735376044568245,3,4.629526462395543,7.22841225626741,2,0.0013539791107177734,0.15691804885864258,6,fec_simple_farthest_point,0.4
7,53,1.0,0.0,1.0,1.0,1.0,3,29.242021276595743,1,2.6382978723404253,3,4.513297872340425,6.872340425531915,2,0.004644632339477539,0.16189980506896973,6,fec_simple_farthest_point,0.4
8,48,1.0,0.0,1.0,1.0,1.0,3,29.2680412371134,1,2.5051546391752577,3,4.358247422680412,6.440721649484536,2,0.001371145248413086,0.15059924125671387,6,fec_simple_farthest_point,0.4
9,45,1.0,0.0,1.0,1.0,1.0,3,30.77319587628866,1,2.6288659793814433,3,4.378865979381444,6.708762886597938,2,0.0045201778411865234,0.14909863471984863,6,fec_simple_farthest_point,0.4
10,48,1.0,0.0,1.0,1.0,1.0,3,31.498708010335918,1,2.5193798449612403,3,4.392764857881137,6.48578811369509,2,0.004494190216064453,0.1437211036682129,6,fec_simple_farthest_point,0.4
11,35,1.0,0.0,1.0,1.0,1.0,3,31.690954773869347,1,2.5653266331658293,3,4.326633165829146,6.4798994974874375,2,0.004361152648925781,0.14304089546203613,6,fec_simple_farthest_point,0.4
12,45,1.0,0.0,1.0,1.0,1.0,3,32.6075,1,2.33,3,4.1925,5.945,2,0.004363536834716797,0.13777470588684082,6,fec_simple_farthest_point,0.4
13,41,1.0,0.0,1.0,1.0,1.0,3,32.70792079207921,1,2.1633663366336635,3,4.01980198019802,5.336633663366337,2,0.0013093948364257812,0.1351480484008789,6,fec_simple_farthest_point,0.4
14,26,1.0,0.0,1.0,1.0,1.0,3,32.43778801843318,1,1.9838709677419355,3,3.9009216589861753,4.877880184331797,2,0.0012135505676269531,0.1317894458770752,6,fec_simple_farthest_point,0.4
15,32,1.0,0.0,1.0,1.0,1.0,3,33.28743961352657,1,1.8429951690821256,3,3.821256038647343,4.519323671497585,2,0.0013194084167480469,0.13286972045898438,6,fec_simple_farthest_point,0.4
16,32,1.0,0.0,1.0,1.0,1.0,3,34.23543689320388,1,1.7742718446601942,3,3.7645631067961167,4.366504854368932,2,0.0043888092041015625,0.23775172233581543,6,fec_simple_farthest_point,0.4
17,29,1.0,0.0,1.0,1.0,1.0,3,35.58111380145279,1,1.8450363196125907,3,3.736077481840194,4.4891041162227605,2,0.004439830780029297,0.13874578475952148,6,fec_simple_farthest_point,0.4
18,20,1.0,0.0,1.0,1.0,1.0,3,36.39110070257611,1,1.7704918032786885,3,3.6814988290398127,4.2716627634660425,2,0.0016331672668457031,0.13860344886779785,6,fec_simple_farthest_point,0.4
19,17,1.0,0.0,1.0,1.0,1.0,3,36.418552036199095,1,1.5950226244343892,3,3.5429864253393664,3.742081447963801,2,0.0013170242309570312,0.13941097259521484,6,fec_simple_farthest_point,0.4
20,20,1.0,0.0,1.0,1.0,1.0,3,35.29930394431555,1,1.640371229698376,3,3.6426914153132253,3.9675174013921115,2,0.0015294551849365234,0.14025044441223145,6,fec_simple_farthest_point,0.4
21,18,1.0,0.0,1.0,1.0,1.0,3,34.38837209302326,1,1.669767441860465,3,3.6767441860465118,4.116279069767442,2,0.0014033317565917969,0.14003324508666992,6,fec_simple_farthest_point,0.4
