run,gen,phenotype,hit,phenotype_in_cache,fitness_cached,cache_key,fitness_full_train,fake_hit,fitness_diff
3,0,x[6],False,,,ef326dd8f7562cca21b03aea14b0512b,1.0,False,0.0
3,0,x[6],True,x[6],1.0,ef326dd8f7562cca21b03aea14b0512b,,,
3,0,x[8],False,,,eb708dd638da38abcf166ee50c21c31d,1.0,False,0.0
3,0,x[10],False,,,5a564d1788ba043f9c317ad91a14b160,1.0,False,0.0
3,0,x[8],True,x[8],1.0,eb708dd638da38abcf166ee50c21c31d,,,
3,0,x[12],False,,,bf927a9263bd7a0d6daa2ff579eabeb0,1.0,False,0.0
3,0,x[10],True,x[10],1.0,5a564d1788ba043f9c317ad91a14b160,,,
3,0,x[8],True,x[8],1.0,eb708dd638da38abcf166ee50c21c31d,,,
3,0,x[11],False,,,5ef27e783e4a34c69879ff60a76ca0b5,1.0,False,0.0
3,0,x[11],True,x[11],1.0,5ef27e783e4a34c69879ff60a76ca0b5,,,
3,0,x[1],False,,,f74944d4177c444ece57fc731fdbbcb4,1.0,False,0.0
3,0,x[11],True,x[11],1.0,5ef27e783e4a34c69879ff60a76ca0b5,,,
3,0,x[4],False,,,43aa36c5a6fa03630e6751eed250ee5f,1.0,False,0.0
3,0,x[12],True,x[12],1.0,bf927a9263bd7a0d6daa2ff579eabeb0,,,
3,0,not_(x[12]),False,,,f9d41ee140a0d250fc1f286a56fce052,1.0,False,0.0
3,0,"and_(x[9],x[9])",False,,,4d50ac4d3fee4b3fc0f648dc0d8cfb69,1.0,False,0.0
3,0,"and_(x[1],x[1])",True,"and_(x[9],x[9])",1.0,4d50ac4d3fee4b3fc0f648dc0d8cfb69,,,
3,0,not_(x[9]),True,not_(x[12]),1.0,f9d41ee140a0d250fc1f286a56fce052,,,
3,0,"or_(x[6],x[6])",True,"and_(x[9],x[9])",1.0,4d50ac4d3fee4b3fc0f648dc0d8cfb69,,,
3,0,not_(x[6]),True,not_(x[12]),1.0,f9d41ee140a0d250fc1f286a56fce052,,,
3,0,x[1],True,x[1],1.0,f74944d4177c444ece57fc731fdbbcb4,,,
3,0,x[6],True,x[6],1.0,ef326dd8f7562cca21b03aea14b0512b,,,
3,0,not_(x[9]),True,not_(x[12]),1.0,f9d41ee140a0d250fc1f286a56fce052,,,
3,0,x[8],True,x[8],1.0,eb708dd638da38abcf166ee50c21c31d,,,
3,0,not_(x[8]),True,not_(x[12]),1.0,f9d41ee140a0d250fc1f286a56fce052,,,
3,0,x[4],True,x[4],1.0,43aa36c5a6fa03630e6751eed250ee5f,,,
3,0,x[4],True,x[4],1.0,43aa36c5a6fa03630e6751eed250ee5f,,,
3,0,not_(x[9]),True,not_(x[12]),1.0,f9d41ee140a0d250fc1f286a56fce052,,,
3,0,"and_(x[12],not_(x[9]))",True,not_(x[12]),1.0,f9d41ee140a0d250fc1f286a56fce052,,,
3,0,"less_than_or_equal(x[2],x[0])",False,,,54e4b3088326e44f322a9b694ee699b4,1.0,False,0.0
3,0,x[12],True,x[12],1.0,bf927a9263bd7a0d6daa2ff579eabeb0,,,
3,0,x[11],True,x[11],1.0,5ef27e783e4a34c69879ff60a76ca0b5,,,
3,0,"greater_than_or_equal(x[7], x[0])",False,,,fe041bfd632417ad3d1dd310921a75d4,1.0,False,0.0
3,0,"greater_than_or_equal(x[2], x[2])",True,"and_(x[9],x[9])",1.0,4d50ac4d3fee4b3fc0f648dc0d8cfb69,,,
3,0,"greater_than_or_equal(x[5], x[7])",True,"and_(x[9],x[9])",1.0,4d50ac4d3fee4b3fc0f648dc0d8cfb69,,,
3,0,"less_than_or_equal(x[7],x[7])",True,"and_(x[9],x[9])",1.0,4d50ac4d3fee4b3fc0f648dc0d8cfb69,,,
3,0,x[4],True,x[4],1.0,43aa36c5a6fa03630e6751eed250ee5f,,,
3,0,x[10],True,x[10],1.0,5a564d1788ba043f9c317ad91a14b160,,,
3,0,"less_than_or_equal(x[3],x[7])",False,,,835576694ff05164deb43d3d27575819,1.0,False,0.0
