run,gen,phenotype,hit,phenotype_in_cache,fitness_cached,cache_key,fitness_full_train,fake_hit,fitness_diff
5,0,x[10],False,,,769ef954b750b13b2b2449794ed8c2ba,1.0,False,0.0
5,0,x[8],False,,,1d0edbe4befc4feddaa918031bbc1cc5,1.0,False,0.0
5,0,x[1],False,,,fcb460098b0a7763b6c197ba0107916f,1.0,False,0.0
5,0,x[11],False,,,287ce478a0ceafdc0e0c7ffce56266df,1.0,False,0.0
5,0,x[4],False,,,f3ba5fa36c9215e4f16945f4b27117d8,1.0,False,0.0
5,0,x[4],True,x[4],1.0,f3ba5fa36c9215e4f16945f4b27117d8,,,
5,0,x[1],True,x[1],1.0,fcb460098b0a7763b6c197ba0107916f,,,
5,0,x[4],True,x[4],1.0,f3ba5fa36c9215e4f16945f4b27117d8,,,
5,0,x[11],True,x[11],1.0,287ce478a0ceafdc0e0c7ffce56266df,,,
5,0,x[11],True,x[11],1.0,287ce478a0ceafdc0e0c7ffce56266df,,,
5,0,x[8],True,x[8],1.0,1d0edbe4befc4feddaa918031bbc1cc5,,,
5,0,x[11],True,x[11],1.0,287ce478a0ceafdc0e0c7ffce56266df,,,
5,0,x[11],True,x[11],1.0,287ce478a0ceafdc0e0c7ffce56266df,,,
5,0,x[11],True,x[11],1.0,287ce478a0ceafdc0e0c7ffce56266df,,,
5,0,x[8],True,x[8],1.0,1d0edbe4befc4feddaa918031bbc1cc5,,,
5,0,x[1],True,x[1],1.0,fcb460098b0a7763b6c197ba0107916f,,,
5,0,x[8],True,x[8],1.0,1d0edbe4befc4feddaa918031bbc1cc5,,,
5,0,x[9],False,,,0f2e6d69d808da70987dcb31fb3ffc49,1.0,False,0.0
5,0,x[1],True,x[1],1.0,fcb460098b0a7763b6c197ba0107916f,,,
5,0,x[10],True,x[10],1.0,769ef954b750b13b2b2449794ed8c2ba,,,
5,0,not_(x[11]),False,,,a6f6bcab4af118e97d82f56f1efe6be5,1.0,False,0.0
5,0,not_(x[6]),True,not_(x[11]),1.0,a6f6bcab4af118e97d82f56f1efe6be5,,,
5,0,x[6],False,,,bd86ac7958c265e971e09caf1a136967,1.0,False,0.0
5,0,x[6],True,x[6],1.0,bd86ac7958c265e971e09caf1a136967,,,
5,0,not_(x[9]),True,not_(x[11]),1.0,a6f6bcab4af118e97d82f56f1efe6be5,,,
5,0,"and_(x[1],x[1])",False,,,40839bb33554c173522af37a44a2a16c,1.0,False,0.0
5,0,x[10],True,x[10],1.0,769ef954b750b13b2b2449794ed8c2ba,,,
5,0,"and_(x[4],x[11])",True,"and_(x[1],x[1])",1.0,40839bb33554c173522af37a44a2a16c,,,
5,0,x[10],True,x[10],1.0,769ef954b750b13b2b2449794ed8c2ba,,,
5,0,not_(x[9]),True,not_(x[11]),1.0,a6f6bcab4af118e97d82f56f1efe6be5,,,
5,0,"or_(x[1],x[11])",True,"and_(x[1],x[1])",1.0,40839bb33554c173522af37a44a2a16c,,,
5,0,x[1],True,x[1],1.0,fcb460098b0a7763b6c197ba0107916f,,,
5,0,"and_(x[12],x[9])",True,"and_(x[1],x[1])",1.0,40839bb33554c173522af37a44a2a16c,,,
5,0,"or_(x[10],x[6])",True,"and_(x[1],x[1])",1.0,40839bb33554c173522af37a44a2a16c,,,
5,0,x[12],False,,,acf84ffd81b8594d86a12d0e8e9e3c42,1.0,False,0.0
5,0,not_(x[1]),True,not_(x[11]),1.0,a6f6bcab4af118e97d82f56f1efe6be5,,,
5,0,"or_(x[6],x[9])",True,"and_(x[1],x[1])",1.0,40839bb33554c173522af37a44a2a16c,,,
5,0,not_(x[11]),True,not_(x[11]),1.0,a6f6bcab4af118e97d82f56f1efe6be5,,,
5,0,"greater_than_or_equal(x[7], x[0])",False,,,ab6ee67423100ce55a1432c833a83716,1.0,False,0.0
5,0,"greater_than_or_equal(x[3], x[7])",False,,,3f5416ceb3a0613846e13419a056b929,1.0,False,0.0
