gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,1.0,0.0,1.0,1.0,,3,20.970443349753694,1,4.615763546798029,3,5.802955665024631,14.078817733990148,2,0.0,0.0261995792388916,4,fec_simple_farthest_point,0.4
1,198,1.0,0.0,1.0,1.0,1.0,3,22.231372549019607,1,3.7098039215686276,3,5.447058823529412,10.941176470588236,2,0.0010037422180175781,0.049308061599731445,4,fec_simple_farthest_point,0.4
2,142,1.0,0.0,1.0,1.0,1.0,3,23.62091503267974,1,3.176470588235294,3,5.245098039215686,9.222222222222221,2,0.0009615421295166016,0.04722189903259277,4,fec_simple_farthest_point,0.4
3,114,1.0,0.0,1.0,1.0,1.0,3,25.228840125391848,1,2.877742946708464,3,5.144200626959248,8.288401253918495,2,0.0012781620025634766,0.050162553787231445,4,fec_simple_farthest_point,0.4
4,81,1.0,0.0,1.0,1.0,1.0,3,25.94842406876791,1,2.6131805157593124,3,4.808022922636103,7.26647564469914,2,0.0012373924255371094,0.045378684997558594,4,fec_simple_farthest_point,0.4
5,83,1.0,0.0,1.0,1.0,1.0,3,27.328445747800586,1,2.404692082111437,3,4.545454545454546,6.5014662756598245,2,0.0012483596801757812,0.04288601875305176,4,fec_simple_farthest_point,0.4
6,57,1.0,0.0,1.0,1.0,1.0,3,26.95800524934383,1,2.288713910761155,3,4.4619422572178475,6.073490813648294,2,0.0012562274932861328,0.04388141632080078,4,fec_simple_farthest_point,0.4
7,63,1.0,0.0,1.0,1.0,1.0,3,26.77956989247312,1,2.1021505376344085,3,4.209677419354839,5.32258064516129,2,0.0013918876647949219,0.04240918159484863,4,fec_simple_farthest_point,0.4
8,48,1.0,0.0,1.0,1.0,1.0,3,28.371794871794872,1,2.151282051282051,3,4.182051282051282,5.374358974358974,2,0.001318216323852539,0.041669368743896484,4,fec_simple_farthest_point,0.4
9,46,1.0,0.0,1.0,1.0,1.0,3,28.27720207253886,1,1.878238341968912,3,3.9455958549222796,4.691709844559585,2,0.0013346672058105469,0.03997182846069336,4,fec_simple_farthest_point,0.4
10,37,1.0,0.0,1.0,1.0,1.0,3,29.491002570694086,1,1.7840616966580978,3,3.832904884318766,4.408740359897172,2,0.0013506412506103516,0.042650699615478516,4,fec_simple_farthest_point,0.4
11,22,1.0,0.0,1.0,1.0,1.0,3,28.77326968973747,1,1.8758949880668259,3,3.840095465393795,4.5680190930787585,2,0.0013620853424072266,0.04158806800842285,4,fec_simple_farthest_point,0.4
12,27,1.0,0.0,1.0,1.0,1.0,3,28.77363184079602,1,1.9129353233830846,3,3.870646766169154,4.689054726368159,2,0.0014162063598632812,0.041924476623535156,4,fec_simple_farthest_point,0.4
13,40,1.0,0.0,1.0,1.0,1.0,3,29.65736040609137,1,1.6624365482233503,3,3.682741116751269,3.967005076142132,2,0.0014367103576660156,0.04149293899536133,4,fec_simple_farthest_point,0.4
14,30,1.0,0.0,1.0,1.0,1.0,3,29.10096153846154,1,1.3798076923076923,3,3.40625,3.1346153846153846,2,0.0013916492462158203,0.038881778717041016,4,fec_simple_farthest_point,0.4
15,29,1.0,0.0,1.0,1.0,1.0,3,29.471153846153847,1,1.3629807692307692,3,3.40625,3.1274038461538463,2,0.0013768672943115234,0.038623809814453125,4,fec_simple_farthest_point,0.4
16,21,1.0,0.0,1.0,1.0,1.0,3,28.481220657276996,1,1.448356807511737,3,3.471830985915493,3.3826291079812205,2,0.0014278888702392578,0.09158205986022949,4,fec_simple_farthest_point,0.4
17,19,1.0,0.0,1.0,1.0,1.0,3,28.491725768321512,1,1.3806146572104019,3,3.3735224586288415,3.1182033096926713,2,0.001468658447265625,0.03870964050292969,4,fec_simple_farthest_point,0.4
18,18,1.0,0.0,1.0,1.0,1.0,3,28.14123006833713,1,1.366742596810934,3,3.3895216400911163,3.14123006833713,2,0.0014064311981201172,0.03723883628845215,4,fec_simple_farthest_point,0.4
19,20,1.0,0.0,1.0,1.0,1.0,3,28.03448275862069,1,1.232183908045977,3,3.2988505747126435,2.7770114942528736,2,0.001504659652709961,0.036684274673461914,4,fec_simple_farthest_point,0.4
20,21,1.0,0.0,1.0,1.0,1.0,3,28.072562358276645,1,1.1882086167800454,3,3.2108843537414966,2.5873015873015874,2,0.0014705657958984375,0.036721229553222656,4,fec_simple_farthest_point,0.4
21,23,1.0,0.0,1.0,1.0,1.0,3,28.367205542725173,1,1.1593533487297922,3,3.1755196304849886,2.4526558891454964,2,0.0013561248779296875,0.035933494567871094,4,fec_simple_farthest_point,0.4
22,15,1.0,0.0,1.0,1.0,1.0,3,29.31685393258427,1,1.2,3,3.215730337078652,2.5730337078651684,2,0.001409292221069336,0.037431955337524414,4,fec_simple_farthest_point,0.4
23,21,1.0,0.0,1.0,1.0,1.0,3,30.294784580498867,1,1.1950113378684808,3,3.240362811791383,2.614512471655329,2,0.0017786026000976562,0.03710603713989258,4,fec_simple_farthest_point,0.4
24,11,1.0,0.0,1.0,1.0,1.0,3,30.347921225382933,1,1.3041575492341357,3,3.326039387308534,2.9606126914660833,2,0.0016701221466064453,0.0371701717376709,4,fec_simple_farthest_point,0.4
25,14,1.0,0.0,1.0,1.0,1.0,3,30.612691466083152,1,1.3479212253829322,3,3.361050328227571,3.1094091903719914,2,0.0014355182647705078,0.0374758243560791,4,fec_simple_farthest_point,0.4
26,16,1.0,0.0,1.0,1.0,1.0,3,31.03872437357631,1,1.2687927107061503,3,3.2687927107061503,2.8109339407744875,2,0.0015530586242675781,0.03934335708618164,4,fec_simple_farthest_point,0.4
