gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,run,mode,sample_fraction
0,0,1.0,0.0,1.0,1.0,,3,20.767676767676768,1,4.626262626262626,3,5.838383838383838,13.934343434343434,2,0.0,0.025150060653686523,4,fec_simple_stratified,0.4
1,208,1.0,0.0,1.0,1.0,1.0,3,22.438524590163933,1,3.9795081967213113,3,5.631147540983607,11.64344262295082,2,0.001016855239868164,0.04809284210205078,4,fec_simple_stratified,0.4
2,150,1.0,0.0,1.0,1.0,1.0,3,22.86348122866894,1,3.4470989761092152,3,5.341296928327645,9.791808873720136,2,0.0009403228759765625,0.04528403282165527,4,fec_simple_stratified,0.4
3,121,1.0,0.0,1.0,1.0,1.0,3,25.118380062305295,1,3.2336448598130842,3,5.168224299065421,8.953271028037383,2,0.0012035369873046875,0.04929327964782715,4,fec_simple_stratified,0.4
4,82,1.0,0.0,1.0,1.0,1.0,3,26.55043227665706,1,3.0403458213256482,3,5.077809798270893,8.207492795389049,2,0.0011987686157226562,0.04675436019897461,4,fec_simple_stratified,0.4
5,75,1.0,0.0,1.0,1.0,1.0,3,26.80672268907563,1,2.750700280112045,3,4.781512605042017,7.260504201680672,2,0.0012638568878173828,0.043465375900268555,4,fec_simple_stratified,0.4
6,64,1.0,0.0,1.0,1.0,1.0,3,27.662049861495845,1,2.880886426592798,3,4.878116343490305,7.6565096952908585,2,0.0012195110321044922,0.04624509811401367,4,fec_simple_stratified,0.4
7,66,1.0,0.0,1.0,1.0,1.0,3,29.044270833333332,1,2.9427083333333335,3,4.9140625,7.786458333333333,2,0.0012316703796386719,0.04747939109802246,4,fec_simple_stratified,0.4
8,57,1.0,0.0,1.0,1.0,1.0,3,28.91516709511568,1,2.7866323907455013,3,4.686375321336761,7.210796915167095,2,0.001348257064819336,0.047455549240112305,4,fec_simple_stratified,0.4
9,52,1.0,0.0,1.0,1.0,1.0,3,29.750617283950618,1,2.8074074074074074,3,4.718518518518518,7.279012345679012,2,0.0012717247009277344,0.04734301567077637,4,fec_simple_stratified,0.4
10,55,1.0,0.0,1.0,1.0,1.0,3,30.055118110236222,1,2.5669291338582676,3,4.519685039370079,6.6141732283464565,2,0.001272439956665039,0.04595804214477539,4,fec_simple_stratified,0.4
11,48,1.0,0.0,1.0,1.0,1.0,3,29.55759162303665,1,2.5287958115183247,3,4.4162303664921465,6.455497382198953,2,0.0014257431030273438,0.04456901550292969,4,fec_simple_stratified,0.4
12,42,1.0,0.0,1.0,1.0,1.0,3,29.852216748768473,1,2.460591133004926,3,4.389162561576355,6.275862068965517,2,0.0012774467468261719,0.044981956481933594,4,fec_simple_stratified,0.4
13,35,1.0,0.0,1.0,1.0,1.0,3,30.4375,1,2.483173076923077,3,4.346153846153846,6.225961538461538,2,0.0012667179107666016,0.046178579330444336,4,fec_simple_stratified,0.4
14,35,1.0,0.0,1.0,1.0,1.0,3,30.94890510948905,1,2.1630170316301705,3,4.075425790754258,5.360097323600973,2,0.001355886459350586,0.0429995059967041,4,fec_simple_stratified,0.4
15,34,1.0,0.0,1.0,1.0,1.0,3,31.51558752997602,1,2.2062350119904077,3,4.148681055155875,5.4844124700239805,2,0.0014278888702392578,0.04403114318847656,4,fec_simple_stratified,0.4
16,30,1.0,0.0,1.0,1.0,1.0,3,32.65346534653465,1,2.1633663366336635,3,4.084158415841584,5.319306930693069,2,0.0013747215270996094,0.09163594245910645,4,fec_simple_stratified,0.4
17,35,1.0,0.0,1.0,1.0,1.0,3,33.18465227817746,1,2.160671462829736,3,4.0,5.299760191846523,2,0.0013687610626220703,0.04335975646972656,4,fec_simple_stratified,0.4
18,36,1.0,0.0,1.0,1.0,1.0,3,33.186732186732186,1,2.1007371007371005,3,3.921375921375921,4.955773955773956,2,0.0013568401336669922,0.043126583099365234,4,fec_simple_stratified,0.4
19,21,1.0,0.0,1.0,1.0,1.0,3,32.94405594405595,1,1.9090909090909092,3,3.815850815850816,4.547785547785548,2,0.0013730525970458984,0.0419771671295166,4,fec_simple_stratified,0.4
